n l nu dnu
13 2 1488.23702 0.514907758249 
14 0 1495.00166 0.0730713801301 
14 1 1541.92163 0.0651353952688 
14 2 1591.29113 0.186795392168 
15 0 1598.69427 0.0703647930587 
15 1 1645.063065 0.0862370652266 
15 2 1694.16716 0.170290930748 
16 0 1700.91122 0.0830756517127 
16 1 1747.14861 0.0757806838765 
16 2 1795.7473 0.107342483204 
17 0 1802.309875 0.0677930994988 
16 3 1838.515635 0.668980943226 
17 1 1848.97644 0.0532510513381 
17 2 1898.26251 0.0985118673569 
18 0 1904.6087 0.0584849344293 
17 3 1941.2227 0.562287956099 
18 1 1951.995545 0.0492130284934 
18 2 2001.67264 0.0766519244482 
19 0 2007.57579 0.0464067579583 
18 3 2045.97611 0.365161262111 
19 1 2055.52427 0.0465127669422 
19 2 2105.312 0.0550541306918 
20 0 2110.90912 0.0390507965226 
19 3 2149.93561 0.133939909911 
20 1 2159.1506 0.0440669485039 
20 2 2208.90004 0.0638251284708 
21 0 2214.22391 0.0475111955106 
20 3 2253.53465 0.163275940139 
21 1 2262.53667 0.0477895758932 
21 2 2312.53631 0.087318934589 
22 0 2317.321855 0.0510637695357 
21 3 2357.39153 0.189076193839 
22 1 2366.24787 0.0571520696521 
22 2 2416.24858 0.126873323244 
23 0 2420.897385 0.0808843644839 
22 3 2462.078075 0.384700315961 
23 1 2470.30465 0.0770729557447 
23 2 2520.45884 0.212321862408 
24 0 2525.071385 0.157709284122 
23 3 2566.96839 0.60800767427 
24 1 2574.78436 0.126459860953 
24 2 2624.32188 0.324438330006 
25 0 2629.20407 0.178092764749 
24 3 2669.764715 1.03603449623 
25 1 2679.87173 0.187656577858 
25 2 2730.23331 0.885557521868 
26 0 2733.61451 0.462773374401 
26 1 2784.22247 0.353536764576 
26 2 2835.33864 1.14657487745 
27 0 2838.39769 0.778690427221 
27 1 2891.27023 0.740476098474 
27 2 2941.478565 1.5377330411 
28 0 2945.32075 1.17915021147 
28 1 2996.37549 1.19091228305 
