n l nu dnu
6 0 972.613 0.002
7 1 1185.592 0.004
8 0 1263.162 0.012 
8 1 1329.629 0.004 
8 2 1394.680 0.011
9 0 1407.481 0.012 
9 1 1472.835 0.007 
9 2 1535.859 0.011
10 0 1548.333 0.007 
10 1 1612.720 0.007 
10 2 1674.534 0.008 
10 3 1729.085 0.016
11 0 1686.597 0.011
11 1 1749.279 0.007
11 2 1810.304 0.009 
11 3 1865.293 0.019
12 0 1822.196 0.011 
12 1 1885.081 0.009 
12 2 1945.797 0.013 
12 3 2001.243 0.017
13 0 1957.421 0.012 
13 1 2020.793 0.010 
13 2 2082.102 0.015 
13 3 2137.788 0.019
14 0 2093.518 0.013 
14 1 2156.784 0.014 
14 2 2217.656 0.018 
14 3 2273.516 0.026
15 0 2228.749 0.014 
15 1 2291.993 0.015 
15 2 2352.222 0.017 
15 3 2407.643 0.025
16 0 2362.788 0.016 
16 1 2425.595 0.015 
16 2 2485.873 0.019 
16 3 2541.671 0.023
17 0 2496.180 0.017 
17 1 2559.162 0.015 
17 2 2619.668 0.018 
17 3 2676.149 0.023
18 0 2629.668 0.015 
18 1 2693.347 0.014 
18 2 2754.439 0.017 
18 3 2811.318 0.021
19 0 2764.142 0.015 
19 1 2828.150 0.014 
19 2 2889.578 0.018 
19 3 2946.935 0.021
20 0 2899.022 0.013 
20 1 2963.322 0.014 
20 2 3024.689 0.018 
20 3 3082.273 0.025
21 0 3033.754 0.014 
21 1 3098.140 0.015 
21 2 3159.821 0.020 
21 3 3217.683 0.028
22 0 3168.618 0.017 
22 1 3233.139 0.018 
22 2 3295.063 0.025 
22 3 3353.335 0.041
23 0 3303.520 0.021 
23 1 3368.469 0.023 
23 2 3430.748 0.034 
23 3 3489.409 0.053
24 0 3438.992 0.030 
24 1 3504.129 0.030 
24 2 3566.949 0.044 
24 3 3626.078 0.075
25 0 3574.893 0.048 
25 1 3640.475 0.038 
25 2 3703.044 0.067 
25 3 3762.530 0.105
26 0 3710.717 0.088 
26 1 3777.067 0.052 
26 2 3839.717 0.144
27 0 3846.993 0.177 
27 1 3913.570 0.068 
27 2 3976.930 0.298
