n l nu dnu
14 0 2093.49282879316 0.120772071535568
14 1 2156.76923175785 0.12138886327732
14 2 2217.67579348627 0.244268269004854
14 3 2273.11393833316 2.14744667724611
15 0 2228.67986260707 0.170951831883544
15 1 2291.948443248 0.171439505448009
15 2 2351.91084520068 0.281130069316054
15 3 2407.92938535557 2.25062257909114
16 0 2362.90615281396 0.143152519369231
16 1 2425.6224636684 0.127538273617619
16 2 2485.62849975279 0.201105309409598
16 3 2541.57721215121 1.60117618000603
17 0 2496.05793909928 0.167430644029703
17 1 2559.21230461698 0.0838489092980393
17 2 2619.53770928858 0.168310174692365
17 3 2675.22391563799 0.737063607410533
18 0 2629.57592967955 0.0961560339607967
18 1 2693.2792987112 0.0672433973025584
18 2 2754.4871752713 0.132907063806423
18 3 2811.60511915577 0.47467038964951
19 0 2764.10337242301 0.063676468662599
19 1 2828.1362330565 0.0585472289357672
19 2 2889.51848476017 0.104526525808849
19 3 2946.30274482875 0.414565995535365
20 0 2898.95754560726 0.0582728379879032
20 1 2963.31491154054 0.0574178526052178
20 2 3024.57359690504 0.103891232875658
20 3 3082.82743326003 0.383180972686207
21 0 3033.83325803861 0.0588285573838481
21 1 3098.13190452426 0.0549644433474869
21 2 3160.0661016332 0.107440727551694
21 3 3217.54842095137 0.385975402399917
22 0 3168.62509277051 0.0627215001605332
22 1 3233.09986125109 0.061231183630052
22 2 3294.980256098 0.125214202586555
22 3 3353.59241076518 0.440358313886758
23 0 3303.55827320351 0.0841822300014917
23 1 3368.452176479 0.0888421230154593
23 2 3430.62980914975 0.200605833854034
23 3 3489.51163139673 0.528700969208999
24 0 3439.13694587838 0.146897424044057
24 1 3504.11098579949 0.161718691523814
24 2 3566.69786372053 0.485388472739044
24 3 3625.98859811714 0.879322518344041
25 0 3574.77960076266 0.254261158168493
25 1 3640.38318009425 0.35527169662245
25 2 3703.00656842364 0.879073879521709
25 3 3765.15564868813 1.11990993141195
26 0 3710.71947397826 0.716683409527379
26 1 3775.78437860772 0.732757513815137
26 2 3839.17792751145 1.35477625980028
27 0 3848.11800868433 1.17982637798538
27 1 3911.76182817995 1.14872044993376
27 2 3974.776675984 1.70522237204556
28 0 3986.28081086722 1.25349776835561
