  l   n     nu      dnu
  0  16   2513.93    0.21
  0  17   2656.81    0.13
  0  18   2799.64    0.10
  0  19   2942.98    0.08
  0  20   3087.25    0.06
  0  21   3232.06    0.05
  0  22   3377.04    0.06
  0  23   3522.31    0.09
  0  24   3667.38    0.14
  0  25   3813.47    0.27
  0  26   3960.05    0.61
  0  27   4104.57    1.74
  1  15   2436.54    0.37
  1  16   2581.10    0.19
  1  17   2723.88    0.12
  1  18   2866.68    0.08
  1  19   3010.96    0.06
  1  20   3155.64    0.05
  1  21   3300.81    0.05
  1  22   3446.02    0.06
  1  23   3591.19    0.09
  1  24   3736.86    0.14
  1  25   3883.11    0.27
  1  26   4029.39    0.60
  1  27   4178.11    1.69
  2  17   2787.17    0.22
  2  18   2930.57    0.15
  2  19   3075.21    0.11
  2  20   3220.54    0.09
  2  21   3365.94    0.09
  2  22   3510.96    0.13
  2  23   3656.53    0.19
  2  24   3802.63    0.31
  2  25   3949.44    0.57
  2  26   4096.32    1.28
