 l   n     nu      dnu
  0  15   1517.74    0.19
  0  16   1610.98    0.12
  0  17   1703.06    0.09
  0  18   1796.19    0.07
  0  19   1889.74    0.06
  0  20   1984.57    0.06
  0  21   2079.41    0.06
  0  22   2174.07    0.09
  0  23   2269.01    0.13
  0  24   2363.41    0.22
  0  25   2458.42    0.47
  0  26   2555.02    1.25
  1  14   1467.72    0.32
  1  15   1561.03    0.16
  1  16   1653.93    0.10
  1  17   1746.23    0.07
  1  18   1839.73    0.06
  1  19   1933.82    0.05
  1  20   2028.97    0.05
  1  21   2123.71    0.06
  1  22   2218.68    0.08
  1  23   2313.29    0.13
  1  24   2408.61    0.21
  1  25   2502.62    0.45
  1  26   2598.65    1.18
  2  15   1601.86    0.31
  2  16   1695.17    0.19
  2  17   1787.80    0.13
  2  18   1881.75    0.10
  2  19   1976.38    0.09
  2  20   2071.52    0.10
  2  21   2166.50    0.13
  2  22   2261.31    0.18
  2  23   2355.97    0.27
  2  24   2450.19    0.45
  2  25   2546.46    0.93
