l   n     nu      dnu
  0  15   2659.48    0.42
  0  16   2819.69    0.23
  0  17   2979.64    0.15
  0  18   3140.44    0.12
  0  19   3301.93    0.09
  0  20   3464.39    0.07
  0  21   3626.91    0.07
  0  22   3789.81    0.10
  0  23   3952.92    0.17
  0  24   4116.51    0.32
  0  25   4280.24    0.70
  0  26   4442.54    1.94
  1  15   2735.43    0.38
  1  16   2896.29    0.21
  1  17   3056.18    0.13
  1  18   3218.06    0.10
  1  19   3380.58    0.07
  1  20   3543.23    0.05
  1  21   3706.09    0.06
  1  22   3869.20    0.10
  1  23   4032.80    0.17
  1  24   4196.62    0.31
  1  25   4360.32    0.67
  1  26   4528.35    1.83
  2  16   2969.51    0.41
  2  17   3131.65    0.25
  2  18   3293.38    0.17
  2  19   3456.36    0.12
  2  20   3619.53    0.10
  2  21   3782.88    0.15
  2  22   3946.85    0.23
  2  23   4109.72    0.37
  2  24   4274.87    0.65
  2  25   4439.61    1.39
