l   n     nu      dnu
  0  15   1885.08    0.66
  0  16   1999.45    0.36
  0  17   2113.49    0.25
  0  18   2228.09    0.20
  0  19   2343.81    0.16
  0  20   2460.42    0.12
  0  21   2578.00    0.15
  0  22   2695.37    0.22
  0  23   2812.83    0.30
  0  24   2930.19    0.48
  0  25   3048.18    0.96
  1  15   1936.02    0.58
  1  16   2052.96    0.32
  1  17   2167.04    0.21
  1  18   2281.96    0.17
  1  19   2398.26    0.13
  1  20   2515.30    0.10
  1  21   2632.73    0.15
  1  22   2750.57    0.20
  1  23   2868.06    0.27
  1  24   2985.41    0.43
  1  25   3103.56    0.85
  1  26   3219.34    2.17
  2  16   2102.59    0.61
  2  17   2217.55    0.41
  2  18   2333.28    0.31
  2  19   2449.61    0.21
  2  20   2567.61    0.23
  2  21   2685.36    0.31
  2  22   2803.43    0.38
  2  23   2920.43    0.52
  2  24   3037.71    0.83
