l   n     nu      dnu
  0  15   1379.65    0.90
  0  16   1464.75    0.50
  0  17   1552.48    0.34
  0  18   1639.61    0.27
  0  19   1725.82    0.24
  0  20   1812.11    0.22
  0  21   1898.10    0.28
  0  22   1984.65    0.35
  0  23   2071.62    0.51
  0  24   2160.89    0.89
  0  25   2249.61    2.00
  1  15   1417.85    0.78
  1  16   1504.29    0.43
  1  17   1592.47    0.29
  1  18   1679.60    0.23
  1  19   1765.97    0.19
  1  20   1851.84    0.21
  1  21   1937.87    0.24
  1  22   2024.94    0.30
  1  23   2113.34    0.44
  1  24   2201.34    0.77
  1  25   2290.63    1.72
  2  16   1544.11    0.82
  2  17   1630.78    0.56
  2  18   1717.91    0.43
  2  19   1805.00    0.35
  2  20   1889.95    0.41
  2  21   1975.94    0.47
  2  22   2063.96    0.58
  2  23   2151.83    0.84
  2  24   2239.81    1.47
