n l nu dnu
14 0 1141.97363 0.879830997387 
15 0 1216.72502 0.541175060531 
15 1 1248.153685 0.307072565648 
15 2 1286.0029 0.669965102694 
16 0 1290.60119 0.831364204027 
16 1 1322.47356 0.239495879619 
16 2 1359.391445 0.540077066714 
17 0 1365.131905 0.256476834502 
17 1 1397.15069 0.196438061995 
17 2 1435.15261 0.519834436877 
18 0 1439.633255 0.255938376629 
18 1 1471.485395 0.178593619366 
18 2 1508.99251 0.42759071014 
19 0 1513.92865 0.174230604639 
19 1 1546.59253 0.198651894602 
19 2 1583.13625 0.827455234488 
20 0 1587.18714 0.454820460446 
20 1 1621.49772 0.424223689443 
