M Y Z alpha diffusion overshoot age radius L log_g
8.855595488281270411e-01 2.741165009765620941e-01 6.996949707031267437e-03 1.855728710937495807e+00 1.159092775390622609e+00 2.686046914062494295e-01 9.792795369341112277e+00 1.186033404727180329e+00 2.076823446782529725e+00 4.238540391272591634e+00
1.055510552246095468e+00 2.716104550781250349e-01 1.250709521484371332e-02 1.840282365722655689e+00 1.287361416503900458e+00 1.653647797851560408e-01 5.670961205078245193e+00 1.283013814128523444e+00 2.486708664992993700e+00 4.252432386578122170e+00
1.054485606933590391e+00 2.701379125976561268e-01 1.366522998046872800e-02 1.843339687499996993e+00 1.001434768066411296e+00 2.552463115234384072e-01 7.206404701711683458e+00 1.381965976735963775e+00 2.445873003022366987e+00 4.185380442865383799e+00
8.724814560546899633e-01 2.631893793945306870e-01 3.775126464843787336e-03 1.646014747070310813e+00 1.149426143554693969e+00 4.387842758789116671e-01 1.020113567260603382e+01 1.322004160799150174e+00 2.453346177954853768e+00 4.138458656782353806e+00
8.872662060546903096e-01 2.678031152343742782e-01 4.952126464843800875e-03 1.679005725585935638e+00 1.242955823730478526e+00 4.115599970703195942e-01 9.684475638086249560e+00 1.275689924185607893e+00 2.417604242127376679e+00 4.174423230641987281e+00
1.042380981445313770e+00 2.738324443359375637e-01 1.214898339843746046e-02 1.840617041015624400e+00 1.279625317871087908e+00 1.620868012695307891e-01 5.831512577144221332e+00 1.266541192548083394e+00 2.433934385983821169e+00 4.255772864524979049e+00
1.034779547363282592e+00 2.676728818359375706e-01 1.196302929687496734e-02 1.841253776855467317e+00 1.227530464355468975e+00 1.809708745117178108e-01 6.163196863417300442e+00 1.248038570940613878e+00 2.339051314830211226e+00 4.266064317845881249e+00
1.012311711425783356e+00 2.681143540039061524e-01 9.629243164062540467e-03 1.810647571777342923e+00 1.236727625976562939e+00 2.011794628906239391e-01 6.877176797405959441e+00 1.324495373695387279e+00 2.629710887692108034e+00 4.205094870123400774e+00
8.945662407226585566e-01 2.710118823242183006e-01 5.831953125000038061e-03 1.705820329101560562e+00 1.238395151855476328e+00 3.926981601562560265e-01 9.449771460876092988e+00 1.266781308229304903e+00 2.415029709585807538e+00 4.183418915887108902e+00
1.025693891601563656e+00 2.670809638671874930e-01 1.143466552734377119e-02 1.839756911132809591e+00 1.135360834960935872e+00 2.001492973632807149e-01 6.635983427806802837e+00 1.283277535636710764e+00 2.400911200331837581e+00 4.240392520672599197e+00
