M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.106189203125004239e+00 2.522151533203165208e-01 2.215817187500013566e-02 1.838456153320332742e+00 3.453034687499985655e-01 1.849287353515620125e-01 6.981630272547647564e+00 6.101742994052442026e-02 4.292205455496724831e+00 1.244103443425826239e+00 2.450170107849449219e-01
1.102484291992190890e+00 2.631180966796900500e-01 2.391925195312506053e-02 1.784187629882828530e+00 1.843650351562489409e-01 1.772753769531252577e-01 6.787297696718144202e+00 8.191572939496688521e-02 4.285616631811097754e+00 1.252837218022041732e+00 2.576979347401240350e-01
1.084931090820316690e+00 2.632320048828142300e-01 2.279841015624993125e-02 1.765115067382827752e+00 2.755781894531245113e-01 1.615469824218755124e-01 7.000901978018521099e+00 7.948367561631503042e-02 4.284685782175824187e+00 1.243916784545201049e+00 2.543412547903682319e-01
1.087410916015627116e+00 2.672634677734401776e-01 2.259620800781259389e-02 1.850870810546883849e+00 5.913371992187534953e-01 2.022229287109370000e-01 7.006407052260014368e+00 9.069614267626432969e-02 4.280418279829462769e+00 1.250259932081344560e+00 2.555718758921182165e-01
1.088038291015628989e+00 2.602448173828164624e-01 2.248776367187515710e-02 1.808717397460958276e+00 1.124430908203122720e-01 1.838980107421868959e-01 7.161038638210992957e+00 5.670280256082883136e-02 4.293714329405124097e+00 1.231753464243342977e+00 2.574183520928572388e-01
1.052969348632814883e+00 2.764078115234399058e-01 2.088815234375004937e-02 1.907363255859384488e+00 6.816795507812544175e-01 2.380517177734376155e-01 7.396682138378867677e+00 1.052271193864517951e-01 4.282445591025263454e+00 1.227118334726453597e+00 2.622218687007085713e-01
1.063847890625003068e+00 2.777121708984391923e-01 2.062020214843747132e-02 1.898526918945327324e+00 1.848027158203115472e-01 2.002339990234375255e-01 6.852202351106654987e+00 9.356458951305543503e-02 4.285930603642922776e+00 1.228848743865349924e+00 2.734582216424821244e-01
1.086286136718752626e+00 2.587565439453157201e-01 2.172799511718755822e-02 1.828281616210953420e+00 3.977695878906249982e-01 1.966775019531243895e-01 7.188174833235299488e+00 7.860974488999576681e-02 4.291030846482397187e+00 1.234287130721661185e+00 2.503217138553634480e-01
1.080692875976565270e+00 2.570624775390664141e-01 2.179873632812511994e-02 1.792449603515644974e+00 1.367145058593746965e-01 1.854802080078117310e-01 7.355317726708409332e+00 6.468857737094090010e-02 4.298817551157128491e+00 1.220100857143106010e+00 2.536656279895010968e-01
1.068845395507816542e+00 2.819128906250032984e-01 2.198549902343768445e-02 1.869247807617197665e+00 1.152973916015622852e-01 2.209078847656250066e-01 6.666488467686938257e+00 1.057326994277296289e-01 4.289834859512914100e+00 1.225985058318066256e+00 2.790883625219455211e-01
1.084789692382815307e+00 2.619741962890653753e-01 2.125770507812509494e-02 1.864720097656264564e+00 4.629819921875001909e-01 2.037515908203119674e-01 6.979899977228062546e+00 9.337023771140019746e-02 4.291753649368498458e+00 1.232352016925462257e+00 2.521578025218685903e-01
1.073170479492187690e+00 2.674285273437504440e-01 2.063449316406254161e-02 1.852542283203138185e+00 1.064919814453132663e+00 2.052205117187506367e-01 7.222358455465002436e+00 1.137826634376308266e-01 4.265142390632664871e+00 1.264630702045678179e+00 2.439793466252365983e-01
1.096267853515626500e+00 2.558677724609402238e-01 2.245672265625004577e-02 1.805932735351581941e+00 3.763283457031250667e-01 1.750245820312495981e-01 7.209388521438918396e+00 6.384389800783987767e-02 4.284441120305357842e+00 1.250352178785117507e+00 2.474652603321448319e-01
1.081608118164067101e+00 2.714248291015664005e-01 2.201400195312520555e-02 1.861711502929701334e+00 2.203007246093731386e-01 2.143396064453119698e-01 6.735675636155523449e+00 1.013162199266957053e-01 4.293354493499389690e+00 1.228140500268172897e+00 2.665565936580957529e-01
1.052172298828123242e+00 2.697732021484391396e-01 2.110057324218747588e-02 1.813070960937510190e+00 4.296100146484405635e-01 2.030889882812499381e-01 7.784318552011925796e+00 7.834908128878913247e-02 4.279318013486147265e+00 1.231890468903204194e+00 2.606513597834074214e-01
1.053483582031253141e+00 2.761909462890644873e-01 2.065007714843749773e-02 1.913412552734387706e+00 4.530452089843765573e-01 2.208473671874996991e-01 7.418692763087768149e+00 8.571046213711225326e-02 4.280498436101344062e+00 1.230471667921439360e+00 2.666862457493573424e-01
1.098208115234376780e+00 2.567856562500032691e-01 2.224518457031261429e-02 1.822649330078140117e+00 4.888870419921879651e-01 1.879250966796868483e-01 7.082667957964300598e+00 7.283729692055541938e-02 4.283898025690272782e+00 1.251630247291253939e+00 2.466851785535794095e-01
1.099478606445316808e+00 2.674877304687535151e-01 2.294951464843763417e-02 1.902956576171885184e+00 6.602990693359449548e-01 2.179857363281245963e-01 6.795680465417267335e+00 9.475374253295638927e-02 4.277088902417998995e+00 1.261578435417248345e+00 2.547373871184145377e-01
1.083865472656254658e+00 2.682580068359414205e-01 2.246728417968769931e-02 1.814968111328138844e+00 1.310308857421867146e-01 1.979945712890622822e-01 7.074985866722196981e+00 5.914839181542359825e-02 4.282026401267219562e+00 1.245970721708640205e+00 2.652165301151518384e-01
1.101576319335940690e+00 2.556144746093773623e-01 2.320608886718748820e-02 1.778646886718768805e+00 3.499397187500006834e-01 1.680900615234372786e-01 6.876696100575646398e+00 9.032554495756875412e-02 4.295898077664767278e+00 1.237526673014200940e+00 2.473257304109428845e-01
1.106179428710942325e+00 2.554113173828166938e-01 2.244623437500019997e-02 1.838830598632831936e+00 2.733245400390610924e-01 1.885404833984366813e-01 7.023889528477775812e+00 5.579107302558056203e-02 4.284208502850785472e+00 1.255421088334378599e+00 2.499226709792926049e-01
1.038648986328127855e+00 2.820448447265654357e-01 2.100790820312508148e-02 1.893572794921884350e+00 2.943084140624990241e-01 2.358369326171876612e-01 7.660787505785881635e+00 7.597075880523240787e-02 4.282514651163462638e+00 1.218941848233804803e+00 2.758019972169448719e-01
1.109647827148441346e+00 2.573512343750020137e-01 2.306159082031253998e-02 1.811579186523455176e+00 2.950529169921861095e-01 1.719810000000000505e-01 6.828303208312513028e+00 6.627258359651999609e-02 4.279947321562093343e+00 1.265176656199079819e+00 2.500682546644877324e-01
1.070238129882812528e+00 2.744097646484368602e-01 1.965427636718741766e-02 1.845259289062504582e+00 2.777701533203129625e-01 1.487617734375011880e-01 6.105144079579670979e+00 8.439062067408502343e-02 4.299619893399316162e+00 1.212359290978023862e+00 2.649777424717693064e-01
1.091520711914066188e+00 2.579870800781278173e-01 2.138992187500005776e-02 1.860831150390648725e+00 3.128910166015613781e-01 1.906389609374992966e-01 7.117609360746371294e+00 6.403678515789509862e-02 4.286410220363942258e+00 1.243961254373202374e+00 2.505940701674936322e-01
1.037170669921875454e+00 2.800192548828152606e-01 2.110673046875001166e-02 1.893295847656256692e+00 5.150285263671896541e-01 2.363335830078127364e-01 7.854425044953186941e+00 8.112967328738146522e-02 4.279331423160339654e+00 1.222436254062009287e+00 2.693389355801263374e-01
1.069146046875002032e+00 2.746286591796899823e-01 2.236461132812507177e-02 1.855280466796881189e+00 6.279938613281293991e-01 2.190081718749999073e-01 7.038396258004934403e+00 1.153457793437376727e-01 4.287036023218355751e+00 1.230349439172141013e+00 2.620980989308527853e-01
1.081965409179691306e+00 2.687234052734404632e-01 2.184518652343758055e-02 1.871717683593763670e+00 3.143300986328113611e-01 2.006114023437495508e-01 6.883584398244829039e+00 9.014158366896823926e-02 4.290748662753117060e+00 1.232232406554174764e+00 2.621360752110000747e-01
1.077474660156252373e+00 2.615923701171903870e-01 2.206033398437504817e-02 1.791757700195331537e+00 2.115128955078105499e-01 1.741952001953121498e-01 7.445183846129633132e+00 5.163035809925078240e-02 4.284837680643153845e+00 1.238552626989077865e+00 2.566088794960295627e-01
1.111480135742191511e+00 2.588841455078145226e-01 2.361556933593749602e-02 1.779862545898453385e+00 2.436715947265614413e-01 1.648872050781255705e-01 6.352368786518485244e+00 9.952753964056772207e-02 4.299531734417513462e+00 1.237148464998228503e+00 2.518527991168091895e-01
1.124786365234382135e+00 2.533299804687514922e-01 2.263373437499993993e-02 1.818393706054703296e+00 2.951933652343740055e-01 1.585634042968762647e-01 6.162228188808278162e+00 7.875758525150920730e-02 4.297731604986359422e+00 1.246917523668506167e+00 2.453573205041626182e-01
1.064465607421876125e+00 2.656783349609398992e-01 2.141325097656251314e-02 1.807092147460949150e+00 4.138067392578138048e-01 1.975877675781246567e-01 7.410151599093388164e+00 9.248976078145237922e-02 4.291827015954595481e+00 1.221079258952486368e+00 2.567255676027920819e-01
1.118533872070318846e+00 2.538814287109413814e-01 2.335270507812514662e-02 1.813060277343772508e+00 1.721969316406236350e-01 1.797738408203122806e-01 6.537785274460587104e+00 8.004124493961127518e-02 4.297743856100567861e+00 1.243384715640550198e+00 2.494115987745235963e-01
1.074067816406253373e+00 2.688985908203155306e-01 2.169308789062505960e-02 1.874436240234387707e+00 5.574075917968778215e-01 2.106194697265623139e-01 7.207808297370811523e+00 8.392829908465258837e-02 4.282508296351829280e+00 1.239682372645858788e+00 2.574624145034665745e-01
1.070092527343751376e+00 2.620903388671900758e-01 2.139104101562499735e-02 1.815617785156270036e+00 3.030532724609368844e-01 1.909493320312493636e-01 7.606456408572684680e+00 6.081786569658427510e-02 4.283229002124635088e+00 1.236897629810478794e+00 2.549059600254627855e-01
1.119641055664069462e+00 2.521608691406299063e-01 2.283467773437525272e-02 1.824956442382836164e+00 1.405655419921865157e-01 1.883081943359368737e-01 6.479200668070320468e+00 7.910999342277764967e-02 4.301717206509257707e+00 1.237816025437551648e+00 2.485569610310638666e-01
1.030000644531250398e+00 2.799094501953146574e-01 2.050459277343752787e-02 1.907679388671883913e+00 6.713809550781281166e-01 2.526184394531258981e-01 7.878731700550885897e+00 1.078662192092301186e-01 4.286690046259515441e+00 1.208313532212656360e+00 2.656455559107450681e-01
1.098528075195315257e+00 2.570480312500030839e-01 2.241280468750009996e-02 1.828421705078142390e+00 3.920056718749990732e-01 1.808570351562494294e-01 7.156156606716348456e+00 5.584103005521112023e-02 4.281282656534226128e+00 1.255792482816435740e+00 2.488959511039033068e-01
1.030255414062501762e+00 2.981609404296897692e-01 2.174014941406269066e-02 1.891673865234373864e+00 2.628002021484358575e-01 2.692136816406272004e-01 7.289905721990204590e+00 1.133222630726035268e-01 4.277080770583990166e+00 1.221580597154346304e+00 2.926022107211229129e-01
1.075273399414065967e+00 2.736049121093777070e-01 2.162069726562506136e-02 1.903413293945324991e+00 4.299011660156255021e-01 2.130448330078119623e-01 6.966839394730500956e+00 9.101258331282630065e-02 4.282292430808065653e+00 1.240493340099197761e+00 2.649254307710900980e-01
1.133617645507820182e+00 2.446943417968789891e-01 2.263143457031266750e-02 1.844968218750026034e+00 2.481674941406225576e-01 1.737118203124995985e-01 6.459102842759993912e+00 6.124177625473169184e-02 4.299741394796790850e+00 1.248645885711395120e+00 2.388355199079002233e-01
1.108010309570319318e+00 2.537499492187550443e-01 2.242326074218774570e-02 1.827208304687521601e+00 1.557692226562488180e-01 1.891554716796868540e-01 6.963105999151868453e+00 5.117225011806136870e-02 4.289097130044702944e+00 1.249515798766212438e+00 2.503570690731406478e-01
