M Y Z alpha diffusion overshoot age log_g radius Y_surf X_c mass_cc
1.107779931152346853e+00 2.587988212890646178e-01 2.348277783203141580e-02 1.873972100585962419e+00 1.129070379882795017e+00 1.570575581054700076e-01 6.443886117363144095e+00 4.293016594398523011e+00 1.244828789716946771e+00 2.232853335445977583e-01 7.988818039620984579e-02 1.370641964910649692e-02
1.113932363281251670e+00 2.707950146484385257e-01 2.554699121093758490e-02 1.841934388671888190e+00 9.917297216796779891e-01 1.543021601562514500e-01 5.766063743692697585e+00 4.297161411275324028e+00 1.242707785236170759e+00 2.357432897987423726e-01 1.402099524384070039e-01 2.401635773111125693e-02
1.109190168457027559e+00 2.604375566406261222e-01 2.387902978515653654e-02 1.895098884765647140e+00 1.139802816406227715e+00 1.618452426757827911e-01 6.522391400815474860e+00 4.288631020560376150e+00 1.252778962781140981e+00 2.252318314848853753e-01 8.688200646994614917e-02 1.840905147359978705e-02
1.071545429199216803e+00 2.649531923828138957e-01 2.315022412109374317e-02 2.000463438964844798e+00 8.961947636718637922e-01 2.225230961914096139e-01 7.181267284169786436e+00 4.310707661122686218e+00 1.201329735950584565e+00 2.302673703736934085e-01 1.148940134354511367e-01 2.544383953141482121e-02
1.087342202148432246e+00 2.635404052734378055e-01 2.284342968750018021e-02 1.925676790527351745e+00 1.085246293457015510e+00 1.568023081054704670e-01 6.996782727502432131e+00 4.285007963967556677e+00 1.245728298208321538e+00 2.269131588540672928e-01 1.105376755306890224e-01 2.934427175581279246e-02
1.073547668457034199e+00 2.649252983398464045e-01 2.305090527343766141e-02 1.890936543945323844e+00 9.757546879882585955e-01 2.051680898437510114e-01 7.097915203853486510e+00 4.300216653897675378e+00 1.216651233260267473e+00 2.290497614819676508e-01 6.484301797447671045e-02 1.221584078290403712e-02
1.051100534667978481e+00 2.692106860351583530e-01 2.107958203125019636e-02 1.913974600585954366e+00 1.149147591308574468e+00 1.915715395507815444e-01 7.179918683765612819e+00 4.299182998065294470e+00 1.204802604565527790e+00 2.310195021210825483e-01 6.919390489928441135e-02 1.420614041748570824e-02
1.083405371093758562e+00 2.616452153320342755e-01 2.255707275390642433e-02 1.837859834472666876e+00 1.131512440429664812e+00 1.690240751953134002e-01 6.925737987797798922e+00 4.287527371725650127e+00 1.239200063338918412e+00 2.243036651494516309e-01 7.396705615135254486e-02 1.433685153146616910e-02
1.087185888671880152e+00 2.738279282226576128e-01 2.240423388671892654e-02 1.896196685546887473e+00 1.054576563476554041e+00 1.480340917968763492e-01 6.084941850188569923e+00 4.290134117750377563e+00 1.237566394666781422e+00 2.362259398987892611e-01 1.164598546046019256e-01 2.594805371570180208e-02
1.090790944824217235e+00 2.649221757812518230e-01 2.364780126953139328e-02 1.908697634765634810e+00 1.076441900390606055e+00 1.895989125976578482e-01 6.605510472288553814e+00 4.302932872110304174e+00 1.222484408797212874e+00 2.298704102015401707e-01 1.233144958490730442e-01 2.340801506090326237e-02
