M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
9.972015019531222935e-01 2.770690937499997730e-01 1.988711425781229322e-02 1.767747048828135492e+00 3.077289277343752683e-01 1.670166484374997484e-01 7.390748648570817814e+00 1.426972262808251235e-01 4.351536780954893047e+00 1.105248429096823193e+00 2.690060907971321691e-01
9.958139648437487335e-01 2.796851328124999037e-01 1.982569531249979769e-02 1.782604720703136136e+00 2.974298154296877716e-01 1.678604531249998644e-01 7.251588466691328172e+00 1.451025093232503338e-01 4.354972626894457299e+00 1.099848948172098106e+00 2.720204391155257584e-01
1.030552737304681665e+00 2.687452294921869878e-01 2.037795703124983468e-02 1.730035924804701697e+00 3.640310849609392774e-01 1.315509121093746958e-01 6.851692509722971280e+00 1.523033360111401280e-01 4.342118714368224275e+00 1.135473137960857581e+00 2.598046413504180863e-01
9.881602285156224630e-01 2.767109052734365582e-01 1.898669238281231950e-02 1.768370886718760415e+00 3.648060595703133679e-01 1.713314658203123064e-01 7.458353397067687851e+00 1.494327547310944637e-01 4.354074693227310888e+00 1.097266844480588865e+00 2.670310797132378067e-01
1.055129314453121303e+00 2.659493857421879603e-01 2.195399707031237338e-02 1.744121460937517742e+00 2.195900136718721696e-01 1.329452236328126369e-01 6.132198905334233174e+00 1.895902822927692244e-01 4.357311154813108267e+00 1.128523259823354552e+00 2.607190605642992209e-01
1.004018165039058275e+00 2.742724013671868355e-01 1.983761523437481064e-02 1.753127218750009986e+00 3.485377265625017595e-01 1.558100302734372888e-01 7.171968460235324194e+00 1.620143971940930516e-01 4.352963077463435582e+00 1.107497450212661549e+00 2.652955479549940487e-01
1.007216264648437054e+00 2.762663828125002663e-01 2.005736914062481932e-02 1.806817197265636832e+00 3.696786689453134267e-01 1.743637060546874007e-01 7.115878237622299096e+00 1.566601732218963483e-01 4.354360904607026406e+00 1.106967975150658257e+00 2.671188909479267348e-01
1.022229482421863400e+00 2.677839023437480481e-01 2.107076171874974410e-02 1.643170308593758788e+00 2.470116249999957381e-01 9.044493554687452197e-02 7.055796636854810622e+00 1.590449906434341920e-01 4.344859800124224236e+00 1.127114877197880283e+00 2.615339151404529328e-01
9.831556591796867250e-01 2.774777783203118409e-01 1.991623632812482975e-02 1.783585064453138136e+00 3.281783330078126837e-01 1.748413046875000043e-01 7.967926199094289785e+00 1.141165413980187171e-01 4.352426402991127041e+00 1.096161859737289967e+00 2.685490151557654581e-01
1.024900985351557381e+00 2.703587724609369802e-01 2.023882421874981935e-02 1.735246087890637723e+00 3.033872773437496506e-01 1.329636738281247121e-01 6.898608355826486793e+00 1.499220417583434772e-01 4.346190743727527561e+00 1.126864696979245295e+00 2.629096857424745859e-01
9.994412500000006139e-01 2.704704970703116773e-01 2.026804199218737099e-02 1.886152736328135848e+00 4.628783056640620175e-01 2.354196210937512523e-01 7.518279947077020964e+00 1.803914436166623447e-01 4.369584131682199946e+00 1.083573662013807892e+00 2.575503840919208254e-01
9.884400488281243069e-01 2.802983896484376736e-01 1.958210449218730081e-02 1.785271913085948237e+00 2.367564677734365075e-01 1.728087031250002403e-01 7.614349213484215007e+00 1.201010755666077900e-01 4.350511122933783170e+00 1.101179583609888546e+00 2.737385918999529766e-01
9.789922744140637789e-01 2.811375019531252017e-01 1.928552343749980608e-02 1.803888120117199678e+00 2.422103232421868868e-01 1.883323408203130822e-01 7.771870159616431906e+00 1.214868329056586344e-01 4.356753009387622555e+00 1.087772224064123883e+00 2.741626098199809736e-01
1.011936339843743760e+00 2.714392265624993028e-01 2.195135253906230904e-02 1.711540666992199533e+00 4.077776289062512993e-01 1.263375322265621881e-01 7.462627654844119718e+00 1.424239273231030778e-01 4.348291858535967336e+00 1.117613523535559317e+00 2.608043513064599583e-01
