M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.109995021484373234e+00 2.937644228515621792e-01 1.861838867187493030e-02 1.942820469726567412e+00 7.460829716796910649e-01 1.583205224609381123e-01 4.597677114508321949e+00 1.766807018499698678e-01 4.246941152558815880e+00 1.313796357990552943e+00 2.736369530372549375e-01
1.097150608398434146e+00 2.945912958984364116e-01 1.743878417968745820e-02 1.921770267578124525e+00 6.921042294921916360e-01 1.442189052734379751e-01 4.516165123047229280e+00 1.780365237526985167e-01 4.254785911423342171e+00 1.293841104244153106e+00 2.719870358282988065e-01
1.076987361328124004e+00 2.913599277343748017e-01 1.525165136718743819e-02 1.944414478515631872e+00 4.097634296875005688e-01 1.853026416015624289e-01 4.948376986035920133e+00 1.640465938790286182e-01 4.248061203571503519e+00 1.291865080270493849e+00 2.794355845791234860e-01
1.090573692382806659e+00 2.963333740234379565e-01 1.672908593749996078e-02 2.004470197265633580e+00 3.107867939453112793e-01 1.663062460937498599e-01 4.543831425974618199e+00 1.751485589336830295e-01 4.262495297428567476e+00 1.278345251145890371e+00 2.862082512411487922e-01
1.067363765624999017e+00 2.772337529296868275e-01 1.428563378906251395e-02 1.817789084960946822e+00 4.646290546874999872e-01 2.185150498046878609e-01 5.607900064179537125e+00 1.674011029462994238e-01 4.239767199854814983e+00 1.299315401397385328e+00 2.611325124046673940e-01
1.136926485351561489e+00 2.900413212890618486e-01 2.124719531249995297e-02 1.948375957031249106e+00 6.028676660156242484e-01 1.695393310546880750e-01 4.693741006681087846e+00 1.667916179243647823e-01 4.242401800614691965e+00 1.337354832745882849e+00 2.730276908166459626e-01
1.097977280273428891e+00 2.951594960937491408e-01 1.751649511718742988e-02 1.995213736328127041e+00 3.668485527343748331e-01 1.545394707031249593e-01 4.631212619390001173e+00 1.644311458923876923e-01 4.258741102878906837e+00 1.288220436522428347e+00 2.851347802555467825e-01
1.093494488281247623e+00 2.745222490234374702e-01 1.366756640624999623e-02 1.888147796875004669e+00 4.439962597656241794e-01 2.275536904296867335e-01 5.021363497922370911e+00 1.980810007748375901e-01 4.239613045091427779e+00 1.315823386141380169e+00 2.571395388463293963e-01
1.132252642578123192e+00 2.790083740234372001e-01 1.881565332031243792e-02 2.013174937500013861e+00 7.514726181640628555e-01 2.163973847656255889e-01 5.079609857626883773e+00 1.678701020001479305e-01 4.235968562513292568e+00 1.344162761122252858e+00 2.591724658750135801e-01
1.140125907226565038e+00 2.853881367187500739e-01 2.215161328124992668e-02 1.896400392578123206e+00 6.048718105468746664e-01 1.787820488281264830e-01 4.847182853045388207e+00 1.681924191304298155e-01 4.247715604070937623e+00 1.330696959075932995e+00 2.687074848665010340e-01
1.097428285156247352e+00 2.936905771484372152e-01 1.683271191406245093e-02 1.978036559570320430e+00 5.251582216796876201e-01 1.691577304687502115e-01 4.745770119041750945e+00 1.601905929314128563e-01 4.243751179392526218e+00 1.310685208101021848e+00 2.780626611999711395e-01
1.135928585937493684e+00 2.915134677734367852e-01 1.963454589843747003e-02 2.060395774414073511e+00 6.217146992187518872e-01 1.774203720703124709e-01 4.509819550266037425e+00 1.705536413918733452e-01 4.247263232131020416e+00 1.328371329387096234e+00 2.747974750224687623e-01
1.136250968749996426e+00 2.914312167968747813e-01 2.143619824218747499e-02 1.944680500976562199e+00 5.429523505859356058e-01 1.829570390625006038e-01 4.542589827249434720e+00 1.946643524500801803e-01 4.251450460791422969e+00 1.322411813204182218e+00 2.763788200463181965e-01
1.172488969726561248e+00 2.867478505859373250e-01 2.301768359375003584e-02 1.957040589843749734e+00 3.113682890624989708e-01 2.247664960937497680e-01 3.933183954626801260e+00 2.794348682553696728e-01 4.269177371031000590e+00 1.314598902056321350e+00 2.759093889286746148e-01
