r_sep02_median Teff L Fe/H dnu02_median r_avg10_median Dnu0_median r_avg01_median
2.027532520398220017e-01 1.163058614315356787e-01 1.177717892188479137e-01 1.167480195641826396e-01 9.070029978876126275e-02 1.366102868598608744e-01 8.881378246657378739e-02 1.302967086304159527e-01
2.335873229028506970e-01 9.518547199571246453e-02 1.073567603481086902e-01 6.470120878448562540e-02 3.217755582481158366e-02 2.074606550060666410e-01 2.275811586424131561e-01 3.194986649555111441e-02
3.376531423565712897e-01 1.045060033833355717e-01 1.271364971409704725e-01 5.681714370292081928e-02 1.155136894885265830e-01 1.226372802300585430e-01 9.705715242030910073e-02 3.867909127730768948e-02
3.075418512792658654e-01 1.110967544258936596e-01 1.181021826428545196e-01 6.470696366489296636e-02 3.740996663250502341e-02 1.366720641337910436e-01 6.818060739196012132e-02 1.562896098288369673e-01
2.594978379061816942e-01 6.562909554249113375e-02 1.127465108609389394e-01 7.253934942318961132e-02 9.075144244186765519e-02 2.784270851538653280e-01 8.388688840834931937e-02 3.652179026311641596e-02
1.633566174342928057e-01 1.821262766178295411e-01 1.120296264934158015e-01 7.287366127631851598e-02 6.667357968208341423e-02 1.364610781150948082e-01 2.375500165038854639e-01 2.892914387707971532e-02
2.789006344366102286e-01 1.375220362532040275e-01 1.163720631663070493e-01 2.706449209725974442e-02 1.180578141468530129e-01 1.784465111292907469e-01 1.128647281758331511e-01 3.077172059464195614e-02
1.203649270497241103e-01 1.345262622541254505e-01 1.279434192526291425e-01 1.078607799589178518e-01 6.708187843136351192e-02 2.850884707129764939e-01 1.294947314757293466e-01 2.763953086453416891e-02
3.365547499465557646e-01 1.399175188451766139e-01 1.301930951013308135e-01 4.535628296942609272e-02 1.526016779423046421e-01 1.269914916526005133e-01 3.683618339957284854e-02 3.154900014303285705e-02
2.748110011209382586e-01 8.418922271466011686e-02 1.218927088425590249e-01 4.505865555233891373e-02 4.626280777088066787e-02 2.162707534204817150e-01 9.079337170140977520e-02 1.207214788767316666e-01
8.354602504440789001e-02 1.495123692354916600e-01 1.199776638398429296e-01 1.109530718598819160e-01 2.808033125272289474e-02 4.384224458173703320e-01 2.946615002054565197e-02 4.004194292973658337e-02
1.835059345097840577e-01 2.230199196560383457e-01 1.146300905945737553e-01 4.122879844334550320e-02 1.309508099278886284e-01 1.874516355422199687e-01 6.780709914615767886e-02 5.140571217999207604e-02
6.670937358015423257e-02 2.975496341206136375e-01 9.866618262272108808e-02 2.655073520664412781e-02 7.171330005981824129e-02 3.524542524666637311e-01 4.459261425863074446e-02 4.176390768475411741e-02
2.942873449852647094e-01 1.244656833288292769e-01 1.149414081528670334e-01 6.420878789517592278e-02 7.040010035988462922e-02 1.351551429887601630e-01 1.556918519126801737e-01 4.084968037653803619e-02
7.746742677293630419e-02 3.043912299111155018e-01 1.026826184289618971e-01 4.778482184772222391e-02 6.660904407541980154e-02 3.230580715821439464e-01 4.029391754922102137e-02 3.771286983247938013e-02
2.810342224416513268e-01 1.442699339913333934e-01 1.364632369425251013e-01 3.631903386204118900e-02 9.003175889539688503e-02 2.426212629786642094e-01 3.233093266253834336e-02 3.692961822584970438e-02
9.715722039936151855e-02 6.317719603232790915e-02 1.209782328462925965e-01 1.089261457080110684e-01 7.469275669555350272e-02 4.600799261746744695e-01 2.947135843542311728e-02 4.551716370835587333e-02
2.394123387587868412e-01 1.032596174919019755e-01 1.174676743265844064e-01 5.066840586290119464e-02 4.382402214289474879e-02 3.810952378656546902e-01 2.819264857491332946e-02 3.608005497636282422e-02
2.251062714971532874e-01 5.350755005837679740e-02 1.180092288300506748e-01 7.440702183601867470e-02 2.617147572899472530e-02 4.210422829556476065e-01 4.660148395073910460e-02 3.515468514301927500e-02
1.156275114279426003e-01 1.113145441600161961e-01 1.179658797542899595e-01 4.420646773674145186e-02 5.640185791672902571e-02 4.836520094425681981e-01 3.685541594230155871e-02 3.397631361941091249e-02
9.645765805118554359e-02 1.069866631375680499e-01 1.130837653942981524e-01 4.604676612304509087e-02 2.496939118806728447e-02 3.673458979347233311e-01 2.003931180659291045e-01 4.471674010518335990e-02
2.262227143617347169e-01 2.204598734555174855e-01 1.235833984820728093e-01 2.863982287331907906e-02 1.562714083760935735e-01 1.139997072223155744e-01 4.237580703771396534e-02 8.844726819123296946e-02
7.280575060128115228e-02 1.996360938004592689e-01 1.063955161940623728e-01 1.171197018778595000e-01 2.926013470706576025e-01 1.357726728627444424e-01 3.931196346421756554e-02 3.635695412871801924e-02
2.203584746741904243e-01 2.632604930892371575e-01 1.252731556556954673e-01 5.177277695589628526e-02 1.297990973465904807e-01 1.058588106776715831e-01 7.202812088240760635e-02 3.164907071831110641e-02
7.966733072337230104e-02 4.230292921346143764e-01 1.065918549831883083e-01 3.043870663638835114e-02 1.598475172688155477e-01 8.398736476447611621e-02 3.548883682294032282e-02 8.094909666620467292e-02
2.034128788165900370e-01 6.600232971774669388e-02 1.144633348524498606e-01 5.926343376040972555e-02 3.524456105911936282e-02 4.492841869165397628e-01 3.065758889336534648e-02 4.167168598377921085e-02
