Teff dnu02_median dnu02_slope r_sep02_median r_sep02_slope r_avg01_median r_avg01_slope r_avg10_median r_avg10_slope
6.274185925417863352e-02 5.612648913299132097e-02 6.299472880820874976e-02 6.941673130962185134e-02 1.003942006962413869e-01 9.144861646056585969e-02 1.101318886676745518e-01 1.528732299250748494e-01 2.938722557454427342e-01
6.671062319279481845e-02 6.077364759045238846e-02 6.574139469041753725e-02 7.065412088366329613e-02 1.044892029131504751e-01 9.592034098533390452e-02 8.888756488031485103e-02 1.523771430749661093e-01 2.944459617889066960e-01
6.208460773096426133e-02 6.305933465639290691e-02 6.725940431218573046e-02 6.578125294400065382e-02 8.885578956902767667e-02 7.777427480739095011e-02 1.083904590578697313e-01 1.693360443725361320e-01 2.974588325496319574e-01
6.007852022809151427e-02 6.108044466734333794e-02 7.254770143047463427e-02 8.231979134526827557e-02 8.719621279430896099e-02 1.008582978510775552e-01 8.120218438423999763e-02 1.564429522512733040e-01 2.982738950479223439e-01
5.161141132646623886e-02 7.319705584144886590e-02 6.795495928456637968e-02 6.748347227998086062e-02 1.178693019403047604e-01 9.432691392975064981e-02 1.173549754045865173e-01 1.423285943726919078e-01 2.678733156202038890e-01
7.343122016672036512e-02 5.952518320621804498e-02 6.213104453355670215e-02 8.962065040365135848e-02 6.701024560917426265e-02 1.003265626735489885e-01 8.246290236855746691e-02 1.546452868697303640e-01 3.108469041688423640e-01
5.975119359446873224e-02 6.082598680420708837e-02 6.877995755724679305e-02 6.372627219158653877e-02 9.186151809952708414e-02 9.431016868302924405e-02 1.012731524902850538e-01 1.648668118132648741e-01 2.946049387663846608e-01
5.975464121337003415e-02 5.926984023949199987e-02 7.150150792319655280e-02 5.914963388863586635e-02 1.105868218787142282e-01 1.057815326980235116e-01 7.215452787366936904e-02 1.639495275693869936e-01 2.978519667155113959e-01
6.796364453142773876e-02 5.862543998844844256e-02 6.450752929113402756e-02 8.905956486793327465e-02 6.766234357623825135e-02 9.401247896793896164e-02 1.112851585964180767e-01 1.647974817203079478e-01 2.820863584601533414e-01
6.017175136518390643e-02 7.401096551169281113e-02 6.851283237424558858e-02 9.649810608268544199e-02 6.573019846791429421e-02 1.099667668292441669e-01 8.196511055053919137e-02 1.384424403700299788e-01 3.047018284484645512e-01
6.970248177177626459e-02 5.863845453573292288e-02 6.878183162796089323e-02 9.443765980740896626e-02 6.992637681357546930e-02 9.511453903133143539e-02 8.800175272172448826e-02 1.584834714665720179e-01 2.969134322239174728e-01
6.217190281092984522e-02 5.895220899088111921e-02 7.366440011775858554e-02 6.922609778194235841e-02 7.580012787631476567e-02 9.649939387079199682e-02 9.527380187657295829e-02 1.652564145780850702e-01 3.031556520967234047e-01
5.330782685140429689e-02 7.984215950248509108e-02 6.440827451791254765e-02 6.624270418563631135e-02 9.856231693980560538e-02 9.554102282992310569e-02 7.663833650576572232e-02 1.637485363468542954e-01 3.017088223202130104e-01
6.172874531560809674e-02 5.888714544974640169e-02 6.793656890065086218e-02 7.145164176160719027e-02 8.366242826795568244e-02 1.023630593848867537e-01 1.050957976510147329e-01 1.582860254376232401e-01 2.905885878309069636e-01
6.038111295714587018e-02 6.330465497363364780e-02 6.914096544996205240e-02 6.963663941445578931e-02 9.606283005754309712e-02 9.122348868757385043e-02 1.042777720534700803e-01 1.471258474928150983e-01 2.988466889134003823e-01
6.191020858723533804e-02 6.226594746652189954e-02 6.528472307304579447e-02 6.495197491006178547e-02 9.574619851990753827e-02 9.203855202564960314e-02 8.536291839292790840e-02 1.671197984646359269e-01 3.053196785600141849e-01
5.631131131008269147e-02 6.248771140894529563e-02 6.782950128449924398e-02 7.361657403310066516e-02 7.720468708217860521e-02 9.203492659266854226e-02 1.004364447318760317e-01 1.646089751813199220e-01 3.054698683753289123e-01
7.424639098404381410e-02 6.629550461204457290e-02 6.889854948867733808e-02 6.492860455493455751e-02 7.385060706329864277e-02 9.982565213366040302e-02 1.197264482083303799e-01 1.628843958767902389e-01 2.693438470782201777e-01
6.027843502471932902e-02 5.742351124387594374e-02 7.352840718179388946e-02 8.176116914230105448e-02 9.161971312016999047e-02 9.754822791028115725e-02 9.732584914699346501e-02 1.531924929473013619e-01 2.873221942825637809e-01
5.871203760717252224e-02 6.046353707421789347e-02 6.838188274516934784e-02 1.128426240886045706e-01 6.647065191240909832e-02 9.234052624068360415e-02 9.129023594055259150e-02 1.714625562435222184e-01 2.780359481476681327e-01
6.096230413055991892e-02 6.582488382214544964e-02 7.097194050278594901e-02 6.543083938176914860e-02 8.848309468289185242e-02 9.743734159557464192e-02 8.954619782182245136e-02 1.642173215780369788e-01 2.971260764844135815e-01
5.525708638274808016e-02 5.814071103985906513e-02 7.288501714890376071e-02 7.988580209139045651e-02 7.179158990620021497e-02 1.011046577816567815e-01 1.127633208774018320e-01 1.607382100635556810e-01 2.874336047082842183e-01
5.056031511314582061e-02 6.610362848348902420e-02 6.486684117249966186e-02 7.231892540816600712e-02 7.897761112045684206e-02 9.476976323976696315e-02 8.561115652788620078e-02 1.707328935127533642e-01 3.160588654218360327e-01
5.697425198675812319e-02 6.654809489967418445e-02 7.400286345795548115e-02 6.921064366738852169e-02 7.297299025968441433e-02 9.188348803022390598e-02 1.171272831361684363e-01 1.657011966424978000e-01 2.855791879196491467e-01
6.279920757324711222e-02 6.816606966844690474e-02 7.561441399359700166e-02 8.100366822312773940e-02 6.532025652224049406e-02 8.933403736491368763e-02 1.570636860685159508e-01 1.591552193516576064e-01 2.415434412342534753e-01
5.453609354524668190e-02 6.313447108369217575e-02 6.578418710054532992e-02 9.282752029035405694e-02 6.938562268629357155e-02 8.876079231866000618e-02 9.443145622149043406e-02 1.738404192961933992e-01 2.972994374575243515e-01
6.369119696108239970e-02 5.897142025816583255e-02 7.584542118905313046e-02 8.128413465363429347e-02 7.325725235079755260e-02 9.719470054675917459e-02 9.221240069334506184e-02 1.569286635075161362e-01 3.006148098396463908e-01
6.129441357090707754e-02 5.577473290362927605e-02 6.790951098314779166e-02 6.504018134061105572e-02 1.003904122631474050e-01 9.141640591088383283e-02 1.404479973414367311e-01 1.691553918440127924e-01 2.485709538422240517e-01
5.838996009081882932e-02 6.406191990157894534e-02 7.408739358925062191e-02 1.028029892135272072e-01 6.048640592590958515e-02 9.609064656675692095e-02 8.631249619231443071e-02 1.643027209948639822e-01 2.934654675249795397e-01
7.085046333268110730e-02 6.113066837817655863e-02 6.735582567771467022e-02 8.361686598468788534e-02 1.010759279749319645e-01 1.007982119434332191e-01 8.533963608859609917e-02 1.493408732022036278e-01 2.804915274175748263e-01
5.711080865587642857e-02 6.608696472091683816e-02 6.762351091238474887e-02 7.043073586501054362e-02 7.556250670230203748e-02 1.030059315602070841e-01 1.094696046812907025e-01 1.580308549740076507e-01 2.926790819280039591e-01
7.084204207697815392e-02 5.920288243788713461e-02 6.400390113553482141e-02 6.836536094444628509e-02 1.065993866770326287e-01 9.802997550139461169e-02 8.969427619797488982e-02 1.470552200585654168e-01 2.962069549701860094e-01
6.679671089711340659e-02 5.321054826519620862e-02 7.300312821558084531e-02 7.829684439793815898e-02 7.690256802388945045e-02 8.916601969277219986e-02 1.546829241998587956e-01 1.689712384828533087e-01 2.389700178247976259e-01
6.515028610559842059e-02 5.963544241275932356e-02 8.412569637337843909e-02 1.279313215296297435e-01 6.037607099450032627e-02 8.697455246531421436e-02 8.121214815895846928e-02 1.377104397450934492e-01 2.968840422147676628e-01
6.286569854529136525e-02 5.971603309462199943e-02 6.429879660272661002e-02 8.437611198558062076e-02 6.772809812247167216e-02 1.113960853413565599e-01 1.024842898611390135e-01 1.630383165423088532e-01 2.840965699045032711e-01
6.937606678141962357e-02 6.296084527350111204e-02 6.072119257443449325e-02 8.797337327430745924e-02 6.712458824627258458e-02 1.007485462035073720e-01 9.955093408954060474e-02 1.560617130313538270e-01 2.954827405256628681e-01
6.334683665261903185e-02 5.868389399526676570e-02 7.056127191469638293e-02 6.938755305827019881e-02 7.807268171436908266e-02 9.025418993702810644e-02 9.989195950388204959e-02 1.742532770138575104e-01 2.955483362100108646e-01
6.259064483395221368e-02 8.055240047577091889e-02 6.372620864976763499e-02 7.703893804159284153e-02 8.393785736404178743e-02 1.076337589703996317e-01 8.048785343903418210e-02 1.484252913720844058e-01 2.956070468533562590e-01
5.384249946305484646e-02 7.071873865239969303e-02 5.698000613713773144e-02 9.609007365818623969e-02 6.187626928827212602e-02 1.018285448620457195e-01 1.332153190606657212e-01 1.527945317404501846e-01 2.726540171377877519e-01
6.581048402464088898e-02 5.269535497994148887e-02 8.152030108072935710e-02 6.404606085022850059e-02 7.907110623894959833e-02 9.671193710829061041e-02 1.074118827312292301e-01 1.578611795995370493e-01 2.948716933864533596e-01
6.339895010253439323e-02 6.715987210429910648e-02 6.798611680227575893e-02 7.075684782564450881e-02 7.853151478417003117e-02 9.651649674792998901e-02 8.629868519144789918e-02 1.557616644169493580e-01 3.135898520247489829e-01
6.525986390596631714e-02 6.190028631462683728e-02 7.583726365059399732e-02 6.794404085704715268e-02 8.120909648147846271e-02 8.963364624839077754e-02 1.266552415021263978e-01 1.617968180583531923e-01 2.697637429814168653e-01
7.322681168133994556e-02 6.332463925322821818e-02 9.210489650455438992e-02 7.210998471361398932e-02 8.142450023505602708e-02 9.955804012982856499e-02 8.629799590722669889e-02 1.349922124111702371e-01 2.969609191639819845e-01
7.959634463105488833e-02 5.620928614321450689e-02 8.408656693748364774e-02 6.922373086227434635e-02 9.762857934063773335e-02 9.689391629539606532e-02 1.011415951613619801e-01 1.282687423051178388e-01 2.869512383234589237e-01
7.479366862762236445e-02 6.069484578488684029e-02 6.626060096010256972e-02 7.011279909214535033e-02 7.550365288724295021e-02 9.662906906241167104e-02 1.198431867496546066e-01 1.619410244287426692e-01 2.742211524071909712e-01
5.943736682249868564e-02 6.176748332595057706e-02 6.840038467472872585e-02 8.895162435906477094e-02 8.113288321096284728e-02 9.749374489434445290e-02 9.234273938588410946e-02 1.602776085433300080e-01 2.901961647832358437e-01
6.215400569485491494e-02 7.133959113892747450e-02 6.075747914417554268e-02 6.491141437896119637e-02 1.012645927905779508e-01 9.521296552556302029e-02 1.359953988669187763e-01 1.479661655003057241e-01 2.603983869597152889e-01
6.872028047238373794e-02 6.044958311360281583e-02 6.040369186458201256e-02 6.884557598607042583e-02 8.083725718341647215e-02 1.070063801235257572e-01 9.415844257127085892e-02 1.605079321462049569e-01 2.990708565389429419e-01
6.781628027132144410e-02 6.138185219947524252e-02 6.103442110458275754e-02 6.510351331562140575e-02 1.095603654814105016e-01 1.016412373435243710e-01 9.649884696218637148e-02 1.429503554665434162e-01 2.940131278553344552e-01
6.197911792325492414e-02 6.225215881269590551e-02 7.228916530302821608e-02 7.733449170075588908e-02 7.026341156884284567e-02 9.389055079977742801e-02 1.108388834154963865e-01 1.564633868751867107e-01 2.946888336009617637e-01
5.776016743066903630e-02 5.793571714644784459e-02 7.652924137427566387e-02 7.403252584983156803e-02 6.650534111764683232e-02 8.536430071185976964e-02 9.785943052789319863e-02 1.744766780451227906e-01 3.095365977962531434e-01
6.972981934893798805e-02 5.654871211327438391e-02 8.219870970082146511e-02 6.537609360263911540e-02 9.015747478188777808e-02 9.597660942570876430e-02 8.340946448998566576e-02 1.593527698628900147e-01 2.972503466738547484e-01
6.686025756684807475e-02 5.758822933485679280e-02 7.599453327637482880e-02 6.545155586060331931e-02 7.800801422147453368e-02 1.078318887530840542e-01 8.939281368793129678e-02 1.639969413937319431e-01 2.948757659050950664e-01
5.621615638236204110e-02 6.259425351995603903e-02 6.301507235383808914e-02 6.701526560256265697e-02 1.135779245473279991e-01 1.014018098759895542e-01 8.259350914567287205e-02 1.673290232527145371e-01 2.862569853195760516e-01
6.709499086222030229e-02 6.566785422387730331e-02 6.214863703344149920e-02 6.768822482054225043e-02 9.332524054148756687e-02 9.617196284580296906e-02 9.160169127811174095e-02 1.568596213734516631e-01 2.994417770210646146e-01
6.360047623636305714e-02 6.439713802311604340e-02 6.326419391081626598e-02 7.927405303912342382e-02 7.293076754803233530e-02 1.062675457390714201e-01 9.498112927068662337e-02 1.562760852457754368e-01 2.990086109870153108e-01
6.908398889275918497e-02 6.301711919947693141e-02 7.283385330806366187e-02 6.598347652930657004e-02 8.620462243536260172e-02 8.741213915151935243e-02 8.768292431988768121e-02 1.680606447241926871e-01 2.997212314394312460e-01
6.592430915136406055e-02 5.798440907937547212e-02 8.339227218917254214e-02 7.208688077155001039e-02 1.034503956136002406e-01 8.239828786520438098e-02 1.019150967849625777e-01 1.436460281576374398e-01 2.892023203871333381e-01
9.447759890275103656e-02 5.465235085307970642e-02 6.452151917081787313e-02 1.042118180727368143e-01 6.910066969148952187e-02 1.166504130963395142e-01 1.336385247738195725e-01 1.105703285628077126e-01 2.521767768761582484e-01
6.418618711303623880e-02 5.860959984884998170e-02 6.470763203547699738e-02 9.246226251077652170e-02 7.273434749031956748e-02 8.793079945963712396e-02 1.065444604454095917e-01 1.644187566540617207e-01 2.884059544424323329e-01
5.878195473633596180e-02 6.005325272091011773e-02 6.677088122428519179e-02 7.172209190281950142e-02 7.315329289495424436e-02 8.773068842289132030e-02 1.482340324345999827e-01 1.839190466272612456e-01 2.496347590359424828e-01
5.385429751918101304e-02 7.170762770382606288e-02 8.174083681092711440e-02 1.126077807568982153e-01 6.032150749818330354e-02 9.649062724681617409e-02 7.640731334893954840e-02 1.478223695842732499e-01 2.990476395309553115e-01
6.091863332863912267e-02 5.721272495347466680e-02 6.952393152410438204e-02 9.528796497863065151e-02 7.366169041437357901e-02 9.656622423264667188e-02 1.011912546599121610e-01 1.449692817462883976e-01 3.006682941619303606e-01
5.784981348001232149e-02 6.714710453157210490e-02 8.195015042565344243e-02 7.179231548443151811e-02 7.081849724587284400e-02 9.778241354042484235e-02 1.450456929523218363e-01 1.686082551261457174e-01 2.390057572135653452e-01
