Teff Dnu0_median r_sep02_median dnu02_median Fe/H r_avg10_median r_avg01_median
6.160663081247236272e-01 4.209695260416457252e-02 1.871853813482010076e-01 9.156949949643274078e-02 3.222387550685580637e-02 1.775064070786687778e-02 1.310734221175536771e-02
4.995545358760747345e-01 5.276168537708379735e-02 2.744805431480802360e-01 2.540949759320709767e-02 9.484827183613626922e-02 1.618654820570560038e-02 3.675891796371252851e-02
6.016955789633248175e-01 4.482105185509507178e-02 1.971696420662737703e-01 3.194695958272231184e-02 5.777756494254421282e-02 3.360521396805983552e-02 3.298398862198001491e-02
4.709173140562640247e-01 4.706516434200713750e-02 3.108864065309872582e-01 4.679150386500251224e-02 7.042123248889885223e-02 1.607306438274768226e-02 3.784531433409267509e-02
5.024907800428010107e-01 4.527583173257127697e-02 2.103687309334182909e-01 2.322021284235555733e-02 1.516271554975614222e-01 3.648798210281270493e-02 3.052930684847960166e-02
5.992420372489286606e-01 4.483245810073403781e-02 1.134291299177172391e-01 7.529554935121093862e-02 1.043108726752382392e-01 2.659163419612882093e-02 3.629831851004192839e-02
5.662238994140903481e-01 4.342918257809084970e-02 1.275514115769182666e-01 6.723917565910836336e-02 3.967259651747378352e-02 1.464032450622207993e-01 9.480489192097504500e-03
5.093677838415803238e-01 4.094593564151672443e-02 2.020216303517917145e-01 1.171737922769680584e-01 7.398052134894998744e-02 2.870147157475599897e-02 2.780886496443727568e-02
5.464420452906382231e-01 4.161584326161146818e-02 2.442560914637164071e-01 4.140196573997331764e-02 4.420674214589937617e-02 1.624681980287051922e-02 6.583049229529065738e-02
6.033669325493004054e-01 4.609122952751040087e-02 1.537518308942144030e-01 5.636587644154291560e-02 6.162558413759324644e-02 6.006558810473344723e-02 1.873295834510509128e-02
4.681535586035387442e-01 5.444771350911075530e-02 3.150882752366354622e-01 4.477748517481271173e-02 9.018477564017313153e-02 1.457568733165934965e-02 1.277250450406982457e-02
4.448924990347161157e-01 6.836119319399071304e-02 2.892584635128516712e-01 5.960925707593736633e-02 1.030045004072083908e-01 2.064847695678046630e-02 1.422560981851533381e-02
4.616731622521040856e-01 4.180189864636581903e-02 3.164364943185585255e-01 1.092660836809003916e-01 3.900677782549631656e-02 2.136142338873565916e-02 1.045415988783927365e-02
6.226158448506929899e-01 4.394489449969445766e-02 1.882869088235801514e-01 5.012756703228943983e-02 5.089875540140677973e-02 2.542866620159715818e-02 1.869736319073912398e-02
6.334198418895859994e-01 4.620383455595627326e-02 1.127485343623998854e-01 7.495670939796018895e-02 1.001865524333920704e-01 1.647578081645554443e-02 1.600874654425013532e-02
6.100996935812057487e-01 4.279649091515790732e-02 1.857828669587225923e-01 4.328010731975816261e-02 7.556338660513399474e-02 1.125888931200248744e-02 3.121856530801911389e-02
6.125700961928899346e-01 4.441484294967771446e-02 1.544728097260588406e-01 8.206466579215468404e-02 4.678488297694024384e-02 3.367223420194963290e-02 2.602046816032899113e-02
5.781300710420811395e-01 4.571814470942330011e-02 2.252288304582407141e-01 4.747393934054987275e-02 7.211603432157050186e-02 1.705896125803356769e-02 1.427401887010078078e-02
5.467232953783228711e-01 5.401896905031477319e-02 2.617539189553167445e-01 4.660291262926666289e-02 6.344008917775563472e-02 1.325574939795909693e-02 1.420506541106419419e-02
4.614015481644757610e-01 4.173265305920040996e-02 3.154386801995619494e-01 1.052058092518817767e-01 4.346279893388613202e-02 1.607995029716150631e-02 1.667856009383236401e-02
5.434884306546445831e-01 4.381238241196213495e-02 1.529170617559358625e-01 7.862429863802941621e-02 1.470463193682945702e-01 2.239359997031048835e-02 1.171790720082292216e-02
5.426515234023425727e-01 4.628927160580320610e-02 2.058851670848921289e-01 7.382864087100776684e-02 7.778796832737090716e-02 3.999849004896572496e-02 1.355893865961768294e-02
6.126707864737146458e-01 4.749963291627693623e-02 1.814394902352343131e-01 5.509999616088537278e-02 4.001473437949331496e-02 3.414598356241173305e-02 2.912937627198363549e-02
4.585124421758031699e-01 4.113455767562541193e-02 2.819094173662046732e-01 7.338766781422853547e-02 8.888000217746516718e-02 1.363984695066907706e-02 4.253606584000395319e-02
6.145352881994081695e-01 4.811223029897469111e-02 1.549808898639840615e-01 5.259164666367529412e-02 7.665060388847404205e-02 3.832189045283922874e-02 1.480745063264425274e-02
6.020447966640550819e-01 4.199199957620302487e-02 1.437051441990200296e-01 5.133180139644581003e-02 5.640283223788501027e-02 6.511215399291549188e-02 3.941127193347546825e-02
6.024055886674787308e-01 4.948686978804981568e-02 1.440931404475692679e-01 3.769136106887870097e-02 1.182318382790064626e-01 1.171334201292100266e-02 3.637785973609614087e-02
5.282031150033106304e-01 4.400471766278063468e-02 2.530370054686683634e-01 6.145718603974103383e-02 7.390578171872191904e-02 1.167996663273277932e-02 2.771222747404455955e-02
5.549929255193200017e-01 4.241426596402796817e-02 2.015051846477630693e-01 7.558888167696248273e-02 5.159524584429511090e-02 1.782350547677654176e-02 5.607999087085475953e-02
6.060849964986775307e-01 4.630421055936213837e-02 1.410762736730737932e-01 2.889918898564035679e-02 6.014599488270803984e-02 3.464296694776961005e-02 8.284636845276861783e-02
5.482161708911720277e-01 4.153590200167026764e-02 1.726295929227186499e-01 4.515017372547673602e-02 1.387685194804307298e-01 1.390128934277775306e-02 3.979835163575382029e-02
5.081703560788791707e-01 1.535325904949765563e-01 1.277840727531865395e-01 4.075151772035696257e-02 7.846367531535179685e-02 2.507474658478182558e-02 6.622304105246711037e-02
5.750643977760271364e-01 4.367560506606142645e-02 1.562179061814076286e-01 7.588036825805269392e-02 7.154449834850977463e-02 6.271777555848645491e-02 1.489944881145487815e-02
4.237285223776504073e-01 4.069483384538193083e-02 1.909687861596193748e-01 4.859366162177287951e-02 2.643079550072804929e-01 1.730310912009412963e-02 1.440313186820087535e-02
6.106019427955572398e-01 4.593974236395311633e-02 1.168296989690839616e-01 9.654235303971696325e-02 6.264271422936275313e-02 2.548550939922770639e-02 4.195803920309824214e-02
5.128091947647661630e-01 3.955224692716562823e-02 2.007464522665506623e-01 2.168866206260463766e-02 1.470444636527031002e-01 2.846788834358891102e-02 4.969109198262090105e-02
4.453382602215117947e-01 1.958592818745754083e-01 1.771923928126040160e-01 1.064179863832667855e-01 4.821745120465543294e-02 1.336872398014844407e-02 1.360590352323802314e-02
5.143358808234065327e-01 4.464873990288283773e-02 2.828270658461204956e-01 7.039432947028106957e-02 4.055460140707567440e-02 2.745881518695750256e-02 1.978056736327587009e-02
6.188510221986562865e-01 4.699092031551203863e-02 1.775897394881357505e-01 3.838227868232013673e-02 8.405763033478809432e-02 1.373354343983027373e-02 2.039486554075739880e-02
6.047071775786501124e-01 4.496619342427544963e-02 1.515947382358627249e-01 2.647710915221866690e-02 1.364439944554974027e-01 1.503338080292003845e-02 2.077740635057560847e-02
5.876439765411989313e-01 4.637877289416126453e-02 1.817650963827378008e-01 2.809532836060045849e-02 1.119299133958976539e-01 1.481620833076499263e-02 2.937070409463895387e-02
5.922613612933406158e-01 5.095270287424816941e-02 1.947386007996842749e-01 8.116638472195966680e-02 3.706616655415267969e-02 2.911208829960941144e-02 1.470269545700511951e-02
5.064842921327206149e-01 4.151171614845379498e-02 1.160836822564606657e-01 6.825326578564572255e-02 5.618340976521921104e-02 1.174961211004783429e-01 9.398751281102177280e-02
5.146120506071819589e-01 4.615774157708630449e-02 1.424997279855081955e-01 3.874843529809555293e-02 1.736868340292940793e-01 6.081323492567698025e-02 2.348197557715701878e-02
5.579882096335818664e-01 4.854304668685224117e-02 9.427677570680774444e-02 5.795079016604387512e-02 9.803532830771059803e-02 1.298926425658580297e-01 1.331320693314573186e-02
4.491386205503640205e-01 4.679873131069079567e-02 2.879426851627513995e-01 1.055969031504174760e-01 8.437016615852377388e-02 1.329495349062851002e-02 1.285794017662419617e-02
6.336037342979234932e-01 4.159073584799671819e-02 1.815393107544706341e-01 3.713565086368370710e-02 7.133391174709362292e-02 1.441219155546258866e-02 2.038446493336922363e-02
5.547076853829073784e-01 8.008358107093754841e-02 1.657001840096999634e-01 5.316260550665059120e-02 4.730178086562291523e-02 7.077621386177088136e-02 2.826794930241064568e-02
6.208338689227083096e-01 4.698939213425177425e-02 1.917411322822519248e-01 4.335075924424904720e-02 5.424096457430362811e-02 1.666400090988069335e-02 2.617988193235462613e-02
6.165674809564888337e-01 4.452252116602691684e-02 1.351191207523820270e-01 9.583875638729388857e-02 5.395595654766387889e-02 4.076078091970913864e-02 1.323538327043520188e-02
4.774896611909837385e-01 4.472975894841681177e-02 1.138808389602784521e-01 2.904137266546448840e-02 1.747873350614024546e-01 1.506724414534935386e-01 9.398591719960392929e-03
6.008646598248967852e-01 4.697959212738172380e-02 1.506159369847134832e-01 4.165976935933565078e-02 8.131937667247161883e-02 5.754657571206916317e-02 2.101408931913142236e-02
5.898742731035423459e-01 4.207392206686544345e-02 1.361606421372355269e-01 1.085578926196859584e-01 7.182594176909860850e-02 1.229377167280565342e-02 3.921355663076642878e-02
6.052831046756570466e-01 4.722385916328433048e-02 1.826838218308109996e-01 8.440193019097141924e-02 4.292408226244644881e-02 2.121088876322875516e-02 1.627231311360106958e-02
6.110856775313042721e-01 4.268412818308241208e-02 1.561572424850435070e-01 4.447776705262324742e-02 7.962661081493713211e-02 4.376537184564683464e-02 2.220320208736267439e-02
5.742265726470215936e-01 4.637585566457062825e-02 2.273402365107550505e-01 3.190790855154545386e-02 7.867396858011918570e-02 2.993322320517706470e-02 1.154223484081097484e-02
5.245555983411108736e-01 4.804402620152450898e-02 2.384688090672385519e-01 5.431140598866444902e-02 7.070564522663759510e-02 4.394126129271635345e-02 1.997325388210756739e-02
6.305635634247932497e-01 4.720369480233131687e-02 1.748854023415980230e-01 4.852092077458305258e-02 6.773406993418795707e-02 1.495726314904516178e-02 1.613508557346120947e-02
5.794830575827334407e-01 5.202109449168022814e-02 1.110771819273779354e-01 5.891123334119224147e-02 5.466574644539782396e-02 1.346178456381708355e-01 9.223840573447312716e-03
6.155276672785047198e-01 4.656560215671109310e-02 1.814835738735863235e-01 4.877059117270564348e-02 4.873177560076179943e-02 4.332154718127737697e-02 1.559924273645290661e-02
6.192055243857705893e-01 4.450066369743189282e-02 1.627292485937087141e-01 3.574182449703634107e-02 9.615059465780748105e-02 2.377874172422133822e-02 1.789340244402356367e-02
5.041399366991947684e-01 4.365349022618756486e-02 2.537739619071841535e-01 9.031655381573377994e-02 6.528499501601071897e-02 1.733359411490158555e-02 2.549746822078753292e-02
6.257065168670661315e-01 4.482441863878837418e-02 1.274221016216718072e-01 8.082670259666829837e-02 8.008611154034868396e-02 2.107553431662571516e-02 2.005861441883098270e-02
