r_sep02_median L Teff r_avg10_median dnu02_median r_avg01_median Fe/H Dnu0_median
9.520405108823112861e-02 3.075212814685928109e-01 3.208014563975909728e-02 2.088408960830316630e-02 2.686306560732061935e-02 4.399420162733847506e-01 5.347429997434166582e-02 2.403105034006680629e-02
5.828429308825274630e-02 1.100019089045020382e-01 3.953751765902513426e-02 1.468132640205764908e-02 5.991617723146040048e-02 6.564649470164590772e-01 3.408975463852084026e-02 2.702407505972213506e-02
2.659545914865328320e-01 7.659456573057714379e-02 3.420848209550145236e-02 3.673910706577317165e-02 2.779477961831172336e-02 4.101737406872689173e-01 9.990564772904762803e-02 4.862908558698721129e-02
5.281102614035523141e-02 4.571099302730232683e-01 3.149107494297487958e-02 1.591043982594545977e-02 1.212700799533020096e-01 2.642880502942729914e-01 3.920172995571168106e-02 1.791766861441453779e-02
1.702320570184009951e-01 6.298543329002175006e-02 3.844852783186403916e-02 3.601001870469298927e-02 8.330652964888182743e-02 5.434132290522083464e-01 2.163859736043764748e-02 4.396560709349246754e-02
4.182015306266162469e-02 1.094326211051088737e-01 3.394105075908883384e-02 2.123701804254051612e-02 2.842518591903465605e-02 7.078714220361627119e-01 2.041269773412042465e-02 3.685985134128230006e-02
4.326096189997313129e-02 7.553010524798624281e-02 3.814396443282939975e-02 4.169607452113711227e-02 1.583006590729384849e-02 7.142101933541284975e-01 3.362046396608327214e-02 3.770817067056845412e-02
4.206361003910292357e-02 4.696680606679790038e-01 2.756312954579212549e-02 3.617393369592770275e-02 1.155790270417604571e-01 1.964644104301399852e-01 2.328906478847427367e-02 8.919876379082346263e-02
3.342314562149582002e-01 7.648733753427222615e-02 5.110005277061853424e-02 3.448130507376194476e-02 3.359872020245190799e-02 4.083155805605634958e-01 3.426108311534192818e-02 2.752446452803181814e-02
5.565825370128248128e-02 5.572507194455254831e-02 2.325063844718870398e-01 5.640039837695964842e-02 1.380092754082409556e-01 3.505457149537959394e-01 2.837623940968580366e-02 8.277866173359554880e-02
3.960374432510837400e-02 8.052554260591396340e-02 3.493934828186964769e-02 3.944884809277349885e-02 2.432705785649832975e-02 7.153638239191972836e-01 3.456151646274206041e-02 3.123011845589670696e-02
1.053133241586754060e-01 1.109063253128673293e-01 3.036955951593441061e-02 3.886659500277861445e-02 4.808637164068501474e-02 5.341520764350536910e-01 1.111389055731017012e-01 2.116684236090369056e-02
4.586484837482556615e-02 7.119420304733925509e-02 4.563962672988958191e-02 3.499191145206386605e-02 1.936872779379510481e-02 7.176579221268956088e-01 3.693112607710146572e-02 2.835163439808949248e-02
3.336892834231639654e-02 9.047522211157496552e-02 4.014876393662441395e-02 5.031330063598250801e-02 1.749910107704883908e-02 7.024927816290620353e-01 2.737188581126532086e-02 3.833001645612545139e-02
3.940417065291949850e-02 1.947387825388276206e-01 3.687293238720630584e-02 2.900287794987317994e-02 2.186682257172017224e-02 5.221330663987816534e-01 1.193860006434732945e-01 3.659534685719844499e-02
4.874733850277987446e-02 6.479096160301719975e-02 3.524846076749746371e-02 8.516792894414604298e-02 1.307773439983015568e-02 6.965779846462116787e-01 2.176103207499387876e-02 3.462855906152358110e-02
3.649736581850925032e-02 1.276264620370329561e-01 3.806912956383273761e-02 2.742106681584730379e-02 1.080554056924559227e-02 6.989683108109318033e-01 4.788014032328506697e-02 1.273198406131520986e-02
3.210646504615369962e-02 1.920675185673283714e-01 1.124919550622548309e-01 3.468636832817088150e-02 2.541634601076083258e-02 2.432634447109557896e-01 1.738363145882399971e-02 3.425842708155514837e-01
7.681920212985998697e-02 7.951387615608490611e-02 3.126927091071827342e-02 3.367138287372162253e-02 5.227930583093011452e-02 6.486178415683975240e-01 2.186136453525652432e-02 5.596775599503097526e-02
3.144238320261097397e-02 7.578065702940625648e-02 4.198812919766340551e-02 6.443571598287561875e-02 1.557247939555506284e-02 6.860152594266304416e-01 6.269875200685338934e-02 2.206662375840478738e-02
3.334123910082971431e-02 9.272185024087130356e-02 3.297937102428988992e-02 4.105954592433429945e-02 2.166517940023257247e-02 7.106030465356784065e-01 3.511180683370695305e-02 3.251796094005690585e-02
1.198312525370811288e-01 9.162659176434866104e-02 8.662434809877661568e-02 1.643626092022216004e-02 3.135418682257495870e-02 3.446784335967744139e-01 2.365399349808380153e-02 2.857949327621382984e-01
4.220436509346092713e-02 7.201050185159658945e-02 3.592384933071501862e-02 4.487840171263218769e-02 3.367290796121073793e-02 7.109488120659087640e-01 3.342439315899849855e-02 2.693676882547724194e-02
2.482305619320832879e-01 1.022522390214188059e-01 3.851378082052979435e-02 2.097279469241703637e-02 2.670030053515209598e-02 4.985907857730882964e-01 2.903850515401924792e-02 3.570103207129150802e-02
5.459210612784470146e-02 7.243178075998008003e-02 9.671244665509244609e-02 6.194490823285492970e-02 1.245403298195723180e-01 4.972002090504540894e-01 3.452110032843118403e-02 5.805711902577026517e-02
4.993248371932502983e-02 7.912645273681016833e-02 3.487343013281601900e-02 2.021654698480321311e-02 2.771831282980594460e-02 7.117090934848895323e-01 4.279181212232082560e-02 3.363186798922932624e-02
3.553247431476809215e-01 1.554636503977238071e-01 3.654650636378044271e-02 5.314873594648918120e-02 1.161027459023615538e-01 2.214765854564710312e-01 3.564459744263087648e-02 2.629243534286225883e-02
5.836857425687163453e-02 1.528614139201432409e-01 3.341196808419159836e-02 2.542372392671812115e-02 4.894071704350005936e-02 6.091517254603718845e-01 2.812730490867969974e-02 4.371457239952375451e-02
3.664814067779929158e-02 5.661609437161175401e-02 4.093634379046221655e-02 5.788015990639387709e-02 1.291706115519048251e-02 7.260540471059517831e-01 2.900068838973692345e-02 3.994746460285368561e-02
4.008295040541842019e-02 5.938280346119389347e-02 3.574243826544952485e-02 3.759918607083985453e-02 2.809131789616437294e-02 7.303027378307260786e-01 2.429301317230765644e-02 4.450555289790026486e-02
3.878302857919910251e-02 8.935451337876661182e-02 4.019002194137494266e-02 3.214058470005434071e-02 2.190144887719525785e-02 6.482569874444316094e-01 8.375932342937128516e-02 4.561409164960677359e-02
5.212245108398193272e-02 8.142421155617642070e-02 9.748358099217697970e-02 2.789944666654864402e-02 1.260383948858106729e-01 5.542408448581275238e-01 2.887471757581634019e-02 3.191635238136163871e-02
3.775417694636225285e-02 8.072386879931231496e-02 4.263944279430771644e-02 3.857058150404685942e-02 2.295978106519864712e-02 7.175753465582945800e-01 2.988208852648345168e-02 2.989471380599415667e-02
4.445408421557975331e-02 3.035177990500317335e-01 3.428140037994775041e-02 2.637559405991660513e-02 1.737867778295046073e-01 3.417878476243865205e-01 4.045576341045922092e-02 3.534073343017381241e-02
6.979112801484016471e-02 2.969093891359207982e-01 3.006705129878495947e-02 2.661920628525124913e-02 3.104841888391587923e-02 4.502443324168058925e-01 3.251831304037677839e-02 6.280216092410434436e-02
1.506207507875156060e-01 8.105886848685597834e-02 1.087906249437442935e-01 3.372063482754180525e-02 6.683604599335804530e-02 1.369580879976642906e-01 1.620523619292651152e-01 2.599626250340548173e-01
6.024797234447103883e-02 1.035345813936821430e-01 2.140338169659098955e-01 3.773208019702710414e-02 3.757030127218370652e-02 2.292375838776212205e-01 2.833026239783472122e-01 3.434103997075769327e-02
4.668077193860482865e-02 6.702644633145629638e-02 2.314766843597960144e-01 8.547711274657220082e-02 7.567549695158672096e-02 3.943364735667222454e-01 6.414885123624522456e-02 3.517816286901648964e-02
4.720260890537796711e-02 4.651860566380452977e-02 6.772926049241684288e-02 5.289890898732724223e-02 3.225347204312731253e-02 6.804422782285266535e-01 2.570282117729334043e-02 4.725204450212624335e-02
1.904785654516081839e-01 1.131443720156483645e-01 3.571241486548080296e-02 8.739653444963778328e-02 1.647423430953349754e-01 3.323205316508197615e-01 3.212469418523650200e-02 4.408054428623359861e-02
