Teff L Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
3.253588286836513466e-01 5.659781155362713506e-02 1.366844638859628369e-01 5.239401571459439966e-02 6.123809870116873194e-02 2.095180561422803067e-01 6.643688603987450703e-02 9.177183927884069448e-02
2.560624162184332864e-01 6.504571638027832614e-02 1.154317717978937674e-01 6.488806583684644802e-02 6.443243176557865437e-02 3.316184462749279804e-01 6.441972991301081475e-02 3.810142181303076414e-02
3.121955647818763224e-01 1.057510097606446514e-01 1.216351518959343930e-01 5.668478386592322449e-02 1.552306433909924621e-01 1.796374831644360348e-01 3.492718339480261475e-02 3.393817974539024146e-02
1.212983394253570324e-01 8.092260240687318418e-02 1.538309966107657134e-01 6.762546282216250204e-02 5.250513440506748147e-02 4.610602309011403444e-01 3.591763185615340359e-02 2.683960157248028999e-02
3.058037558602503814e-01 8.171743577538211067e-02 1.237940097210480511e-01 3.469792449639457627e-02 4.017334780251830689e-02 3.164998535642830624e-01 4.618835806897685775e-02 5.112531471114669518e-02
3.334758745682344094e-01 8.976222698714161896e-02 1.253926253769523658e-01 5.624165810517007397e-02 1.489117428894055351e-01 1.343151159518610194e-01 6.312336729972850558e-02 4.877738882150647881e-02
1.399021535362786617e-01 1.449450817550546611e-01 1.180813450582592627e-01 3.084336437761964894e-02 5.652448488039416019e-02 3.900148443402832732e-01 5.874759181579351092e-02 6.094113423631664778e-02
6.535179500129352503e-02 1.782315992779665847e-01 1.077587287303178876e-01 1.038515140913055801e-01 9.537557390699567816e-02 3.825013557988458102e-01 2.886819639820992905e-02 3.806123679506492885e-02
1.869307169851745498e-01 2.427196403977914807e-01 1.210157670854844630e-01 5.467901571740731853e-02 5.543408178626532679e-02 1.351939435925928745e-01 1.693260407548926039e-01 3.470079368039129947e-02
2.327457201947639998e-01 9.199326455215078857e-02 1.157964867327886671e-01 4.917482091814882883e-02 4.137681965223599656e-02 2.407703819070564077e-01 5.041929269268160402e-02 1.777232133501737144e-01
1.757962156134324772e-01 8.803093273130151164e-02 1.133239447730817889e-01 1.133989472048383129e-01 3.961930022463037993e-02 2.935306940243461726e-01 1.394366668114164765e-01 3.686329861695291504e-02
2.928542019677874420e-01 7.443161869770048567e-02 1.147154547587631440e-01 5.566343148796515372e-02 1.534812505678523620e-01 2.242410326133255360e-01 5.278372636168431054e-02 3.182928354492157302e-02
1.346587035173821001e-01 1.173830056487760870e-01 1.049410468224588749e-01 3.930780354868448206e-02 2.843083833279654721e-02 5.013787201075327049e-01 3.620773180400972679e-02 3.769215021835947005e-02
8.406246578340545450e-02 1.403259422091118480e-01 1.047204054509264931e-01 5.438929135348154198e-02 7.001254348168868546e-02 4.689793728620605395e-01 3.109413725014175539e-02 4.641584160918375834e-02
2.934083042380925543e-01 1.183623402140913244e-01 1.283232341130008392e-01 5.435307220725896921e-02 1.696305276692177400e-01 1.457473851560318334e-01 5.203143648004304039e-02 3.814369992226367828e-02
2.578687828412574712e-01 2.533004422089997765e-01 1.132406675053929113e-01 3.958390804456655976e-02 1.161929725595851337e-01 1.152020368294435632e-01 6.843633327419906820e-02 3.617485673655550238e-02
3.178066160074784485e-01 1.154360707397501795e-01 1.184540725227844066e-01 3.795582412758966712e-02 4.184966650740624267e-02 2.405391795137476196e-01 8.618025606872119215e-02 4.177831451252232708e-02
6.864948327932429706e-02 3.331696473397045555e-01 1.075003968624837075e-01 3.905009069377077258e-02 2.539213934288799268e-01 1.131289848242973822e-01 4.295524089049816696e-02 4.162476268104110116e-02
2.995339191656921640e-01 7.924274810993225948e-02 1.244541811010304727e-01 6.265804233083242802e-02 5.359257990289201939e-02 1.601593164189891172e-01 6.612327430643774595e-02 1.542359386641938002e-01
1.275319919941805824e-01 1.035617035880002090e-01 1.030430329164171571e-01 8.837305582406561333e-02 1.184905198826825268e-01 3.802899278320254206e-01 3.877357262746239375e-02 3.993619533516614556e-02
2.090693336319868478e-01 9.035838855189033680e-02 1.247532002077617885e-01 6.326974106546923160e-02 6.431076388921767861e-02 1.884434711083851355e-01 3.119038093010761611e-02 2.286047206151812783e-01
2.782755110665197651e-01 1.424328012870717530e-01 1.168771688813981940e-01 2.889422636092894153e-02 1.031235297416165236e-01 2.036087933363277258e-01 6.300663477248436006e-02 6.378133455365268822e-02
1.842886076404140483e-01 9.859619238258833518e-02 1.158328348017162862e-01 1.521551972609119230e-01 1.837529944351571631e-01 9.344161940659166665e-02 1.034430176961707443e-01 6.848953637644984715e-02
1.166083639402649141e-01 8.039355427550114175e-02 1.060702918813274248e-01 6.677656685569814676e-02 4.098251709317352054e-02 5.111464891115722331e-01 3.466774010549890372e-02 4.335447673696370824e-02
1.585345811957918349e-01 2.424474524257472230e-01 1.308822507036588312e-01 5.479897387497605077e-02 1.707536405742757502e-01 1.200789760296475661e-01 6.775012583925546505e-02 5.475399935664736900e-02
3.205885487837470404e-01 1.155748553715748028e-01 1.225140594962137036e-01 4.177556869119663369e-02 1.277347756972211368e-01 2.025470158977558111e-01 3.619504040382226506e-02 3.307013565846868286e-02
1.664178992874361940e-01 2.123604407024599350e-01 1.129623633673044608e-01 3.970003041897514351e-02 1.481483670715524337e-01 2.449042539217113346e-01 4.621409440322432616e-02 2.929255082733607171e-02
