Teff L Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
2.570723325203865817e-01 6.186307243140930223e-02 1.418689011124547872e-01 8.597668198569476117e-02 3.900171886846275082e-02 3.463801605163017161e-01 3.443251707377974896e-02 3.340461549151024084e-02
3.489658005368674876e-01 8.807645991888164716e-02 1.368136771242046135e-01 4.132518805112294497e-02 6.247074030350483614e-02 2.384436794937484227e-01 4.979195286554483069e-02 3.411250170612527277e-02
2.527022170055756023e-01 1.625618901569264585e-01 1.159723761694455707e-01 2.878056931779859190e-02 1.055062685240166082e-01 2.609656551820387360e-01 3.731924461149125488e-02 3.619177903270726776e-02
2.720065033280154032e-01 1.125301803357225267e-01 1.202883918597377755e-01 6.847010323776717144e-02 7.042955466897746208e-02 1.646502084208928685e-01 1.604099773929533734e-01 3.121508075593338108e-02
8.613750555281669830e-02 2.379524693441066319e-01 1.168208781344742403e-01 1.387261848863936831e-01 1.228921643759648824e-01 2.206404732432055427e-01 3.825813017922842507e-02 3.857219428380992410e-02
7.390644468763041264e-02 1.537385386743454485e-01 1.075267290735655024e-01 1.176334029656314756e-01 6.409702934093715332e-02 3.010184347686615802e-01 1.328382756760597971e-01 4.924114481316860248e-02
1.720811738723042050e-01 1.840907879782701095e-01 1.429698348174173461e-01 1.132851300997729654e-01 1.600407158981242695e-01 1.374452580201007412e-01 5.407876617243852213e-02 3.600833314157202147e-02
7.637387237725405675e-02 1.678049579447951634e-01 1.033575673017571445e-01 3.156304060955841123e-02 2.609822243322165725e-02 5.137422655575097918e-01 4.181188792847261027e-02 3.924818584743099137e-02
7.851420280093493465e-02 1.298393900349480989e-01 1.055381951275780744e-01 4.201025697033056866e-02 3.487207956675918152e-02 5.377868320092848986e-01 2.901642484144785136e-02 4.242261864871638144e-02
1.376514779943474320e-01 1.070815717437853670e-01 1.090215420887913761e-01 1.082909306359410989e-01 2.525720495718403735e-01 1.920493056051957581e-01 5.516718791372283992e-02 3.816593444637573357e-02
3.318457652350467191e-01 8.289856544857422682e-02 1.183855488849196586e-01 3.653033968286156091e-02 1.331994978477055447e-01 2.202071169751849689e-01 3.699799368395237376e-02 3.993517224175499591e-02
1.790244613375007454e-01 1.475118426021387319e-01 1.149199058286941716e-01 1.020979510854039124e-01 7.445951834097623567e-02 1.584192681649172207e-01 1.819312088496124469e-01 4.163584379075660480e-02
3.483004914554793663e-01 5.462617414578906094e-02 1.270930918933910470e-01 5.019841955538711931e-02 9.412861809336409147e-02 2.215611774394436462e-01 6.469427844021187479e-02 3.939774897693389816e-02
1.223125105000090751e-01 2.895308213739719583e-01 1.145140761696593762e-01 4.551200386354805477e-02 1.807646732387526989e-01 1.683885103121947890e-01 3.704819324656197926e-02 4.192921129530208929e-02
9.836694589722932980e-02 2.079881763037536857e-01 1.136834703606770941e-01 1.341588094967973710e-01 1.245345788935320053e-01 2.459564552317523856e-01 2.965766107371430038e-02 4.565390274254364084e-02
3.445085536013507976e-01 7.421354786535122594e-02 1.144018377082414162e-01 7.326884813866164914e-02 5.328174673745669776e-02 1.382942243627134082e-01 6.872990736149603430e-02 1.333013342247287847e-01
1.246222072035291367e-01 2.809071408679922333e-01 1.202328043003805524e-01 2.914218488251922243e-02 8.794650831164402272e-02 2.054334468323327501e-01 4.812355814388112607e-02 1.035921494577210222e-01
2.813714456259039376e-01 6.212295381329067945e-02 1.480756090100887601e-01 1.017182959728646502e-01 1.712517903661992524e-01 1.379538879904285975e-01 3.721889783797543289e-02 6.028711938324864128e-02
2.005394243971270474e-01 1.880978156549003022e-01 1.076799898727750643e-01 5.350118175715658925e-02 8.895544722733131349e-02 1.179355507302975586e-01 1.780255151079588316e-01 6.526507525245336949e-02
1.935662776776721494e-01 1.640350258392174743e-01 1.238089376302422273e-01 5.149415278897027937e-02 1.461796594176751618e-01 1.430000246114254137e-01 2.230368032265629338e-02 1.556122417121410806e-01
3.424946825577389609e-01 7.213485478049491695e-02 1.250418076300287007e-01 4.939456570162572419e-02 1.427090192248686162e-01 1.951260582668948307e-01 4.025648316457947073e-02 3.284252867376884211e-02
1.053042061946672242e-01 3.043464570724482843e-01 1.156182735411588336e-01 4.419610185584985779e-02 9.201583059939148768e-02 2.565781102027619442e-01 3.689518012525835888e-02 4.504584040846394688e-02
2.622913994223056711e-01 1.155337911482389041e-01 1.190464458267965348e-01 7.864940242814155713e-02 2.381623143924538610e-01 1.049942566762703672e-01 3.083185015765019590e-02 5.049053994814291235e-02
8.190507263409320393e-02 1.835894202164664035e-01 1.045742518707438867e-01 1.158603992651120462e-01 3.936698799588160547e-02 4.082085803615484454e-01 3.618444737733690630e-02 3.031084027881742957e-02
1.236427595133807594e-01 2.876666782409987300e-01 1.125667146965669274e-01 4.982746807693275853e-02 1.551162481645403102e-01 1.819316147150902563e-01 3.871676512770121786e-02 5.053175146478904034e-02
1.072654662628506061e-01 2.756750502907987510e-01 1.115429084552496397e-01 6.280783201199044430e-02 1.033764312980241101e-01 1.938455689180393071e-01 2.815370598065538785e-02 1.173330367823918197e-01
1.897655656116129241e-01 2.192101767869401030e-01 1.197567184623923864e-01 4.983513771333562825e-02 6.258203444344513644e-02 1.268874489857974297e-01 1.614055600999891871e-01 7.055735789648728828e-02
