Teff Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
5.253865722697376173e-01 3.972663603417390249e-02 1.612936541752129083e-01 4.432101171587315980e-02 1.729907355893656462e-01 1.658563454110238006e-02 3.969575567453442755e-02
4.818821773589423429e-01 9.599012440339534102e-02 2.717520909848399335e-01 5.357413850968092278e-02 5.061228829452374400e-02 2.931620731787614939e-02 1.687297313074151081e-02
4.305574831320840845e-01 4.449166901049458889e-02 3.371049830818433346e-01 8.711925613845449001e-02 7.591736124633420568e-02 1.228501133051332524e-02 1.252423606027590341e-02
6.128106341697495685e-01 4.726040503833528472e-02 1.553299996771311808e-01 3.867094700163477283e-02 8.556682974900244043e-02 3.063901969650915241e-02 2.972216466763747886e-02
5.775892805463017643e-01 4.586001981218460616e-02 1.278211865936914049e-01 1.072537358134167812e-01 1.009650942626960646e-01 1.257289748829825034e-02 2.793778548341116150e-02
4.484657517338949129e-01 4.257346716475880061e-02 3.213578353764190987e-01 5.163037260097342457e-02 9.775212746964380417e-02 2.492855301624734982e-02 1.329189263806263531e-02
6.397056136225527379e-01 4.730204356428430179e-02 1.583319962569584016e-01 5.892143925377778257e-02 5.756853440862411131e-02 2.055474521197725099e-02 1.761562768182524732e-02
5.704648900252576871e-01 4.215607315883703604e-02 2.068867632259804856e-01 4.779332185144982009e-02 8.859122226884479090e-02 3.140637391042427201e-02 1.270135555920583713e-02
5.306729536943279868e-01 4.253547388155900361e-02 2.716085377980975712e-01 2.820804044766287919e-02 8.396803999584519229e-02 2.516537314005750509e-02 1.784158104245000750e-02
6.169584117000889156e-01 4.069940842988846452e-02 1.706577912469138814e-01 6.126773539494290155e-02 7.019396067302527409e-02 3.095968852506367566e-02 9.263004030076852496e-03
6.217822907311976177e-01 4.100640453023614990e-02 1.621494909596658540e-01 2.963294719820876166e-02 1.127341272530489463e-01 1.249731659092070089e-02 2.019742273672186020e-02
5.989713305401062060e-01 4.636631770992272195e-02 1.992222700262976376e-01 8.552897610828227859e-02 4.010485103024074433e-02 1.520025345623770424e-02 1.460600112891280618e-02
5.990990995444769318e-01 4.149551140215151229e-02 1.698986765723646819e-01 5.735509469753749534e-02 5.637169192538068335e-02 6.080770589154622235e-02 1.497221996654258570e-02
6.000559750209462084e-01 4.947869181478825595e-02 2.034830408927138790e-01 3.203882320482716317e-02 4.411360292739000682e-02 4.294412432250269834e-02 2.788574181683172587e-02
