Teff L log_g Fe/H radius Dnu0_median dnu02_median r_sep02_median r_avg01_median dnu13_median r_sep13_median r_avg10_median
9.910014205357751960e-02 6.533335911520911365e-02 1.494818620652079745e-02 9.250621198085443031e-02 1.314960496249565347e-01 4.129625794234229041e-02 2.019815273024149968e-02 5.839219945945324508e-02 1.438146243766037086e-02 2.123987283434395912e-01 2.224339511606857334e-01 2.751529894505884768e-02
5.194767674804503382e-02 2.912667487823115131e-01 4.316717052659414799e-02 1.017044179156154637e-01 5.556606058342630078e-02 1.371012373487024566e-02 1.408357210288696815e-01 5.687492995568609044e-02 2.046991559293502919e-02 1.188081967812758544e-01 8.710114258363640949e-02 1.854789576673433402e-02
5.065754829152419036e-02 7.043855510763981365e-02 2.546060852926688989e-02 1.037664759148049926e-01 8.445976777284994186e-02 2.799459615321088848e-02 1.648064953087287690e-02 2.535532178128201142e-02 2.736812128916978060e-02 1.165644473730899876e-02 5.360758987034027756e-01 2.028601218866707412e-02
8.190845253621613364e-02 1.592523523189975920e-01 1.372265025448320651e-02 9.717327351936012880e-02 3.381014396308189979e-02 9.172612899158247290e-02 6.976868666429171528e-02 7.113080001197476243e-02 2.066662822452616788e-02 1.925672518527044366e-02 3.175951029892079558e-01 2.398905534100749179e-02
2.451396118638502486e-01 5.059729931108131878e-02 1.835197387367734634e-02 1.077559627843287932e-01 9.668700721121843700e-02 2.301334361317300750e-02 3.455112847584962399e-02 6.684807168944167932e-02 2.395751086964138452e-02 2.962201032120410915e-02 2.840584001162841377e-01 1.941767987024990705e-02
1.514119719301404154e-01 8.766940373938322817e-02 1.877435539301768389e-02 1.064619478828487259e-01 5.355922675685319961e-02 3.529181825860563948e-02 2.170656417551106859e-02 6.326761745911042845e-02 3.196162896498968425e-02 2.314120789215971807e-02 3.831489754124580704e-01 2.360528213492221403e-02
9.178576284399034280e-02 1.292748719565955384e-01 1.295187172464195013e-01 9.296038221184693695e-02 2.170020799434597622e-02 1.819273841088886456e-02 2.742974291788653415e-02 4.828708061790663864e-02 2.378199172831060165e-02 4.390980065595943838e-02 3.519809909630718381e-01 2.117771245277787553e-02
1.917773863608543683e-01 6.661802019922508089e-02 2.637611874222130920e-02 1.120030520816576447e-01 3.081338535779638149e-02 9.740179512814416130e-02 2.112123386701515171e-01 6.666407243269852068e-02 2.148286823342882707e-02 2.961485978705397093e-02 1.224022567026443742e-01 2.363384630412380949e-02
7.557704438686124737e-02 4.997113619823820296e-02 2.332429466167626128e-02 9.193889909280535122e-02 6.082680662874777322e-02 3.513016400165856756e-02 1.952251984417818428e-02 3.957272729183048954e-01 2.039429981305716441e-02 1.563091314077253574e-02 1.878134002068101160e-01 2.414324910688966236e-02
2.176368344548655909e-01 6.177393997846739038e-02 3.296225817401991776e-02 9.853607196221925157e-02 5.960040373781670675e-02 1.247831634848086887e-02 1.495411784302506410e-02 2.631707107234873000e-01 1.867056283898273564e-02 4.415177141724557081e-02 1.555447131479234246e-01 2.052029937346603813e-02
