M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.110851730468754850e+00 2.510611328125041952e-01 2.235506835937520892e-02 1.839791549804707493e+00 3.459074316406233196e-01 1.861178124999992578e-01 6.928616616750632673e+00 6.698502339380295323e-02 4.292770355891398104e+00 1.245908400925847204e+00 2.440873261338824818e-01
1.098700763671878411e+00 2.657905000000023166e-01 2.405921972656257721e-02 1.773876375000012384e+00 1.673586386718740049e-01 1.774571220703123064e-01 6.777437589257691464e+00 8.653639075273536485e-02 4.284731774492590795e+00 1.252113423718597796e+00 2.612437277581442507e-01
1.092061883789064103e+00 2.615417216796888100e-01 2.317342382812496993e-02 1.747033387695324791e+00 1.939027431640614474e-01 1.555006953124999369e-01 6.949600968936608503e+00 8.070082744397844010e-02 4.283967255546202502e+00 1.249154779446793873e+00 2.550830506569874978e-01
1.083675019531253891e+00 2.676705537109404509e-01 2.239504492187508952e-02 1.843095875000009265e+00 5.205604755859396526e-01 2.099007539062495431e-01 7.104779886293860258e+00 9.173350749535104376e-02 4.278848351206681500e+00 1.250506696000265539e+00 2.574527334699465153e-01
1.083692892578127065e+00 2.599556660156286947e-01 2.218256445312515382e-02 1.800997642578145319e+00 9.029553613281254831e-02 1.824812216796871667e-01 7.257533558184662503e+00 5.624399034905522982e-02 4.294495908493831671e+00 1.228304259183077063e+00 2.576180437403797763e-01
1.052099999023439869e+00 2.768480761718767891e-01 2.080018652343756588e-02 1.899778811523446409e+00 6.254747285156289083e-01 2.378475634765628288e-01 7.402069091300180759e+00 1.069388841365254278e-01 4.280988312783816419e+00 1.229179292747639485e+00 2.637862490100085777e-01
1.060025289062501930e+00 2.801163798828137930e-01 2.075059667968752811e-02 1.904274115234386278e+00 1.867973916015614189e-01 2.057913417968753600e-01 6.834137531193005266e+00 9.673922023721742702e-02 4.288727024181771874e+00 1.223062425013342169e+00 2.760610003317130468e-01
1.084739777343751710e+00 2.598259052734407382e-01 2.172986035156261944e-02 1.828890434570329182e+00 4.019257724609372473e-01 1.943784794921867842e-01 7.174119456655568605e+00 8.157352276547287506e-02 4.291301228922898225e+00 1.233313055357248889e+00 2.514511446083173563e-01
1.077160827148440303e+00 2.571866357421911942e-01 2.133060644531262207e-02 1.808311962890644553e+00 1.936805898437483353e-01 1.847554726562493921e-01 7.366288334154051043e+00 6.475475281589225529e-02 4.299968670657883685e+00 1.216420858723079590e+00 2.527956967483147577e-01
1.063010821289066099e+00 2.858073134765658496e-01 2.201701562500021914e-02 1.876001982421882985e+00 1.227074902343744389e-01 2.281156035156251538e-01 6.643421989845331943e+00 1.117135635998917770e-01 4.291100584635515247e+00 1.220962401144583431e+00 2.831601873997693364e-01
