M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
9.980810566406216333e-01 2.774154921874994462e-01 1.993279296874976916e-02 1.757696043945323083e+00 3.101557041015624017e-01 1.547148603515622611e-01 7.365708954686212451e+00 1.382553354448146088e-01 4.349781931382850964e+00 1.108111603053998362e+00 2.694615063691241374e-01
9.975953818359355463e-01 2.788196874999997465e-01 1.989635546874976221e-02 1.779811880859386353e+00 2.939984277343745678e-01 1.602198623046874604e-01 7.287281813403840403e+00 1.405315632579575424e-01 4.352981651220916071e+00 1.103460730202261875e+00 2.710647126747053326e-01
1.027451033203118591e+00 2.691792333984368568e-01 2.004004882812480612e-02 1.738212963867199701e+00 3.996087353515628826e-01 1.395406816406245254e-01 6.886466129258438151e+00 1.555622732867813218e-01 4.342273580064347271e+00 1.133911801930776564e+00 2.603936162979241242e-01
9.905461992187468701e-01 2.765261806640614828e-01 1.904139550781230872e-02 1.758769176757823294e+00 4.054340927734387257e-01 1.635271347656250540e-01 7.409548950439173609e+00 1.480641359043849692e-01 4.351973975600328615e+00 1.101508261107946973e+00 2.663344417692850574e-01
1.053669979492184661e+00 2.653746396484383263e-01 2.152983496093739332e-02 1.755542425781268401e+00 2.800023779296872406e-01 1.367419199218750381e-01 6.114882376543356202e+00 1.939779489081797093e-01 4.358911377164340628e+00 1.125702686065332303e+00 2.593038200543990590e-01
1.006715825195307001e+00 2.739562119140617202e-01 1.995298925781228278e-02 1.741998794921885141e+00 3.734699970703129202e-01 1.510230722656247249e-01 7.144811397438343370e+00 1.599922100819594351e-01 4.351017536983849077e+00 1.111663211055637257e+00 2.646807655163634365e-01
1.008872041992186164e+00 2.762111318359372070e-01 2.018850097656229789e-02 1.808119079101573101e+00 3.737227626953127380e-01 1.728215507812499996e-01 7.146859179947951723e+00 1.539889273973867045e-01 4.351998137172421011e+00 1.110969487896405816e+00 2.671862606548125463e-01
1.022773529296862716e+00 2.674266093749977369e-01 2.092774902343724069e-02 1.648539375000007468e+00 3.203562929687503447e-01 8.556551855468705337e-02 7.031344957930761197e+00 1.565748031765241688e-01 4.344275013568671184e+00 1.128206378611500638e+00 2.602299401063080664e-01
9.867748330078122132e-01 2.776204531249990004e-01 1.992829394531233506e-02 1.769730687500013389e+00 3.583662119140638147e-01 1.708827832031251659e-01 7.941565833857762158e+00 1.114662932061201289e-01 4.345973846706966626e+00 1.107081987553259594e+00 2.680596829737730835e-01
1.022263947265619644e+00 2.715525849609369269e-01 2.017321386718728612e-02 1.742520349609387953e+00 3.873782109375009108e-01 1.414091220703120044e-01 6.884332198148944038e+00 1.563704456089602957e-01 4.347121160480941882e+00 1.124718916596191720e+00 2.624970670715756627e-01
9.988120058593752404e-01 2.700100976562493926e-01 1.981406054687487664e-02 1.875893938476572487e+00 4.831858291015622697e-01 2.279285654296888397e-01 7.481137802008989368e+00 1.806093587895168384e-01 4.367895526667875394e+00 1.085512587946396046e+00 2.567411537244396746e-01
9.889122412109376814e-01 2.807797529296874317e-01 1.953802148437479638e-02 1.782466326171886717e+00 2.955333867187499020e-01 1.713862480468752725e-01 7.625196728159369108e+00 1.189359599344092661e-01 4.346420289597693554e+00 1.107238160943320837e+00 2.729015293237943007e-01
9.835463476562527063e-01 2.813283828125001662e-01 1.961501269531230537e-02 1.806506789062513274e+00 2.664179003906247956e-01 1.857493740234379409e-01 7.758179751086011322e+00 1.166556500442579580e-01 4.353139143358279561e+00 1.095261551423530877e+00 2.740293488711152969e-01
1.009976268554680923e+00 2.717933544921865008e-01 2.167628808593728348e-02 1.709797717773448911e+00 3.526928300781248526e-01 1.193531171874996494e-01 7.500043027100481652e+00 1.343164319866529399e-01 4.347894422688346694e+00 1.116979575645138834e+00 2.628487818668314158e-01
1.001223122070312055e+00 2.776931894531253220e-01 2.055823632812481955e-02 1.780028002929699982e+00 2.613707773437489723e-01 1.654347080078124588e-01 7.542328239154324265e+00 1.221388023324411487e-01 4.347710288273725077e+00 1.111919299838221242e+00 2.709600890384595839e-01
9.844620166015625173e-01 2.800476748046868414e-01 1.991679980468733999e-02 1.771215933593763392e+00 3.442507685546882246e-01 1.726068691406251188e-01 7.753565648458669912e+00 1.220989243180721634e-01 4.351860891689699251e+00 1.098208186681282506e+00 2.707773800235181438e-01
9.978423212890588090e-01 2.776075224609367842e-01 2.010886328124978847e-02 1.751788854492198233e+00 3.079971464843747619e-01 1.514376240234374116e-01 7.565731436384639075e+00 1.199240602638728115e-01 4.343452766958224132e+00 1.116055450831223927e+00 2.699403617953639589e-01
