M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.017557049804686198e+00 2.647773603515621854e-01 2.027894628906232177e-02 1.859143289062517024e+00 7.307969609374964648e-01 2.004986240234376549e-01 2.849446497270155199e+00 5.278614748329979456e-01 4.485012051910992170e+00 9.568287246612366959e-01 2.551095340651479138e-01
1.021670286132810190e+00 2.646590585937499407e-01 2.134909667968732522e-02 1.882859482421891606e+00 5.725915136718743303e-01 1.916589443359374978e-01 2.874942870230611014e+00 5.231462206374348778e-01 4.487443378747988376e+00 9.561270556701253476e-01 2.574294478384387408e-01
1.037398963867182999e+00 2.683390527343744725e-01 2.412658398437484211e-02 1.754286362304698477e+00 2.313519277343723812e-01 1.792306806640619476e-01 2.679693576157632595e+00 5.321372489867407518e-01 4.475269932521231731e+00 9.766409806404937610e-01 2.655233229134758011e-01
1.050162957031252731e+00 2.771864062500008496e-01 2.639188867187492946e-02 1.958097142578143934e+00 5.498936933593786547e-01 2.041332031249994683e-01 2.546632878027021096e+00 5.117442291687260836e-01 4.481962568708341088e+00 9.748813676021629293e-01 2.702646067893413329e-01
1.014769131835933536e+00 2.639975703124988748e-01 2.055926464843732190e-02 1.815419091796888873e+00 6.870922412109329303e-01 1.857535195312503551e-01 2.861372745556989727e+00 5.302922996281255186e-01 4.484336014258237135e+00 9.564133543515846991e-01 2.552562632091384121e-01
1.042172250976560965e+00 2.704170781250005429e-01 2.167692382812488189e-02 1.861182946289079876e+00 6.714641513671885109e-01 1.952797207031250204e-01 2.289616657450963100e+00 5.463237340873940973e-01 4.479525383640090119e+00 9.744316285678582545e-01 2.627301989179113839e-01
9.914782421874913654e-01 2.608816132812497024e-01 1.634238378906238340e-02 1.773308717773451670e+00 7.235771367187456837e-01 2.093678457031258600e-01 2.852381403559496764e+00 5.541057664624212675e-01 4.488221159551467387e+00 9.406965411696552870e-01 2.507768757611062993e-01
1.020893959960931019e+00 2.648870341796862315e-01 2.097245214843727196e-02 1.767422546875012879e+00 8.417273515624923430e-01 1.836688154296878817e-01 2.644463040685220978e+00 5.430383272672333339e-01 4.479451350796447961e+00 9.648073052714066788e-01 2.544807482944221877e-01
1.040075319335934445e+00 2.685214130859375770e-01 2.533434374999985264e-02 1.759178855468763514e+00 2.606933876953102525e-01 1.728490576171869686e-01 2.680532699842053557e+00 5.289560657529267518e-01 4.476969371148238785e+00 9.755988712843748356e-01 2.649852642924255264e-01
1.032324877929686302e+00 2.701329208984371566e-01 2.167971582031233760e-02 1.906031388671892701e+00 8.596004628906231959e-01 1.908437060546877007e-01 2.479691202258069715e+00 5.317205246628763371e-01 4.483441905576151854e+00 9.658883034457506067e-01 2.596282395109090757e-01
1.025188807617188447e+00 2.667987880859379324e-01 2.090206933593733232e-02 1.924168239257830537e+00 5.546509296875008488e-01 2.009751367187497806e-01 2.780328932661534136e+00 5.210893675668787361e-01 4.487098354161589420e+00 9.580490313098629640e-01 2.594411336940498636e-01
1.017806299804685066e+00 2.731343203124999008e-01 2.143061328124983012e-02 1.888053295898454609e+00 9.256684863281220421e-01 1.758321181640625508e-01 2.870306816762528079e+00 5.015965457885748213e-01 4.479170187078731935e+00 9.642198923697828938e-01 2.601157758555011079e-01
1.028880779296867498e+00 2.650632138671862870e-01 2.309228124999978052e-02 1.744505144531259377e+00 4.805281845703157084e-01 1.477056972656244638e-01 2.759299575542506044e+00 5.286226805879767898e-01 4.477081928168316516e+00 9.705911618027930343e-01 2.599210814329997454e-01
1.010784392578120583e+00 2.585178417968729825e-01 2.019629492187480224e-02 1.758570099609384707e+00 9.408022890624860857e-01 2.071913847656257357e-01 2.849926656439774941e+00 5.502592720905954415e-01 4.485175260515918971e+00 9.534596286687421207e-01 2.469554427810309316e-01
1.029143856445310146e+00 2.656543945312496713e-01 2.047366503906231094e-02 1.839695602539080044e+00 7.023817207031228804e-01 2.027528046875000933e-01 2.456834513263330244e+00 5.502618991008713101e-01 4.483738420284383075e+00 9.636212921799828246e-01 2.568613895231349198e-01
1.034928279296868592e+00 2.666342441406239772e-01 2.220599121093731754e-02 1.778739889648450090e+00 5.976458603515623080e-01 1.888186103515625547e-01 2.385144116768957545e+00 5.531355111431591753e-01 4.479043727316421197e+00 9.714662498798155577e-01 2.600485641363595724e-01
9.998232910156252817e-01 2.631720585937497026e-01 1.793315332031236720e-02 1.870467813476582197e+00 5.524356953124988090e-01 1.974278916015627383e-01 3.117141871464600644e+00 5.141139705250276082e-01 4.489190841084064409e+00 9.436796615806343214e-01 2.550048207546745660e-01
9.460208154296805283e-01 2.728065429687506205e-01 1.327195703124994623e-02 1.752970850585950258e+00 1.234048552734369864e+00 2.750955175781259476e-01 3.389358578866306537e+00 5.299658107978557631e-01 4.484997054174471032e+00 9.223617570471595029e-01 2.543070079426248409e-01
1.006455192382810893e+00 2.681411806640622841e-01 1.991826562499986186e-02 1.828722389648451685e+00 7.487762382812448436e-01 2.583445458984385268e-01 2.953484178337039801e+00 5.366105100621226809e-01 4.484223711290520775e+00 9.524555639239236093e-01 2.577168487717251821e-01
1.012688801757809509e+00 2.644271943359364219e-01 1.995876660156231663e-02 1.805337102539078975e+00 7.783365380859320615e-01 1.826453349609379606e-01 2.837011662527491040e+00 5.296348004007043198e-01 4.482578042798992080e+00 9.573010058321473892e-01 2.539172202663589895e-01
9.859545585937440348e-01 2.599599218750004437e-01 1.605174804687493212e-02 1.850888591796892024e+00 5.229956220703123604e-01 2.126735029296883683e-01 3.311903619836184198e+00 5.220256291184398600e-01 4.491437675540468355e+00 9.345265502406883140e-01 2.519239287850922882e-01
1.010508377929685730e+00 2.738618554687497486e-01 1.893308203124985031e-02 1.889008221679707056e+00 9.544707109374971354e-01 1.874748964843751253e-01 2.543094156558288965e+00 5.297484205336381313e-01 4.485976154701790009e+00 9.525452741892694863e-01 2.609757067495107608e-01
9.911959296874949255e-01 2.642021103515618807e-01 1.784901953124984689e-02 1.791538366210951194e+00 9.755655048828049125e-01 2.002964052734379774e-01 2.887625562662884171e+00 5.419802950833881861e-01 4.489174324988761455e+00 9.401010018474103003e-01 2.515690895967457319e-01
