M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.041966277343745029e+00 2.730727548828125739e-01 2.036267968749990234e-02 1.855056510742211673e+00 5.022344003906272780e-01 1.411115214843752796e-01 5.673726075484092135e+00 1.991254771548973956e-01 4.371165202637187441e+00 1.104054535430470940e+00 2.623276831987620961e-01
9.889569531249985390e-01 2.761036679687495776e-01 1.729582714843737670e-02 1.941657463867199063e+00 2.595952753906251020e-01 1.522991835937503591e-01 6.931427197422637576e+00 1.595731190750271089e-01 4.377700003220060587e+00 1.067771593860939339e+00 2.691959504731149533e-01
1.034366732421872159e+00 2.783258837890631443e-01 2.068137109374989027e-02 1.749505601562511670e+00 2.510070810546858877e-01 1.652214531250004725e-01 5.790941607996142437e+00 2.097616508067970398e-01 4.358271675520740018e+00 1.115255264474001473e+00 2.703669951660905291e-01
1.001828289062497435e+00 2.747752246093744799e-01 1.687911914062488819e-02 1.847541408203146052e+00 8.267327285156274019e-01 1.558730419921874888e-01 6.268868797021767136e+00 2.001161026133181919e-01 4.367619266593761651e+00 1.086806439410346492e+00 2.566577513391974930e-01
1.033476111328119007e+00 2.705394589843748143e-01 2.140990332031230889e-02 1.725952274414075838e+00 2.109093837890601841e-01 1.255113222656249750e-01 6.272038974408543410e+00 1.972353863275937702e-01 4.365770012230673736e+00 1.106175475926356455e+00 2.657526439614894542e-01
1.030227368164060131e+00 2.698880458984365682e-01 1.870888671874985573e-02 1.901049581054709003e+00 8.092033134765637126e-01 1.282935273437501855e-01 5.914226923820136150e+00 2.001895554993481929e-01 4.372231332247692670e+00 1.096584739254168106e+00 2.513953066711678286e-01
1.036192291015620270e+00 2.758532812499990272e-01 1.913356152343740832e-02 1.870392315429710184e+00 7.235164873046922018e-01 1.247241494140628598e-01 5.603691706923811466e+00 1.871995221306136103e-01 4.365348786959323490e+00 1.107746521680055496e+00 2.607318734473134669e-01
9.663637314453078497e-01 2.751104335937494261e-01 1.479731738281240584e-02 1.873752969726579343e+00 7.068982597656244815e-01 1.868008134765625217e-01 7.179891474247775740e+00 1.819882888741127802e-01 4.369382745444288396e+00 1.065205635586284671e+00 2.575740225350936496e-01
1.040997126953119301e+00 2.734608212890627388e-01 2.068731152343739402e-02 1.846621133789086100e+00 3.682778007812508858e-01 1.378223769531252696e-01 5.797588608162890900e+00 1.862020650393172438e-01 4.370589029012041493e+00 1.104014892215955390e+00 2.654492844558445364e-01
1.017397969726566931e+00 2.789376152343764348e-01 2.208482324218739509e-02 1.934295356445327130e+00 4.095049326171894544e-01 1.871797109374998269e-01 6.526013117414891873e+00 1.912278177382109035e-01 4.382588776460591973e+00 1.076294002581823062e+00 2.693115333853973170e-01
9.844941357421804762e-01 2.868812861328113861e-01 1.499623828124993161e-02 1.800857166015640276e+00 4.060493994140620400e-01 1.391851767578125287e-01 5.768154091847301324e+00 1.939393961704148905e-01 4.363799342938007975e+00 1.081432934068049967e+00 2.778406683485943884e-01
1.032390079101562552e+00 2.836547705078124038e-01 2.288623632812492384e-02 2.000872292968762789e+00 2.947292431640635701e-01 1.837355136718753779e-01 6.097875277237912783e+00 2.003502088022168226e-01 4.379984811581285165e+00 1.087523524781008888e+00 2.764992809827933051e-01
9.862603398437453928e-01 2.710161113281246981e-01 1.599239746093739437e-02 1.845113416015640828e+00 7.252411074218734210e-01 1.804382685546874476e-01 6.719844539304903996e+00 2.127142263860941629e-01 4.374242468990835242e+00 1.070422749650336902e+00 2.540241017541506330e-01
9.785507099609308534e-01 2.754771748046870861e-01 1.431328027343745611e-02 1.834067472656268905e+00 6.908549033203152945e-01 1.463799277343751093e-01 6.226455474163724801e+00 2.038773188666311853e-01 4.373020265180912247e+00 1.067183224717809242e+00 2.606166658495488453e-01
1.041033401367185363e+00 2.698926181640634026e-01 2.108964160156237555e-02 1.837300256835959544e+00 3.180306132812494857e-01 1.455694121093751292e-01 6.174020125787309965e+00 1.780917964608115800e-01 4.366819470890050070e+00 1.109004190978644111e+00 2.622928842025831209e-01
1.069841400390621589e+00 2.709742236328113174e-01 1.980128906249992507e-02 1.865360753906267988e+00 1.259739677734383223e+00 1.308480458984381256e-01 4.721449091820390187e+00 2.561015182126796241e-01 4.365935025731939589e+00 1.124085206309421325e+00 2.448380005157765327e-01
1.015812740234374179e+00 2.681238320312494539e-01 1.749180957031237424e-02 1.891110121093768637e+00 7.212890000000002910e-01 1.654087578125000013e-01 6.135933234667916736e+00 2.233009770178335240e-01 4.376879017158416652e+00 1.083202052958791350e+00 2.512415938757766032e-01
1.035230170898436608e+00 2.684308154296874971e-01 1.840618457031239011e-02 1.853538118164085091e+00 1.020130824218755894e+00 1.588770693359375652e-01 5.576987153156331090e+00 2.409306568209477195e-01 4.371441160906607060e+00 1.100062626685625711e+00 2.465833214609003676e-01
1.042828483398434702e+00 2.762460781250003494e-01 2.069050585937489209e-02 1.763603404296883337e+00 5.063751796875008981e-01 1.625818330078128704e-01 5.556839375184130070e+00 2.184952002879571864e-01 4.358086726211843676e+00 1.120842816298312838e+00 2.634734472220541246e-01
1.018685654296877185e+00 2.736820810546885530e-01 2.096630371093735970e-02 1.931896155273453264e+00 3.492338300781260285e-01 1.657209697265623061e-01 6.554617461579113069e+00 1.857525681695101627e-01 4.382957685820237259e+00 1.076813701433895876e+00 2.652592311888970489e-01
1.046081273437492021e+00 2.817013427734379460e-01 2.299020117187488763e-02 1.847444570312524181e+00 3.326112578125013375e-01 1.460857783203127758e-01 5.456236617802109556e+00 1.933390602680035153e-01 4.375986750433254358e+00 1.099063428736631209e+00 2.750316364734101127e-01
1.057964030273434330e+00 2.721618964843742217e-01 1.914585839843742712e-02 1.855959313476581274e+00 1.243374554687509681e+00 1.484505664062505392e-01 4.880330017965502698e+00 2.569845571153929198e-01 4.365230733721799261e+00 1.118873399989132045e+00 2.462160404678561676e-01
1.037469611328123653e+00 2.695637304687504288e-01 2.074827539062485543e-02 1.891522208007833550e+00 4.751871835937513944e-01 1.617804785156248260e-01 5.764433345511111639e+00 2.372518994332625808e-01 4.385884101561094539e+00 1.083534986454337767e+00 2.597351230700900571e-01
