M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.084008259765630422e+00 2.707991826171859961e-01 9.801783203124983523e-03 1.758577616210931449e+00 1.251425280273438245e+00 1.013336093749994810e-01 2.004840859758498350e+00 4.687778460578968520e-01 4.366829385356856719e+00 1.130292341875036799e+00 2.278504600097557842e-01
1.108702864257811616e+00 2.618457001953122809e-01 1.112161718749999847e-02 1.773793730468744334e+00 4.146568164062524042e-01 1.147320566406249409e-01 2.432188643961826546e+00 4.353860306965896543e-01 4.358979005919505489e+00 1.154335493994558259e+00 2.479865153794940935e-01
1.105639551757815253e+00 2.677114873046872456e-01 8.981798828124972281e-03 1.888355583984385522e+00 4.330132236328120277e-01 1.347423935546873397e-01 1.725286407680132417e+00 5.122360799280478716e-01 4.380063070168256800e+00 1.124889623882760370e+00 2.511995499232904661e-01
1.133345208007812133e+00 2.545973574218730051e-01 1.114424609374997134e-02 1.748012549804677684e+00 1.021502168945312761e+00 1.066552226562498124e-01 1.643178004010050097e+00 5.381764806773019494e-01 4.378021307409122542e+00 1.141153042555539399e+00 2.308741601679552280e-01
1.102864622070317324e+00 2.603689228515596588e-01 8.312399414062501130e-03 1.797046005859371798e+00 4.169019511718729532e-01 8.894932031249899729e-02 1.811406411150439988e+00 4.974170354140474704e-01 4.376213633665519076e+00 1.128302516701682245e+00 2.458527648046983372e-01
1.127643265624995284e+00 2.533393105468735307e-01 1.113830175781240113e-02 1.802281159179669912e+00 1.916252892578133027e+00 1.500918007812504784e-01 1.999378426674671472e+00 5.049676179098409046e-01 4.364926935697364563e+00 1.155718701142251392e+00 2.022378275887095622e-01
1.111060796875001921e+00 2.654250048828103448e-01 1.036860742187494661e-02 1.815560060546872689e+00 6.785865332031243424e-01 1.310182373046873405e-01 1.970830692180707278e+00 4.978095461008619216e-01 4.373625704812380555e+00 1.136581895637427841e+00 2.491717588348003332e-01
1.067299028320314980e+00 2.677907617187511580e-01 1.045422558593748358e-02 1.828802603515621739e+00 8.498961025390615598e-01 1.299197099609380179e-01 3.071604536488561354e+00 3.658413102936834416e-01 4.355153848244241566e+00 1.138210351228837514e+00 2.395439928873024371e-01
1.035325461914076151e+00 2.898152275390602495e-01 8.991996093750009855e-03 1.714129289062499284e+00 1.793995790039067284e+00 1.225832890624990040e-01 2.386024758409805102e+00 4.146934578348211997e-01 4.344676706032264413e+00 1.133228316819669068e+00 2.125115504145636824e-01
1.082917455078132196e+00 2.848386503906221723e-01 1.035370996093746589e-02 1.757190247070312905e+00 1.576347935546879908e+00 1.564258105468748217e-01 1.522395810963085072e+00 5.307047906926527503e-01 4.375088907152161255e+00 1.118774834021424081e+00 2.363761438474470122e-01
1.101852315429691309e+00 2.727581445312498021e-01 1.138843749999996977e-02 1.825172458984373858e+00 7.007740576171914704e-01 1.531695380859380562e-01 2.104918921269783638e+00 4.722708932427543416e-01 4.367839857207277632e+00 1.138831615874874137e+00 2.517106127929357728e-01
1.096617220703123952e+00 2.664551503906236740e-01 1.127156445312495030e-02 1.792084504882806018e+00 2.035526656250007171e+00 1.653486914062500257e-01 2.186916844956062089e+00 4.791459263639372135e-01 4.361804560098785366e+00 1.144320644827484967e+00 2.070974816200776836e-01
1.104220653320316714e+00 2.719840986328105892e-01 1.085483593749996672e-02 1.840899791992188561e+00 6.955994589843764730e-01 1.489016865234377707e-01 2.012627923486268067e+00 4.896539524237732977e-01 4.372589398858478305e+00 1.133992789823036418e+00 2.515227714146404114e-01
1.033371982421889657e+00 3.024553261718712638e-01 9.854073242187524895e-03 1.715361533203125344e+00 2.073449191406251835e+00 1.222604746093738787e-01 2.093730552840945780e+00 4.329057318840826563e-01 4.344917971922989786e+00 1.131417230471988056e+00 2.138554352886163912e-01
1.093346743164069101e+00 2.724735751953100693e-01 9.600004882812467749e-03 1.790590606445308763e+00 1.208809657226562084e+00 1.121953154296868732e-01 1.740027147396229656e+00 5.018834010974628779e-01 4.372373249893012570e+00 1.127884711010017638e+00 2.353062138868403930e-01
1.131269969726563351e+00 2.684530273437475967e-01 1.178826171875000002e-02 1.780603500000001560e+00 4.841064853515607003e-01 1.184887412109368460e-01 1.608605215742754613e+00 5.273148161986238591e-01 4.373977366249575560e+00 1.145757911201922719e+00 2.558051578133848647e-01
1.089316601562504871e+00 2.684105585937483496e-01 8.314333007812485174e-03 1.817248187500006606e+00 4.736921201171845341e-01 1.683282441406256658e-01 1.716721360521737072e+00 5.290907400735765931e-01 4.383132588721385225e+00 1.112681954588520483e+00 2.506241847709685944e-01
1.120633479492185502e+00 2.559422353515620752e-01 1.238640234374998282e-02 1.766793866210940811e+00 7.483584179687510218e-01 1.687724462890624888e-01 2.239562852808055116e+00 5.176490837739151640e-01 4.378303207654772322e+00 1.136617869082926502e+00 2.409252973210080084e-01
1.074186534179691233e+00 2.682463496093749900e-01 9.883345703124981826e-03 1.814276672851557359e+00 1.139608469726561601e+00 1.620240283203127074e-01 2.463491892004546102e+00 4.499464394582533555e-01 4.367136644894230812e+00 1.125501944554498701e+00 2.325790878394090322e-01
1.049682992187507935e+00 2.841470048828106942e-01 8.582389648437474886e-03 1.785135669921875667e+00 1.865202683593751409e+00 1.240380888671874793e-01 2.231760271019200381e+00 4.470695369006063014e-01 4.361160218106488351e+00 1.121244291938091830e+00 2.242261092294241809e-01
1.097147418945312980e+00 2.777061708984375210e-01 1.206161718749999487e-02 1.829862959960935287e+00 5.110280136718784449e-01 1.169064091796876703e-01 2.227292962579038527e+00 4.394752017103015218e-01 4.364777792281233637e+00 1.140211234116205397e+00 2.598270291808441601e-01
1.053822950195321351e+00 2.764344101562477563e-01 7.768965820312444780e-03 1.762445152343759425e+00 1.259661770507812362e+00 2.132631621093749874e-01 2.027628370635392141e+00 5.097030481269474445e-01 4.373900013155414435e+00 1.106323656624485618e+00 2.330508478816360474e-01
1.121236417968752619e+00 2.657186318359354149e-01 1.073325585937496239e-02 1.754589297851560259e+00 9.065923496093756251e-01 1.198357714843745897e-01 1.558662843471197323e+00 5.387066549628073409e-01 4.376946975600768397e+00 1.137001267790379577e+00 2.419937097823777195e-01
1.066081347656248068e+00 2.708483183593773380e-01 1.052781054687496921e-02 1.846599376953132587e+00 2.839707744140609891e-01 1.132172802734385531e-01 3.054820518844302502e+00 3.556619078856992355e-01 4.361390868616886962e+00 1.128966949671595055e+00 2.608903446349836175e-01
1.113842946289061997e+00 2.622392089843741947e-01 1.126414941406248676e-02 1.761667399414055701e+00 8.403856337890637240e-01 1.164040253906250683e-01 2.018941280293927054e+00 4.851450805551662526e-01 4.368796164115118508e+00 1.143356762857005826e+00 2.380810118110030793e-01
1.054768614257820758e+00 2.877954111328087650e-01 9.344481445312496914e-03 1.717880024414059292e+00 1.710183116210943988e+00 1.054223535156239983e-01 1.818042027289134444e+00 4.795516844673665124e-01 4.364357509804825952e+00 1.118051562502275997e+00 2.230728942045675511e-01
1.077366842773440636e+00 2.795315332031249600e-01 1.042778027343749074e-02 1.889473259765632740e+00 3.677134335937498055e-01 1.354715537109376644e-01 2.603947478411977823e+00 3.965701375439606435e-01 4.359141286520437752e+00 1.137334747387800382e+00 2.649180537865226670e-01
