M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.375725670898430453e+00 2.790297099609351239e-01 2.329235644531229416e-02 1.908262022460931018e+00 6.102079736328118731e-01 1.254812890624996680e-01 1.565918660986291400e+00 4.555878219486669267e-01 4.227002021060860315e+00 1.495242715574020442e+00 2.514002600340739524e-01
1.387017974609375814e+00 2.786359755859367793e-01 2.620205957031238042e-02 1.958048200195303901e+00 1.040482824218760483e+00 1.641214570312515553e-01 1.676215306820444173e+00 4.563896561815223851e-01 4.226175513440780129e+00 1.504321836514857846e+00 2.310907569498174829e-01
1.346351305664060805e+00 2.782208447265605011e-01 1.930208398437494380e-02 1.906633306640635128e+00 9.713629345703110873e-01 1.703468691406260505e-01 1.457767667550154522e+00 4.804048061539319958e-01 4.238587578244599641e+00 1.459346606393445711e+00 2.376041662130641829e-01
1.360376634765621651e+00 2.818949316406237915e-01 2.391645507812475979e-02 2.041628831054680848e+00 6.082625478515646389e-01 9.570771874999932372e-02 1.785096133475925884e+00 4.150642851219282226e-01 4.229982183439316756e+00 1.482181583278191939e+00 2.462164150203206003e-01
1.355191377929683805e+00 2.659888281249987441e-01 2.025041308593746037e-02 2.085378168945323463e+00 4.026897246093738558e-01 1.574151845703128383e-01 2.138224062650961432e+00 3.925620727772775598e-01 4.221602263142347766e+00 1.493746106971705734e+00 2.460387883128244413e-01
1.379201581054690040e+00 2.839620693359369286e-01 2.653120312499980191e-02 2.001109817382801914e+00 8.111389052734474525e-01 9.162846093749947574e-02 1.721290094504133394e+00 4.208564329558054373e-01 4.224407402381070042e+00 1.502385770904565376e+00 2.394062101635300310e-01
1.391738446289057407e+00 2.664033505859355611e-01 2.209190820312494433e-02 1.919122599609381474e+00 8.638810810546910801e-01 1.514607851562509155e-01 1.489569885171435848e+00 4.912416508320126551e-01 4.237661266547252836e+00 1.485814958055580393e+00 2.270817353443919662e-01
1.349632764648430072e+00 2.796859013671854077e-01 2.110665136718738871e-02 1.931885954101557834e+00 4.075030234374960036e-01 1.412953837890628395e-01 1.728483795879584450e+00 4.344733065986254861e-01 4.226550216301211194e+00 1.481827065174984082e+00 2.607674150371891986e-01
1.385816833007805560e+00 2.703587499999977051e-01 2.210277929687484016e-02 1.989348209960932756e+00 4.413403037109340232e-01 1.328070166015624110e-01 1.759635959452713116e+00 4.312710365617969943e-01 4.219891116522815899e+00 1.512620626360839937e+00 2.487020772044662154e-01
1.410158708984374343e+00 2.645930654296869688e-01 2.465029980468750812e-02 1.893775138671871083e+00 1.208869711914071443e+00 1.538930585937508255e-01 1.409268299888839948e+00 5.092520099422501723e-01 4.241463527928293509e+00 1.489021321689587340e+00 2.252515271965927490e-01
1.418048162109375010e+00 2.603847890624998440e-01 2.288551953125018273e-02 1.758188829101574147e+00 2.020341832031251172e+00 2.245447705078143508e-01 9.314354285225424634e-01 5.981095580598780881e-01 4.258900383943143630e+00 1.463545282789740387e+00 2.231051272119605466e-01
1.356324080078123107e+00 2.763022089843742424e-01 2.199842285156252200e-02 1.873368295898440339e+00 9.812609375000069800e-01 1.812205468750013315e-01 1.445436631141081119e+00 4.980920108959013270e-01 4.246798975573607748e+00 1.451808599605027394e+00 2.554650673705861075e-01
1.267381024414062862e+00 2.778683085937490582e-01 1.621595117187495799e-02 2.057654280273450986e+00 3.080282812499994249e-01 2.300844833984386217e-01 2.661772117673070870e+00 3.339669994397453934e-01 4.202930688903994572e+00 1.475584177528838525e+00 2.586715595010313229e-01
1.332992055664056208e+00 2.846852050781223942e-01 2.007681347656237528e-02 1.965867340820319331e+00 2.546166728515635858e-01 1.284869882812497421e-01 1.669452654463046137e+00 4.339659254878641126e-01 4.236133415493110732e+00 1.456885248287469903e+00 2.706422342244668156e-01
1.332746801757807908e+00 2.766144218749983508e-01 1.933911523437496782e-02 1.960212311523443329e+00 4.328621416015600021e-01 1.603281328125006622e-01 1.843596865536568874e+00 4.280651731772142088e-01 4.229421226846346471e+00 1.467763873802218733e+00 2.540358081627244746e-01
1.370618176757810058e+00 2.655637011718737228e-01 2.137820996093743944e-02 1.949160602539066645e+00 7.795837568359428316e-01 1.818457148437511162e-01 1.824512146987681049e+00 4.571515288337169025e-01 4.228738051832349853e+00 1.489559360917956266e+00 2.294051980339259778e-01
1.453796780273440170e+00 2.570498417968735128e-01 2.593974316406255295e-02 1.880833955078114572e+00 1.411217343750014619e+00 1.694823027343766442e-01 1.057885280761190039e+00 5.671447622987659809e-01 4.252953632568921449e+00 1.491977748160539630e+00 2.065530627204353875e-01
1.384650957031247742e+00 2.852077714843738732e-01 2.579323242187478785e-02 2.014736764648429990e+00 6.161284042968755426e-01 9.689667285156200460e-02 1.618424862092817218e+00 4.281110670270468765e-01 4.224152220849158645e+00 1.505603608143601502e+00 2.499651187756056769e-01
1.411358161132816758e+00 2.704524296874994960e-01 2.444018164062507215e-02 1.746170231445327570e+00 3.036358440429677064e+00 2.175531279296878118e-01 8.060443934882273176e-01 6.025091049376626318e-01 4.258451249639505498e+00 1.461251601466156735e+00 1.917458521297437934e-01
1.262040364257814629e+00 2.861949912109357785e-01 1.635741015625002612e-02 2.071110345703134126e+00 1.249236455078125835e-01 1.258517675781248291e-01 2.475735426580241594e+00 2.894949831392465978e-01 4.208788921203853839e+00 1.462302272281592375e+00 2.738745813193016465e-01
1.378964108398433863e+00 2.854864599609364118e-01 2.333156054687494929e-02 1.846419078125005608e+00 5.962666230468740558e-01 1.821996699218763893e-01 1.206514776324941751e+00 5.151003841647496806e-01 4.234675027717751838e+00 1.484361989639576551e+00 2.705462823416223128e-01
1.378593511718750442e+00 2.707030673828111911e-01 2.446440624999993152e-02 1.970896903320305649e+00 9.464241123046948090e-01 1.501240898437510296e-01 2.035655911766643733e+00 4.092055755084276214e-01 4.212418894297830008e+00 1.523696924031143984e+00 2.270766292569653955e-01
1.405418892578124579e+00 2.714047353515611771e-01 2.498241308593741189e-02 1.884655852539055321e+00 1.041611230468755922e+00 1.367670791015629383e-01 1.344968982772862143e+00 5.035194602705955758e-01 4.240121766945968318e+00 1.488870688673411102e+00 2.353774255934216186e-01
1.372128458984372523e+00 2.873817724609368240e-01 2.554117578124977250e-02 1.982229900390630739e+00 3.692513261718735063e-01 1.260185566406248070e-01 1.678355425341151452e+00 4.275909698725823826e-01 4.223913653096839305e+00 1.499653428631575691e+00 2.677937924577625250e-01
1.396981765624998761e+00 2.636531992187494122e-01 2.299008593750003285e-02 1.870200034179672510e+00 6.141932285156279647e-01 2.630421054687522853e-01 1.494611655604236145e+00 5.238084922566094148e-01 4.239565652735851842e+00 1.485511581530769343e+00 2.337736268569763076e-01
1.340262763671868695e+00 2.794089355468729607e-01 1.975612207031244780e-02 1.946190193359377485e+00 4.069178701171845547e-01 1.443909687500003203e-01 1.705437724176440017e+00 4.357712788397451464e-01 4.230894419428101294e+00 1.469435537604490971e+00 2.610286909914620312e-01
1.276702007812501316e+00 2.946543984374988545e-01 1.785919921874998609e-02 1.966166165039069602e+00 1.275056650390623547e-01 1.313573427734376076e-01 2.094342359848775370e+00 3.402925452360964220e-01 4.212382680393456091e+00 1.464331246726726210e+00 2.835722023764478128e-01
1.310189678710931505e+00 2.875278300781224372e-01 1.944071289062489563e-02 1.974222833007814648e+00 1.999655468750004550e-01 1.241570937499995586e-01 2.141579213394851244e+00 3.447630651169555915e-01 4.201158170576056783e+00 1.503359070956222787e+00 2.714190497950049741e-01
1.344452664062494973e+00 2.748280527343743840e-01 2.037017285156255894e-02 1.860082445312505772e+00 7.509515332031281298e-01 1.990357607421888997e-01 1.640320709107347952e+00 4.752424037164348913e-01 4.235549798547835643e+00 1.464437795963503319e+00 2.532844414427609658e-01
1.394650993164063379e+00 2.818401533203115372e-01 2.668458203124984135e-02 1.950065113281241658e+00 9.187483437500091332e-01 1.038691279296871522e-01 1.574396507089454555e+00 4.441646994263254156e-01 4.222554308192601802e+00 1.514232963668101117e+00 2.426649774917720714e-01
1.365506017578123510e+00 2.684703398437489064e-01 2.169784960937491333e-02 2.017886221679684233e+00 5.750465976562497694e-01 2.220870166015639635e-01 2.009139693058338061e+00 4.334657018682773200e-01 4.218757055933554767e+00 1.504509139773363424e+00 2.363400268281976857e-01
1.523335644531260691e+00 2.505864003906224657e-01 2.995644726562508853e-02 1.938629486328099949e+00 1.591240835937524745e+00 9.183913281250090377e-02 7.978398127983938881e-01 5.905785605706701524e-01 4.254752962453410170e+00 1.523921051945013039e+00 1.933459555495618543e-01
1.365909176757803989e+00 2.850567089843722979e-01 2.326034082031225303e-02 1.901402240234362218e+00 5.654630449218717159e-01 1.153422675781244217e-01 1.343030970432290694e+00 4.831934510146229655e-01 4.243970184718529381e+00 1.461245087093633543e+00 2.567892965888161627e-01
