M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.009467456054689238e+00 2.690154423828121089e-01 1.970654003906234172e-02 1.876491475585954971e+00 7.414746796874959189e-01 1.695738603515627996e-01 4.418728480820715454e+00 3.906758878218677400e-01 4.447043135458864427e+00 9.962274671095733281e-01 2.555232931008795672e-01
1.000418025390626964e+00 2.681707236328123023e-01 1.785398828124984405e-02 1.899143731445332106e+00 6.687867968749969805e-01 1.655618593750000644e-01 4.360853933665757687e+00 3.952129445909440819e-01 4.451621606269558384e+00 9.862494161965099648e-01 2.558040799727234749e-01
1.012282372070313130e+00 2.705962792968746866e-01 2.039829589843734567e-02 1.883166831054703394e+00 7.444426289062461288e-01 1.659553398437501603e-01 4.382651464588898982e+00 3.887570075608787756e-01 4.446572374522306248e+00 9.981976185935904633e-01 2.576861127184520428e-01
1.033404946289065096e+00 2.730500781250006503e-01 2.368027050781235446e-02 1.886422313476581625e+00 4.953721162109399057e-01 1.612010224609373710e-01 4.406647086841418925e+00 3.785607383594778441e-01 4.440416409561419364e+00 1.014930116970847562e+00 2.639172423641469867e-01
1.024465686523437835e+00 2.707719199218751593e-01 2.189784667968732584e-02 1.872064743164078227e+00 6.159700986328118244e-01 1.535425400390625639e-01 4.400603400444490276e+00 3.810345842856838194e-01 4.440885451127281058e+00 1.010998253146522030e+00 2.599745276268110028e-01
1.003621774414066303e+00 2.694001152343749039e-01 1.851447851562481803e-02 1.895783606445332392e+00 7.562865615234332095e-01 1.695875214843751144e-01 4.352931238479275322e+00 3.923983825899393652e-01 4.449735090226423218e+00 9.901112239159127748e-01 2.548322396771448006e-01
1.012662917968749854e+00 2.705914111328119320e-01 2.052915722656233760e-02 1.882796204101577775e+00 8.150367265624947066e-01 1.661792822265628078e-01 4.315245926094248397e+00 3.939550170731747070e-01 4.447641290264310321e+00 9.973266678578373012e-01 2.567807646880673200e-01
1.030340147460938827e+00 2.707266210937505080e-01 2.263082421874983152e-02 1.880522173828144128e+00 4.812561171875018307e-01 1.511191347656247741e-01 4.444514828107670290e+00 3.759089833636093947e-01 4.440031018575268718e+00 1.014192420109566450e+00 2.618946398789772645e-01
1.010047125976563764e+00 2.701549687499999464e-01 2.023327929687483359e-02 1.879515925781267249e+00 7.202974033203075610e-01 1.680163554687502114e-01 4.484933229509478814e+00 3.851892988413586627e-01 4.445800716645197603e+00 9.980656178451358107e-01 2.573543152943489898e-01
1.007390237304687908e+00 2.704409062499999461e-01 2.016804199218734037e-02 1.875118054687517022e+00 7.185226689453070303e-01 1.678482812500003973e-01 4.518963581423842690e+00 3.842492754521344978e-01 4.446483160947361846e+00 9.960270754179788577e-01 2.576069048999460320e-01
