M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
8.303162841796910554e-01 2.695023857421882663e-01 1.136311621093755685e-02 2.131639271484366827e+00 3.301973237304725473e+00 1.491173466796887614e-01 3.898447031250002137e+00 5.243378283470907508e-01 4.576852805533504487e+00 4.844098979770420366e-01 7.770703969010317458e-01 2.358299577745295583e-01
8.061075634765678677e-01 2.771847792968750723e-01 9.842720703125015791e-03 1.952808860351555431e+00 2.465821329101571369e+00 2.400344697265635596e-01 4.082260742187506786e+00 5.520603135236303860e-01 4.580919038902040441e+00 4.824412190043188553e-01 7.622174456802656151e-01 2.550255645721864473e-01
8.076819619140689355e-01 2.748825761718766136e-01 1.080248925781256142e-02 2.186736248046862841e+00 5.013441672851626230e+00 1.751301376953143529e-01 4.089188676848040771e+00 5.303471990231749533e-01 4.581195262284354364e+00 4.607353354781995036e-01 7.624714809122459247e-01 2.286373558036089437e-01
8.017486894531309360e-01 2.810798623046869005e-01 9.986505859375015282e-03 1.959619476562491691e+00 1.975403941406253860e+00 2.392211679687516468e-01 5.413195062960910242e+00 4.837559292980493919e-01 4.565562289217913516e+00 5.018216027672502966e-01 7.733470480304780459e-01 2.566990879005258130e-01
7.885853339843776899e-01 2.803710712890619683e-01 7.765238281250042181e-03 1.847268602539062110e+00 1.575492230468750643e+00 2.690084199218757965e-01 4.940122070312513713e+00 5.196776038420214405e-01 4.571161757145671523e+00 5.210543725014855632e-01 7.628196552932569041e-01 2.593184552925059116e-01
8.061376699218797404e-01 2.821966376953107258e-01 8.513293945312543423e-03 1.788111958007807978e+00 6.416483369140618676e-01 2.919400478515631336e-01 4.311612562960938533e+00 5.524735928097587179e-01 4.573578519926951635e+00 5.230548839792251714e-01 7.681801562006936868e-01 2.739076612873245220e-01
7.946389501953190493e-01 2.865936015624993560e-01 9.601245117187497125e-03 1.860754429687493161e+00 1.292352997070313592e+00 2.870895703125009302e-01 5.572446289062485292e+00 4.924516628599284740e-01 4.563748522358483939e+00 5.073413969551454628e-01 7.715600855277165993e-01 2.701087755145911151e-01
8.246991865234416519e-01 2.666740927734390088e-01 1.160157128906259480e-02 2.224370583007803326e+00 4.911512284179750942e+00 7.834822949218811505e-02 3.770458984374998934e+00 5.068311193505318224e-01 4.576822179232678423e+00 4.552951083232483764e-01 7.744917224091533159e-01 2.152293226444801644e-01
7.711853046875059015e-01 2.994417978515617751e-01 9.773464843749985614e-03 1.803528769531245635e+00 7.537026494140659505e-01 3.329481103515615770e-01 7.298388671874977973e+00 4.339210621858020089e-01 4.550811451385283313e+00 5.081306104083671560e-01 7.717653784043546628e-01 2.870325921792510337e-01
7.963874882812532752e-01 2.724860322265644230e-01 1.057879589843752598e-02 2.069106998046863044e+00 3.363710851562529136e+00 2.045814863281269214e-01 6.082943591827634222e+00 4.778412455243261636e-01 4.568811597016048331e+00 4.599071351398167362e-01 7.679904538161190786e-01 2.335037680577347063e-01
7.810368066406213616e-01 2.621694384765642094e-01 1.092168457031246660e-02 1.819597913085936547e+00 3.722170078124993897e-01 3.787842158203137410e-01 1.106551730966053348e+01 4.469652890524192235e-01 4.553193766500064577e+00 4.436101173320541879e-01 7.750851363881117173e-01 2.549512838511531765e-01
7.889046796875007761e-01 2.835710869140620205e-01 9.387194335937510195e-03 1.818578327148437479e+00 1.428691891601563402e+00 2.924930683593763292e-01 6.233238694433836713e+00 4.842188201088554744e-01 4.554456384847303418e+00 5.188783117526299948e-01 7.783014327328551252e-01 2.627002850747923723e-01
7.722647197265678498e-01 2.857998613281249045e-01 9.089807617187509528e-03 1.802767465820307224e+00 1.370355126953131553e+00 2.759229169921886826e-01 7.152250976562478435e+00 4.487029682980572254e-01 4.556145712023625727e+00 4.850604399614460438e-01 7.676345737146749171e-01 2.666232301998688881e-01
