M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.013287817382814593e+00 2.690489423828121840e-01 2.007088671874985436e-02 1.888873044921893785e+00 8.317649941406218828e-01 1.824317421875004397e-01 4.397820909470382844e+00 3.927916709895413194e-01 4.446852879595882158e+00 1.002074547809255201e+00 9.983016602677398099e-01 2.540485974370406685e-01
1.011362520507814500e+00 2.633256435546879048e-01 1.759983203124988391e-02 1.900424752929709582e+00 6.844456552734361487e-01 1.788211093750002589e-01 4.329849759095714568e+00 4.027834461498579488e-01 4.448639525440884590e+00 1.037833874892378994e+00 9.952816070746933752e-01 2.507489532413612054e-01
1.019312044921875993e+00 2.695628662109372797e-01 2.097183105468736208e-02 1.890760115234393135e+00 8.447106396484338475e-01 1.769115371093751554e-01 4.347210425612908047e+00 3.921515745679028941e-01 4.445235913134279571e+00 1.004238902380232279e+00 1.003216028567492923e+00 2.550718162650843501e-01
1.037105268554690873e+00 2.746864667968766938e-01 2.401967285156236809e-02 1.894748979492205665e+00 6.150488906250022314e-01 1.720632753906249368e-01 4.341444731333786500e+00 3.761239516866135002e-01 4.439081788703991727e+00 1.027037916286468677e+00 1.018462532120045561e+00 2.638124213920725047e-01
1.025091125976563822e+00 2.716407939453128195e-01 2.214222656249985668e-02 1.888090901367206698e+00 6.885896025390616515e-01 1.639043535156250730e-01 4.340492710962061018e+00 3.845181165777276089e-01 4.443507303163201527e+00 1.006216620438252329e+00 1.007852507535538900e+00 2.596368455230864680e-01
1.011345802734379351e+00 2.671951738281249655e-01 1.878722070312484685e-02 1.897239986328146166e+00 7.543447578124969910e-01 1.847203476562501168e-01 4.370583440306983647e+00 3.957003941810293135e-01 4.446942011227540625e+00 1.024467424460986376e+00 9.972822305461971348e-01 2.526336814894226124e-01
1.018692771484375870e+00 2.695066337890621444e-01 2.079603808593736766e-02 1.869896101562517066e+00 8.430014277343712559e-01 1.799411455078128164e-01 4.298035705833226139e+00 3.980875279971836656e-01 4.445268053500139871e+00 9.987559443213743782e-01 1.002947716259644073e+00 2.550209202347575865e-01
1.034081567382814537e+00 2.707012929687511726e-01 2.273754687499986854e-02 1.895070507812520511e+00 5.438526132812527836e-01 1.564830273437500807e-01 4.376597175407940021e+00 3.764722338715951744e-01 4.440474439321809186e+00 1.025353131914362503e+00 1.015563290600654200e+00 2.608123658303570513e-01
1.010972961914063939e+00 2.713733554687497440e-01 2.049142773437485909e-02 1.881715708984392554e+00 7.924160791015597560e-01 1.793461630859377598e-01 4.469809654971396817e+00 3.851841055067617980e-01 4.445360802991763727e+00 9.959163892241189586e-01 9.990425712014241455e-01 2.572845582157509137e-01
1.010017335937501315e+00 2.718918525390621177e-01 2.063116406249987031e-02 1.871861030273454629e+00 7.858366601562470910e-01 1.800291875000002983e-01 4.519946354605346883e+00 3.824752759971074001e-01 4.444392629669965622e+00 9.918048968935837539e-01 9.997330144778421301e-01 2.579841986254285957e-01
