M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.013558606445314592e+00 2.684675429687495285e-01 1.972022949218735915e-02 1.870726051757830133e+00 7.794803203124968105e-01 1.851633193359378537e-01 4.392079071262112500e+00 3.950819219869655674e-01 4.445060504434086290e+00 1.010097752737026067e+00 1.000628818149982724e+00 2.541165212229990478e-01
1.017783400390625870e+00 2.684206464843746920e-01 2.026717773437486728e-02 1.874397928710955785e+00 8.175811015624969702e-01 1.823384238281253178e-01 4.303477723138605882e+00 3.996832960833882620e-01 4.445902649155509145e+00 1.005676138758535787e+00 1.001681802786087205e+00 2.537739632282470237e-01
1.015874629882807856e+00 2.653168662109356424e-01 2.044878710937485244e-02 1.775235070312511931e+00 6.897162041015576506e-01 1.507880322265627016e-01 4.485346517283951506e+00 3.952203436222559985e-01 4.440542421459252154e+00 9.667554128023422289e-01 1.007078536382293388e+00 2.539081939623448192e-01
1.024864353515628546e+00 2.681878271484380849e-01 2.026820605468735922e-02 1.932379312500022595e+00 8.345104423828105800e-01 1.825973398437502893e-01 4.347707428477135316e+00 3.842966509317308765e-01 4.442271735284373690e+00 1.055796277106523684e+00 1.009368241395874888e+00 2.525911090467338194e-01
1.030136490234377034e+00 2.660309189453125001e-01 1.982782421874988710e-02 1.875138349609396293e+00 7.474944804687493338e-01 1.680945888671877830e-01 4.298142672209438686e+00 3.854374960127759375e-01 4.436565260518148257e+00 1.076278109917503611e+00 1.018816325126850053e+00 2.522274257204338843e-01
1.017943351562500043e+00 2.682176738281246142e-01 2.022189550781234441e-02 1.871047068359392496e+00 8.053646152343725273e-01 1.704378281250000515e-01 4.452525780066990180e+00 3.848752551369534758e-01 4.441429561783209579e+00 1.019716877206803263e+00 1.007026257042590078e+00 2.540260327853987032e-01
1.040530661132817780e+00 2.703357500000001523e-01 2.135604785156237917e-02 2.015540272460957461e+00 1.175150142578127443e+00 1.813586406250001781e-01 4.026823293142463456e+00 3.865686330983905683e-01 4.441818498083476285e+00 1.123640661659306428e+00 1.017616324342963230e+00 2.507210573751857408e-01
1.040768517578128494e+00 2.659046972656260444e-01 2.104053320312490594e-02 1.968948649414084429e+00 8.153695917968766249e-01 1.746971689453123422e-01 4.248220271224864675e+00 3.797058409824068392e-01 4.440001812426574546e+00 1.100987782729038189e+00 1.019959851773781567e+00 2.520512986867767813e-01
1.016956120117191720e+00 2.637713652343754434e-01 1.798849999999983795e-02 1.909001174804712431e+00 6.896551113281239598e-01 1.783819287109373319e-01 4.353490072098580299e+00 3.927083886698052861e-01 4.444426572679774701e+00 1.061401150778268354e+00 1.002588591272744800e+00 2.502449347699506887e-01
1.008262281250000836e+00 2.683844042968739907e-01 1.972029101562485648e-02 1.829063228515639850e+00 6.998595966796842260e-01 1.787182626953130737e-01 4.527823068671899875e+00 3.905103327692716619e-01 4.444201622219040360e+00 9.834320414278433509e-01 9.990281805543930194e-01 2.555110103311424852e-01
