M Y Z alpha diffusion overshoot age X_c Y_surf
1.087974200195315211e+00 2.623021982421906428e-01 2.233901171875016245e-02 1.864657399414080485e+00 2.695817294921848961e-01 1.863965166015623121e-01 7.016946111721447998e+00 7.453404075382730198e-02 2.563572205269005200e-01
1.057150306640624482e+00 2.780071044921890167e-01 2.304020996093755769e-02 1.880594719726573993e+00 2.373800957031229897e-01 2.023346630859378104e-01 7.414141044857291085e+00 8.173889019877314532e-02 2.720215771465598342e-01
1.059033756835936479e+00 2.717348896484387821e-01 2.312538574218747991e-02 1.886250361328137171e+00 2.667103935546861759e-01 2.002035273437498542e-01 7.525609621697747720e+00 9.107048630671447931e-02 2.651534382271391044e-01
1.107448216796877993e+00 2.587596904296910472e-01 2.322562890625018070e-02 1.869926309570325573e+00 5.601054306640660396e-01 1.937455820312494470e-01 6.785298969874646424e+00 8.969541567891782530e-02 2.474697634404791902e-01
1.076601552734375078e+00 2.665408330078152810e-01 2.249208789062513009e-02 1.803715587890640348e+00 1.426881132812492792e-01 1.899056484374996856e-01 7.114226592005119088e+00 8.128982713866098053e-02 2.630698194273307644e-01
1.085707121093752558e+00 2.631972119140655875e-01 2.195526367187515190e-02 1.883096325195327436e+00 4.916312080078130142e-01 2.098799687499996736e-01 6.991770580695374271e+00 9.882613068927685596e-02 2.528243355088858890e-01
1.062344886718752379e+00 2.810381630859382640e-01 2.170056933593747170e-02 1.986853256835950265e+00 1.113402558593751535e-01 2.010561796875002805e-01 6.828438641523543851e+00 1.004454321670787686e-01 2.781864668249555694e-01
1.056927316406250483e+00 2.728470087890643159e-01 2.183518261718756306e-02 1.885714282226576222e+00 3.067152939453118843e-01 2.038117861328124503e-01 7.480328216194187974e+00 8.058933961952825797e-02 2.656998684975570568e-01
1.084468791015625655e+00 2.586929423828155938e-01 2.217904687500012531e-02 1.817526715820331651e+00 2.017828261718735694e-01 1.783880996093743232e-01 6.962075491006163297e+00 8.866879380010400657e-02 2.541173977059868472e-01
1.061334377929688877e+00 2.843858486328153523e-01 2.239479882812521472e-02 1.902268788085949014e+00 5.010672656250003687e-02 2.140409912109379753e-01 6.866785916931839928e+00 9.360206403291336519e-02 2.829260648891818719e-01
1.084180072265627848e+00 2.653581513671908754e-01 2.162182519531265570e-02 1.842161644531263853e+00 2.636296015624983724e-01 2.005912089843750745e-01 6.754254458974414455e+00 9.810572789451250941e-02 2.593759666703043254e-01
1.085457455078125966e+00 2.622980595703137130e-01 2.157765625000006640e-02 1.908575781250012593e+00 8.959814843750049107e-01 1.978245654296876543e-01 6.839240872761663148e+00 1.236280973489007756e-01 2.425445176491221877e-01
1.101659816406250769e+00 2.553115703125029001e-01 2.274916406250010459e-02 1.850261562500014723e+00 4.414887119140623040e-01 1.760797138671869599e-01 6.746019546725503524e+00 9.539777301853814839e-02 2.460089846033351457e-01
1.053197297851563130e+00 2.822498964843776492e-01 2.131384472656267653e-02 1.834904659179696917e+00 9.398292187499965311e-02 2.264537138671881278e-01 7.045715635822771716e+00 9.754558165534077396e-02 2.798353834883222091e-01
1.068155055664061770e+00 2.660368193359393119e-01 2.209000585937502190e-02 1.784652664062510441e+00 4.215558623046885556e-01 1.905255986328123208e-01 7.494058113713370162e+00 8.783356443209043574e-02 2.564282435300260787e-01
1.045583089843753033e+00 2.803745888671889674e-01 2.119909277343755283e-02 1.947873807617200193e+00 2.609062255859354584e-01 2.232958183593750923e-01 7.503859246862192300e+00 8.408403134087130693e-02 2.742416782408107490e-01
1.059310385742187277e+00 2.729646953125025033e-01 2.096235839843760967e-02 1.800372334960946841e+00 3.469297607421876206e-01 2.196577617187503162e-01 7.313367260451900442e+00 9.155210037680158730e-02 2.653007652292933560e-01
1.087878169921877580e+00 2.690356708984407152e-01 2.275068847656270057e-02 1.955912713867199670e+00 4.526602851562507301e-01 2.133868759765624179e-01 6.819456062689153164e+00 9.909457197465998401e-02 2.597596952660897740e-01
1.084616493164064277e+00 2.742804501953160501e-01 2.362467773437524482e-02 1.908602727539074007e+00 2.036521103515602504e-01 2.124489736328127043e-01 6.869880863810916338e+00 9.444021605948306475e-02 2.698604773755602371e-01
1.077723377929687754e+00 2.628138789062517411e-01 2.321068164062499092e-02 1.854862077148452082e+00 3.114906865234377542e-01 1.796961611328123931e-01 7.149503793874847801e+00 1.015977951863569345e-01 2.555718841162856192e-01
1.108327560546878976e+00 2.549121835937536162e-01 2.325975878906273026e-02 1.916374562500016365e+00 3.089042851562489589e-01 1.985861181640621587e-01 6.702271491696845551e+00 9.723081626071089500e-02 2.487483751055758474e-01
1.037321764648440059e+00 2.836417294921889654e-01 2.138874609375007382e-02 1.930431930664074924e+00 1.768091884765608524e-01 2.326847929687501648e-01 7.656990729374254734e+00 8.059278023733230933e-02 2.791634019052756099e-01
1.081862762695314117e+00 2.694881240234402453e-01 2.306623046875007702e-02 1.921957610351574530e+00 3.224444111328126916e-01 1.997629697265624893e-01 7.093800168473205048e+00 8.522035808562004877e-02 2.623573417025369392e-01
