M Y Z alpha diffusion overshoot age X_c Y_surf
1.013360209960940228e+00 2.735947900390623411e-01 2.082674999999986273e-02 1.916343024414082441e+00 8.930768496093732800e-01 1.564272675781251953e-01 4.341450398542145095e+00 3.750490450122972996e-01 2.569150223426966972e-01
1.005088713867189343e+00 2.714972285156248000e-01 1.862104101562486388e-02 1.914743697265645750e+00 7.781000087890616035e-01 1.458419267578126011e-01 4.280753214881799273e+00 3.773069672871250946e-01 2.561269006999646325e-01
1.014932512695314148e+00 2.752205205078125938e-01 2.146966503906235987e-02 1.918532535156267427e+00 8.738373818359367329e-01 1.552185517578126839e-01 4.315989016240958875e+00 3.746867238454616444e-01 2.593252020983740080e-01
1.023509866210940977e+00 2.792588447265632046e-01 2.415643457031234689e-02 1.902252718750018001e+00 6.463380517578154461e-01 1.578638964843748771e-01 4.383566621938685515e+00 3.705626906645752561e-01 2.668611506589554372e-01
1.018862035156251844e+00 2.772269404296880957e-01 2.271527343749983954e-02 1.899182717773455709e+00 7.455764843750005699e-01 1.502059472656251116e-01 4.339529757436459079e+00 3.719906020458020324e-01 2.632503506339055610e-01
1.008915684570316218e+00 2.726236308593749658e-01 1.961054296874984934e-02 1.926510863281271968e+00 7.985710205078112578e-01 1.552104619140627084e-01 4.327041980862981418e+00 3.757118361412807861e-01 2.567119574485802747e-01
1.013347749023438160e+00 2.750609648437497556e-01 2.137545214843735233e-02 1.895764152343767828e+00 9.194176572265598812e-01 1.562072382812501048e-01 4.271798580601174677e+00 3.815640375469615542e-01 2.584674495207910927e-01
1.021129894531252580e+00 2.782260283203130680e-01 2.345346191406233807e-02 1.905799555664080547e+00 6.779175927734393259e-01 1.502172734374999652e-01 4.385518017358995380e+00 3.685258410789726269e-01 2.652431064532365101e-01
1.011297154296876721e+00 2.750209970703124118e-01 2.137187109374984878e-02 1.916576066406267875e+00 8.637369775390609794e-01 1.579286630859375318e-01 4.411367542424483368e+00 3.731699405742265885e-01 2.593257447699804930e-01
1.008665802734376449e+00 2.756117705078123259e-01 2.135654199218734589e-02 1.912042538085954924e+00 8.676336210937476423e-01 1.557961357421875914e-01 4.445008918959924671e+00 3.707473570828030418e-01 2.597692628411824023e-01
1.011517633789065895e+00 2.726730087890623100e-01 2.023946777343736333e-02 1.906033092773457893e+00 7.943815136718738179e-01 1.583483251953126669e-01 4.364770733087894428e+00 3.755797282060289732e-01 2.570325738321626585e-01
1.010241768554690944e+00 2.722566249999997523e-01 1.971937304687484960e-02 1.912893342773458016e+00 7.812692832031241652e-01 1.552786591796877502e-01 4.290897555969132249e+00 3.796596825267014585e-01 2.566936633542133972e-01
1.008133975585940867e+00 2.727990947265622745e-01 1.998277636718735067e-02 1.915281584960957906e+00 8.172619091796857749e-01 1.573604238281251233e-01 4.403167411866784953e+00 3.737790142337161226e-01 2.566421179466194524e-01
9.828197626953104615e-01 2.704460664062499631e-01 1.569580761718741141e-02 1.887398717773455026e+00 9.265608076171869545e-01 1.620884296875004793e-01 4.372435837960496841e+00 3.820629571111640033e-01 2.524611079562323890e-01
1.008627617187503489e+00 2.722380087890623468e-01 1.956279882812485618e-02 1.912694386718771122e+00 8.048691328124994993e-01 1.563685273437502299e-01 4.325764965649611327e+00 3.775334677697532171e-01 2.561685287756504392e-01
