Name	M	dM	Y	dY	Z	dZ	ML	dML	D	dD	f	df	t	dt
Sun	1	0.00209	0.283	0.00133	0.0224	0.00045	2.02	0.0111	0.816	0.00968	0.0222	0.000311	4.56	0.029
16CygA	0.98	0.0304	0.263	0.00669	0.0153	0.00309	1.92	0.0842	0.79	0.111	0.0173	0.00147	8.01	0.844
16CygB	0.976	0.0244	0.264	0.00781	0.0164	0.00228	1.84	0.0709	0.613	0.108	0.018	0.00178	7.72	0.473
11853905	1.12	0.105	0.279	0.00936	0.012	0.00369	1.8	0.0546	0.963	0.097	0.0207	0.0027	5.69	1.8
11133306	1.08	0.126	0.272	0.00951	0.0147	0.0055	1.89	0.0966	0.938	0.0981	0.016	0.00304	4.37	2.38
3544595	0.877	0.0697	0.268	0.0118	0.0124	0.00524	1.88	0.129	0.997	0.157	0.0181	0.00441	7.02	1.92
4349452	0.905	0.144	0.277	0.0122	0.0047	0.00619	1.96	0.116	1.09	0.124	0.0139	0.00454	5.58	2.15
6521045	1.19	0.0321	0.283	0.00448	0.0153	0.00177	1.8	0.0315	0.971	0.035	0.0164	0.0014	4.29	0.457
11401755	1.2	0.048	0.285	0.00678	0.0105	0.00205	1.82	0.0463	1.02	0.0463	0.0233	0.00224	4.02	0.434
11904151	0.934	0.0709	0.273	0.00945	0.0192	0.00519	1.9	0.134	0.951	0.137	0.0162	0.00277	10.3	1.94
4914423	1.14	0.114	0.279	0.00963	0.0146	0.00445	1.82	0.0652	0.946	0.0765	0.0155	0.00264	4.99	2.08
11295426	0.984	0.0646	0.27	0.00924	0.0156	0.00416	1.86	0.113	0.77	0.163	0.0165	0.00288	7.88	1.54
3632418	1.2	0.103	0.294	0.0106	0.00912	0.00411	1.84	0.0982	0.968	0.12	0.0266	0.00507	3.39	0.984
6278762	0.746	0.0249	0.289	0.00906	0.0161	0.00357	1.72	0.157	0.8	0.23	0.0326	0.00445	11.7	0.713
4143755	0.998	0.0585	0.267	0.00505	0.0103	0.0024	1.76	0.0348	1.01	0.0688	0.0186	0.00176	7.02	1.28
3425851	0.953	0.162	0.267	0.0111	0.00553	0.00595	2.04	0.119	1.04	0.149	0.0152	0.00596	6.61	2.34
4141376	0.869	0.109	0.28	0.00989	0.00408	0.00475	1.9	0.101	1	0.12	0.0152	0.0038	4.7	1.63
5866724	1.2	0.143	0.285	0.00804	0.0159	0.00561	1.88	0.0763	1.02	0.109	0.0142	0.00369	3.03	1.95
10963065	0.925	0.0833	0.263	0.0107	0.00611	0.00373	1.96	0.153	0.982	0.174	0.0131	0.00325	6.68	1.53
6196457	0.892	0.0604	0.266	0.00481	0.00552	0.0024	1.83	0.0452	0.96	0.0554	0.0175	0.00304	9.06	1.49
10586004	1.08	0.115	0.276	0.00885	0.0112	0.0045	1.79	0.074	0.948	0.0934	0.0186	0.00361	5.63	1.76
10514430	1.12	0.0767	0.278	0.00702	0.0109	0.00306	1.78	0.0469	0.986	0.0569	0.0192	0.00295	4.68	1.04
11807274	0.963	0.172	0.276	0.00924	0.00635	0.00616	1.91	0.0809	1.05	0.149	0.0144	0.00534	6.03	2.56
5094751	0.969	0.136	0.269	0.0096	0.0104	0.00514	1.91	0.0904	0.952	0.0764	0.0145	0.00254	7.44	2.48
10666592	1.45	0.0601	0.315	0.00799	0.0229	0.00436	1.87	0.0782	0.956	0.0965	0.0118	0.00488	1.88	0.379

