n_tracks m_points variable cv oob
4096 2 M 0.811614702059 0.967899795707
4096 2 Y -0.283938812148 0.593600743204
4096 2 Z 0.939221773797 0.989971914818
4096 2 alpha 0.0118730138928 0.252068621944
4096 2 overshoot -0.138987633748 0.388864473372
4096 2 diffusion -0.613417448673 0.386182381701
4096 2 age 0.308531115971 0.977760251201
4096 2 X_c 0.405083488143 0.998384043192
4096 2 log_g 0.999785550059 0.999913292633
4096 2 L 0.972492128594 0.993785536527
4096 2 radius 0.965849655624 0.995678513831
4096 2 Y_surf 0.727391376375 0.941252682962
4096 2 mass_cc 0.0116972605645 0.873893412093
4096 2 M 0.788599699893 0.967536658551
4096 2 Y -0.290038052252 0.589595109921
4096 2 Z 0.954618844779 0.989443834811
4096 2 alpha 0.0169796714422 0.243958980603
4096 2 overshoot -0.14071133391 0.376187903319
4096 2 diffusion -0.619273931025 0.36711895037
4096 2 age 0.373476104071 0.975715111681
4096 2 X_c 0.413992428039 0.998370518591
4096 2 log_g 0.999278931573 0.999971941302
4096 2 L 0.971818323301 0.993931941984
4096 2 radius 0.967486930777 0.995913855384
4096 2 Y_surf 0.732502807061 0.939610450124
4096 2 mass_cc -0.038745752353 0.871326655792
4096 2 M 0.790703024635 0.967979879122
4096 2 Y -0.251191837011 0.585040667903
4096 2 Z 0.945414514088 0.989520838758
4096 2 alpha -0.00739888539687 0.251278960249
4096 2 overshoot -0.0783052511834 0.377231721504
4096 2 diffusion -0.653767626455 0.38054036856
4096 2 age 0.313303319869 0.975665121886
4096 2 X_c 0.380889243934 0.998335417573
4096 2 log_g 0.999675641572 0.999825213965
4096 2 L 0.975381043553 0.993607814091
4096 2 radius 0.966701574709 0.99544462993
4096 2 Y_surf 0.72230429903 0.940728012037
4096 2 mass_cc -0.022160195514 0.872762774338
4096 3 M 0.907290034921 0.965585415746
4096 3 Y -0.00255148077495 0.54698995701
4096 3 Z 0.97415388532 0.984182058285
4096 3 alpha 0.123324794287 0.220541289977
4096 3 overshoot 0.38335236941 0.507338325844
4096 3 diffusion 0.2986308843 0.442336954585
4096 3 age 0.859079954785 0.969914531531
4096 3 X_c 0.773225294151 0.996232974191
4096 3 log_g 0.999784089961 0.999955912707
4096 3 L 0.991015745459 0.994407049085
4096 3 radius 0.991421520455 0.995245814003
4096 3 Y_surf 0.872719540824 0.939269017986
4096 3 mass_cc 0.387738338661 0.89615256238
4096 3 M 0.908982712625 0.965523049573
4096 3 Y -0.0468862876239 0.551840030552
4096 3 Z 0.969628317208 0.984508379169
4096 3 alpha 0.136134853875 0.213014342177
4096 3 overshoot 0.344311650872 0.505666945654
4096 3 diffusion 0.215375079587 0.449359775302
4096 3 age 0.868204608789 0.971362346176
4096 3 X_c 0.761967133804 0.996129280767
4096 3 log_g 0.99991194136 0.999882776582
4096 3 L 0.991360693352 0.994417095455
4096 3 radius 0.99133046007 0.995292869658
4096 3 Y_surf 0.864579342277 0.940133358506
4096 3 mass_cc 0.35184140491 0.895842767846
4096 3 M 0.911738384462 0.96537498565
4096 3 Y -0.00646782066313 0.542665068901
4096 3 Z 0.975100403742 0.983960942529
4096 3 alpha 0.127389665282 0.225681181539
4096 3 overshoot 0.356495808397 0.504867787887
4096 3 diffusion 0.25753996724 0.45473802866
4096 3 age 0.857356679316 0.971019387964
4096 3 X_c 0.771810656864 0.996291817562
4096 3 log_g 0.999904018122 0.999850856208
4096 3 L 0.991771779056 0.994339177899
4096 3 radius 0.990682291062 0.995348062914
4096 3 Y_surf 0.860183616431 0.940751449013
4096 3 mass_cc 0.366526252952 0.898275530409
4096 4 M 0.939526036443 0.964221896688
4096 4 Y 0.0881110454203 0.535350924407
4096 4 Z 0.981690692276 0.982425793815
4096 4 alpha 0.17577298768 0.210750502819
4096 4 overshoot 0.446209811042 0.538388548619
4096 4 diffusion 0.32411503446 0.50295161351
4096 4 age 0.928783556348 0.963752372064
4096 4 X_c 0.886300385023 0.992886547598
4096 4 log_g 0.999915649522 0.999907538663
4096 4 L 0.99461684105 0.994670196396
4096 4 radius 0.993602430288 0.995331925326
4096 4 Y_surf 0.894207524459 0.940905751689
4096 4 mass_cc 0.641581525672 0.896467471468
4096 4 M 0.93830801608 0.963751017118
4096 4 Y 0.0901267115898 0.526940492642
4096 4 Z 0.982200410479 0.982738593645
4096 4 alpha 0.149533277401 0.223164773038
4096 4 overshoot 0.384375577182 0.545269718504
4096 4 diffusion 0.406035908275 0.486657108799
4096 4 age 0.929896661674 0.963683324849
4096 4 X_c 0.880923795195 0.992725932622
4096 4 log_g 0.999770020333 0.999974239956
4096 4 L 0.994706421292 0.994814576826
4096 4 radius 0.993492814187 0.995545926357
4096 4 Y_surf 0.901074023456 0.940347058541
4096 4 mass_cc 0.631753235451 0.898188214611
4096 4 M 0.939249318933 0.964229988761
4096 4 Y 0.0728885675038 0.530181697722
4096 4 Z 0.975772143984 0.983409252338
4096 4 alpha 0.171104073523 0.211513774818
4096 4 overshoot 0.42334179698 0.537441998641
4096 4 diffusion 0.467460719653 0.486829182173
4096 4 age 0.911510106559 0.965037314265
4096 4 X_c 0.883435375911 0.992836737099
