MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,FIRSTREF,FIRSTURL,PLANETDISCMETH
3.09,0.07,0.07,0.07,4.09607,0.293733,0.293733,0.293733,14.1,1,0.8999999999999999,0.95,,,,,,,,,,,,,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,RV
2.73,0.1,0.1,0.1,7.67663,0.29581,0.29581,0.29581,12.752,0.408076,0.408076,0.408076,,,,,,,,,,,,,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S,RV
2.6,0.3,0.3,0.3,22.6261,1.75535,1.75535,1.75535,7.38571,0.236375,0.236375,0.236375,,,,,,,,,,,,,Sato 2010,http://adsabs.harvard.edu/abs/2010PASJ...62.1063S,RV
2.54,0.12,0.09,0.105,1.62021,0.229116,0.229116,0.229116,11.4311,0.3658,0.3658,0.3658,,,,,,,,,,,,,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,RV
2.39,2.45,2.09,2.27,4.4772,3.44759,3.44759,3.44759,10.9537,0.350524,0.350524,0.350524,,,,,,,,,,,,,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,RV
2.33,0.05,0.05,0.05,10.298,0.36138,0.36138,0.36138,9,0.31,0.31,0.31,,,,,,,,,,,,,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,RV
2.31,0.12,0.12,0.12,7.40012,0.667224,0.667224,0.667224,8.14661,0.260745,0.260745,0.260745,,,,,,,,,,,,,Setiawan 2005,http://adsabs.harvard.edu/abs/2005A%26A...437L..31S,RV
2.3,0.3,0.3,0.3,4.96206,0.474735,0.474735,0.474735,11.8,1.4,1.4,1.4,,,,,,,,,,,,,Niedzielski 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1354N,RV
2.17,0.21,0.29000000000000004,0.25,1.70083,0.179947,0.179947,0.179947,12.3,0.88,0.82,0.85,,,,,,,,,,,,,Sato 2013,http://arxiv.org/abs/1304.4328,RV
2.15,0.02,0.33999999999999997,0.18,2.7597,0.211572,0.211572,0.211572,10.5,1,1,1,,,,,,,,,,,,,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,RV
