MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY
3.686,0.074,2.422,1.248,1,0,0,0,150.091,13.447,76.199,44.823,11.100028003171522,0.9938459408079953,5.6356596122837574,3.3147527765458764,,,,,,,,
3.601,0.025,0.403,0.21400000000000002,1,0,0,0,21.449,0.764,4.331,2.5475000000000003,13.838903261951186,0.49246226151347694,2.7941880490221194,1.6433251552677983,,,,,,,,
3.366,0.104,2.087,1.0955000000000001,1,0,0,0,18.266,0.804,6.832,3.818,8.126519456750474,0.35774885301975407,3.0395270380007537,1.6986379455102538,,,,,,,,
3.257,0.222,1.999,1.1105,1,0,0,0,13.454,2.835,7.088,4.9615,1.6897165277292128,0.3559645694635459,0.8903574945479167,0.6231610320057313,,,,,,,,
3.295,0.177,0.354,0.26549999999999996,1,0,0,0,14.907,0.445,1.186,0.8155,3.706849088022639,0.11062558048491149,0.2944067867743612,0.20251618362963636,,,,,,,,
3.249,0.222,0.672,0.447,0.04985580410737016,0.029968381176377304,0.029968381176377304,0.029968381176377304,4.378,0.605,1.539,1.072,0.3443667263481922,0.047283514239518626,0.121331281822161,0.08430739803083981,,,,,,,,
3.192,0.103,2.051,1.0770000000000002,1,0,0,0,16.187,1.05,5.949,3.4995,2.506918396472591,0.16236980361495074,0.921582456781561,0.5419761301982559,,,,,,,,
3.09,0.07,0.07,0.07,4.09607,0.293733,0.293733,0.293733,14.1,1,0.8999999999999999,0.95,,,,,,,,,,,,
2.738,0.362,0.488,0.425,0.012074933219429838,0.003439161172564832,0.003439161172564832,0.003439161172564832,4.232,0.909,1.521,1.2149999999999999,0.14185054271855588,0.03033282045554025,0.05085208135193511,0.040592450903737684,,,,,,,,
2.734,0.212,0.593,0.40249999999999997,1,0,0,0,8.841,1.492,3.232,2.362,1.858331323790892,0.3131417641145478,0.6798120349153433,0.4964768995149455,,,,,,,,
2.73,0.1,0.1,0.1,7.67663,0.29581,0.29581,0.29581,12.752,0.408076,0.408076,0.408076,,,,,,,,,,,,
2.607,0.165,0.934,0.5495,1,0,0,0,5.555,1.883,3.496,2.6895,1.2472142057895668,0.4219830610432511,0.78508476473163,0.6035339128874405,,,,,,,,
2.573,0.164,1.222,0.693,1,0,0,0,8.984,0.376,2.529,1.4525,1.5960416410282796,0.06601849157970524,0.449639456164479,0.25782897387209214,,,,,,,,
2.571,0.165,1.24,0.7025,1,0,0,0,8.611,0.46,2.45,1.455,2.17147308790544,0.11597843115353625,0.6182542522261586,0.3671163416898474,,,,,,,,
2.6,0.3,0.3,0.3,22.6261,1.75535,1.75535,1.75535,7.38571,0.236375,0.236375,0.236375,,,,,,,,,,,,
2.54,0.12,0.09,0.105,1.62021,0.229116,0.229116,0.229116,11.4311,0.3658,0.3658,0.3658,,,,,,,,,,,,
2.505,0.299,0.838,0.5685,0.05670359449828451,0.053123527040172355,0.053123527040172355,0.053123527040172355,3.218,0.977,1.466,1.2215,0.36310170368837885,0.10973343870680737,0.16504622894926313,0.13738983382803524,,,,,,,,
2.394,0.177,1.089,0.633,1,0,0,0,7.653,0.334,2.023,1.1785,1.7869599815425623,0.07850847647316299,0.4719430006170821,0.27522573854512256,,,,,,,,
2.39,2.45,2.09,2.27,4.4772,3.44759,3.44759,3.44759,10.9537,0.350524,0.350524,0.350524,,,,,,,,,,,,
2.382,0.277,0.514,0.3955,1,0,0,0,6.354,1.59,3.18,2.3850000000000002,1.5880123650253424,0.3978952330344397,0.7948983242907753,0.5963967786626075,,,,,,,,
