    KIC       tau        tams
    12258514   4.43279E+00        4.57021E+00 
    12069449   6.72931E+00        9.75396E+00 
    10068307   2.23621E+00        2.27223E+00 
    8228742    3.18736E+00        3.23982E+00 
    6933899    5.98733E+00        5.83049E+00 
    7510397    3.14854E+00        3.17721E+00 
    6116048    6.49495E+00        7.83392E+00 
    6106415    4.96017E+00        6.86288E+00 
    10162436   2.44870E+00        2.50757E+00 
    4914923    7.52973E+00        8.03209E+00 
    6603624    9.01998E+00        1.10141E+01 
    3632418    2.71942E+00        2.83183E+00 
    8379927    8.43240E+00        9.69492E+00 
    9098294    8.63577E+00        1.03512E+01 
    12069424   7.43289E+00        9.01566E+00 
    7940546    2.64544E+00        2.73810E+00 
    3656476    8.83579E+00        9.31578E+00 
    8694723    3.92876E+00        4.12866E+00 
    7970740    1.11956E+01        2.21291E+01 
    6225718    2.57651E+00        4.97131E+00 
    8006161    4.93705E+00        1.23897E+01 
    8760414    1.14589E+01        1.30739E+01 
    9139163    1.87500E+00        3.14147E+00 
    5184732    4.01776E+00        5.61591E+00 
    10516096   6.82354E+00        7.29132E+00 
    8938364    1.26284E+01        1.25591E+01 
    9955598    6.64998E+00        1.44518E+01 
    10963065   5.40229E+00        7.33209E+00 
    3427720    2.72574E+00        6.26415E+00 
    11772920   1.09543E+01        2.03853E+01 
    9139151    2.24696E+00        5.35125E+00 
    9025370    5.36426E+00        1.21044E+01 
    12009504   3.88258E+00        4.80398E+00 
    5773345    2.23015E+00        2.51508E+00 
    9414417    2.56344E+00        2.68407E+00 
    6679371    1.69127E+00        1.89696E+00 
   1435467     2.52543E+00        3.06750E+00 
    10454113   1.88198E+00        4.73480E+00 
    7871531    9.37229E+00        1.61524E+01 
    6508366    1.89410E+00        2.04352E+00 
    7296438    7.57540E+00        7.95888E+00 
    3456181    1.98846E+00        2.08982E+00 
    7106245    7.72404E+00        1.00983E+01 
    12069127   1.75416E+00        1.88261E+00 
    10644253   9.41320E-01        5.46991E+00 
    11253226   1.80002E+00        2.70436E+00 
    7103006    1.97104E+00        2.26352E+00 
    9353712    2.10105E+00        2.16626E+00 
    7680114    7.76529E+00        8.18683E+00 
    12317678   2.13151E+00        2.38235E+00 
    3735871    1.29690E+00        5.55209E+00 
    8394589    4.40047E+00        6.70180E+00 
    9812850    2.56588E+00        2.85643E+00 
    9965715    4.29777E+00        6.14353E+00 
    2837475    1.66675E+00        2.49569E+00 
    9206432    1.33511E+00        2.75352E+00 
    8424992    1.10962E+01        1.37195E+01 
    8179536    2.32207E+00        4.17564E+00 
    7206837    2.27550E+00        3.19365E+00 
    9410862    7.11658E+00        8.67571E+00 
    10730618   2.79187E+00        3.05771E+00 
    5950854    9.37114E+00        1.03689E+01 
    10079226   2.97481E+00        6.53055E+00 
    11081729   1.83433E+00        3.08723E+00 
    7771282    3.08852E+00        3.36902E+00 
    8150065    3.83138E+00        4.89019E+00 
