#
# Stellar properties determined for the LEGACY dwarfs sample
#
# Columns description:
#
# 1: Kepler Input Catalogue Identifier
# 2: Mass in solar units
# 3: Positive mass uncertainty in solar units
# 4: Negative mass uncertainty in solar units
# 5: Radius in solar units
# 6: Positive radius uncertainty in solar units
# 7: Negative radius uncertainty in solar units
# 8: Surface gravity in dex
# 9: Positive surface gravity uncertainty in dex
# 10: Negative surface gravity uncertainty in dex
# 11: Age in units of Gyr
# 12: Positive age uncertainty in units of Gyr
# 13: Negative age uncertainty in units of Gyr
# 14: Luminosity in solar units
# 15: Positive luminosity uncertainty in solar units
# 16: Negative luminosity uncertainty in solar units
# 17: Density in g/cm$^3$
# 18: Positive density uncertainty in g/cm^3
# 19: Negative density uncertainty in g/cm^3
# 20: Distance in pc
# 21: Positive distance uncertainty in pc
# 22: Negative distance uncertainty in pc
# 23: Fractional initial hydrogen abundance
# 24: Positive fractional initial hydrogen abundance uncertainty
# 25: Negative fractional initial hydrogen abundance uncertainty
# 26: Fractional initial helium abundance
# 27: Positive fractional initial helium abundance uncertainty
# 28: Negative fractional initial helium abundance uncertainty
# 29: Fractional surface hydrogen abundance
# 30: Positive fractional surface hydrogen abundance uncertainty
# 31: Negative fractional surface hydrogen abundance uncertainty
# 32: Fractional surface helium abundance
# 33: Positive fractional surface helium abundance uncertainty
# 34: Negative fractional surface helium abundance uncertainty
# 35: Fractional central hydrogen abundance
# 36: Positive fractional central hydrogen abundance uncertainty
# 37: Negative fractional central hydrogen abundance uncertainty
# 38: Fractional central helium abundance
# 39: Positive fractional central helium abundance uncertainty
# 40: Negative fractional central helium abundance uncertainty
# 41: Mass coordinate of the convective core edge
# 42: Positive fractional uncertainty in mass coordinate of convective core edge
# 43: Negative fractional uncertainty in mass coordinate of convective core edge
# 44: Radius coordinate of the base of the convective envelope
# 45: Positive fractional uncertainty in radius coordinate of the base of the convective envelope
# 46: Negative fractional uncertainty in radius coordinate of the base of the convective envelope
# 47: Convective efficiency
# 48: Positive fractional uncertainty in convective efficiency
# 49: Negative fractional uncertainty in convective efficiency
# 50: Terminal age main sequence
#
# KIC      Mass    sMassP  sMassM  Rad     sRadP   sRadM   Grav    sGravP  sGravM  Age      sAgeP    sAgeM    Lum     sLumP   sLumM   Rho       sRhoP     sRhoM     Dist    sDistP  sDistM  Xini    sXiniP  sXiniM  Yini    sYiniP  sYiniM  Xsup    sXsupP  sXsupM  Ysup    sYsupP  sYsupM  Xcen    sXcenP  sXcenM  Ycen    sYcenP  sYcenM  MCcore   sMCcoreP sMCcoreM Rbe     sRbeP   sRbeM   alp_conv   salp_convP salp_convM TAMS    
#
1435467    1.3146  0.0529  -0.0529 1.6816  0.0242  -0.0242 4.1052  0.0057  -0.0057 1.8084   0.0926   -0.0926  4.1801  0.2920  -0.2920 0.389424  0.003114  -0.003114 135.50  4.51    -4.51   0.6035  0.0264  -0.0264 0.3632  0.0254  -0.0254 0.7116  0.0344  -0.0344 0.2640  0.0315  -0.0315 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 1.7975     0.1382     -0.1382    2.6348  
2837475    1.4619  0.0482  -0.0482 1.6324  0.0228  -0.0228 4.1771  0.0036  -0.0036 0.3979   0.0583   -0.0583  4.6973  0.2667  -0.2667 0.473390  0.005621  -0.005621 119.19  3.95    -3.95   0.5418  0.0251  -0.0251 0.3939  0.0243  -0.0243 0.7472  0.0457  -0.0457 0.2212  0.0370  -0.0370 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 1.7328     0.1475     -0.1475    1.9360  
3427720    1.0920  0.0304  -0.0304 1.1108  0.0110  -0.0110 4.3849  0.0035  -0.0035 2.3367   0.0961   -0.0961  1.4831  0.0689  -0.0689 1.122443  0.002590  -0.002590 90.62   2.86    -2.86   0.7153  0.0158  -0.0158 0.2693  0.0158  -0.0158 0.7421  0.0134  -0.0134 0.2439  0.0133  -0.0133 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7863  0.0041  -0.0041 1.6323     0.0728     -0.0728    6.2305  
3456181    1.4636  0.0583  -0.0583 2.1275  0.0321  -0.0321 3.9475  0.0057  -0.0057 1.4645   0.0993   -0.0993  7.3378  0.2963  -0.2963 0.214081  0.002611  -0.002611 243.53  8.18    -8.18   0.5898  0.0242  -0.0242 0.3773  0.0239  -0.0239 0.7137  0.0409  -0.0409 0.2630  0.0374  -0.0374 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 2.0574     0.0901     -0.0901    1.6723  
3632418    1.3996  0.0295  -0.0295 1.9081  0.0145  -0.0145 4.0227  0.0026  -0.0026 2.2777   0.0761   -0.0761  5.6781  0.2411  -0.2411 0.283777  0.000678  -0.000678 107.42  3.32    -3.32   0.6732  0.0128  -0.0128 0.3064  0.0127  -0.0127 0.7368  0.0115  -0.0115 0.2466  0.0112  -0.0112 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 2.1839     0.1165     -0.1165    2.4759  
3656476    1.0504  0.0242  -0.0242 1.3048  0.0105  -0.0105 4.2281  0.0030  -0.0030 8.7807   0.2514   -0.2514  1.4207  0.0799  -0.0799 0.666012  0.000856  -0.000856 115.21  3.58    -3.58   0.6619  0.0137  -0.0137 0.3009  0.0119  -0.0119 0.7075  0.0115  -0.0115 0.2596  0.0099  -0.0099 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.6740  0.0022  -0.0022 1.6730     0.0649     -0.0649    9.1004  
3735871    1.1057  0.0460  -0.0460 1.0978  0.0163  -0.0163 4.4004  0.0052  -0.0052 1.6456   0.1561   -0.1561  1.5186  0.1112  -0.1112 1.177094  0.003903  -0.003903 123.64  4.14    -4.14   0.7105  0.0244  -0.0244 0.2740  0.0239  -0.0239 0.7332  0.0211  -0.0211 0.2525  0.0208  -0.0208 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7933  0.0048  -0.0048 1.6848     0.1274     -0.1274    5.7382  
4914923    1.0782  0.0194  -0.0194 1.3609  0.0086  -0.0086 4.2029  0.0023  -0.0023 6.5108   0.2200   -0.2200  1.7802  0.0833  -0.0833 0.602532  0.000794  -0.000794 115.80  3.55    -3.55   0.6728  0.0107  -0.0107 0.2996  0.0098  -0.0098 0.7230  0.0089  -0.0089 0.2531  0.0081  -0.0081 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7236  0.0037  -0.0037 1.5910     0.0527     -0.0527    8.6593  
5184732    1.2724  0.0195  -0.0195 1.3671  0.0074  -0.0074 4.2709  0.0020  -0.0020 4.8598   0.1517   -0.1517  1.6096  0.0575  -0.0575 0.701540  0.000767  -0.000767 69.99   2.13    -2.13   0.7121  0.0112  -0.0112 0.2438  0.0101  -0.0101 0.7454  0.0100  -0.0100 0.2148  0.0090  -0.0090 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7241  0.0039  -0.0039 1.5575     0.0346     -0.0346    9.4491  
5773345    1.5375  0.0633  -0.0633 2.0330  0.0301  -0.0301 4.0084  0.0051  -0.0051 2.1331   0.0830   -0.0830  5.5247  0.3605  -0.3605 0.257744  0.001194  -0.001194 182.83  6.11    -6.11   0.6501  0.0267  -0.0267 0.3067  0.0255  -0.0255 0.7502  0.0223  -0.0223 0.2183  0.0205  -0.0205 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 1.7278     0.0932     -0.0932    3.2109  
