#  l   n        freq     error
#             muHz        muHz
   4   9    1640.9227   0.0131
   4   10   1778.0069   0.0110
   4   11   1914.7198   0.0222
   4   12   2051.6704   0.0193
   4   13   2188.3142   0.0184
   4   14   2324.0703   0.0239
   4   15   2458.5031   0.0241
   4   16   2592.9787   0.0237
   4   17   2728.3312   0.0227
   4   18   2864.1430   0.0192
   4   19   3000.0776   0.0180
   4   20   3135.8735   0.0221
   4   21   3271.6384   0.0279
   4   22   3408.0334   0.0355
   4   23   3544.4454   0.0448
   4   24   3681.2944   0.0532
   4   25   3818.6459   0.0689
   4   26   3955.6835   0.0890
   5   8    1545.2801   0.0102
   5   9    1685.8620   0.0108
   5   10   1823.3669   0.0133
   5   11   1960.5124   0.0161
   5   12   2098.4145   0.0164
   5   13   2235.3439   0.0167
   5   14   2371.0910   0.0170
   5   15   2506.0541   0.0180
   5   16   2641.1306   0.0193
   5   17   2777.2700   0.0183
   5   18   2913.6645   0.0196
   5   19   3049.8872   0.0201
   5   20   3186.1508   0.0227
   5   22   3459.2922   0.0379
   5   23   3596.3963   0.0487
   5   24   3733.6207   0.0599
   5   25   3871.3246   0.0699
   5   26   4009.3163   0.0921
   5   27   4147.4791   0.1239
   6   8   1587.4687   0.0082
   6   9   1727.7491   0.0100
   6   10   1866.0927   0.0136
   6   11   2004.0378   0.0142
   6   12   2142.4460   0.0159
   6   13   2279.7824   0.0176
   6   14   2415.4951   0.0165
   6   15   2551.0173   0.0183
   6   16   2687.0232   0.0164
   6   17   2823.6730   0.0150
   6   18   2960.5868   0.0151
   6   19   3097.2306   0.0166
   6   20   3233.9079   0.0212
   6   21   3370.8932   0.0282
   6   22   3508.1135   0.0389
   6   23   3645.9025   0.0460
   6   24   3783.7267   0.0567
   6   25   3921.7767   0.0708
   6   26   4060.1156   0.0897
   6   27   4198.9383   0.1200
   7   6   1334.5400   0.0055
   7   7   1483.4089   0.0060
   7   8   1627.5063   0.0076
   7   9   1767.6678   0.0098
   7   10   1906.8346   0.0109
   7   11   2045.8347   0.0130
   7   12   2184.5332   0.0150
   7   13   2322.1267   0.0166
   7   14   2458.1689   0.0157
   7   15   2594.2231   0.0165
   7   16   2731.1113   0.0152
   7   17   2868.2963   0.0133
   7   18   3005.5602   0.0139
   7   19   3142.7177   0.0165
   7   20   3279.7951   0.0213
   7   21   3417.3822   0.0259
   7   22   3555.1410   0.0351
   7   23   3693.3448   0.0454
   7   24   3831.7870   0.0551
   7   25   3970.2929   0.0722
   7   26   4109.3642   0.0970
   7   27   4248.1657   0.1238
   8   7   1521.2287   0.0058
   8   8   1665.7596   0.0078
   8   9   1806.1992   0.0096
   8   10   1946.0776   0.0115
   8   11   2086.1464   0.0127
   8   12   2225.1408   0.0139
   8   13   2362.8493   0.0150
   8   14   2499.4085   0.0152
   8   15   2636.1010   0.0153
   8   16   2773.7143   0.0135
   8   17   2911.4782   0.0139
   8   18   3049.1061   0.0142
   8   19   3186.6877   0.0168
   8   20   3324.3002   0.0213
   8   21   3462.3625   0.0273
   8   22   3600.7520   0.0343
   8   23   3739.2282   0.0433
   8   24   3878.1604   0.0566
   8   25   4017.3046   0.0734
   8   26   4156.4491   0.0948
   8   27   4296.2155   0.1264
   8   28   4435.5811   0.1706
   9   7   1557.6547   0.0357
   9   8   1702.4204   0.0068
   9   9   1843.6131   0.0097
   9   10   1984.2082   0.0110
   9   11   2125.0886   0.0127
   9   12   2264.4970   0.0128
   9   13   2402.2932   0.0145
   9   14   2539.5248   0.0138
   9   15   2676.9711   0.0135
   9   16   2815.1574   0.0120
   9   17   2953.5309   0.0121
   9   18   3091.4067   0.0135
   9   19   3229.4496   0.0166
   9   20   3367.7118   0.0229
   9   21   3506.1122   0.0278
   9   22   3645.1598   0.0359
   9   23   3784.0119   0.0465
   9   24   3923.3356   0.0566
   9   25   4062.8717   0.0744
   9   26   4202.3759   0.0966
   9   27   4342.2630   0.1347
   10   5   1288.0136   0.0034
   10   6   1443.4210   0.0051
   10   7   1592.9143   0.0050
   10   8   1737.8259   0.0067
   10   9   1879.9986   0.0100
   10   10   2021.4582   0.0104
   10   11   2162.9096   0.0121
   10   12   2302.7609   0.0141
   10   13   2440.7841   0.0138
   10   14   2578.5886   0.0140
   10   15   2716.9440   0.0125
   10   16   2855.6446   0.0115
   10   17   2994.4302   0.0119
   10   18   3132.8581   0.0137
   10   19   3271.2433   0.0178
