l n nu dnu
0 12 1187.1502753803 0.5010331951
0 13 1276.1354973616 0.2306913547
0 14 1364.3441539155 0.1259712368
0 15 1451.9701199177 0.1341911708
0 16 1539.6983031615 0.0862906264
0 17 1628.3366951616 0.0813246012
0 18 1717.8435038506 0.0609222961
0 19 1807.2506636009 0.05778183
0 20 1896.6670410851 0.06866419
0 21 1986.6911916754 0.1087450224
0 22 2076.6905298514 0.1953821677
0 23 2167.0127792322 0.5414448187
0 24 2257.0712448052 0.670387926
1 11 1138.3898539864 0.3725960874
1 12 1225.9514175922 0.3638225615
1 13 1314.6985072897 0.1849423939
1 14 1403.2162970573 0.139127832
1 15 1490.5510582383 0.1054074458
1 16 1578.6929310388 0.086694314
1 17 1667.8995880041 0.0636290209
1 18 1757.3777763579 0.0652134832
1 19 1847.1231067208 0.0553462063
1 20 1936.8726334635 0.0684658044
1 21 2026.9371143175 0.096408672
1 22 2117.2840541221 0.1972976188
1 23 2207.4464057404 0.3996322186
1 24 2299.4724976821 0.8539482812
2 15 1533.8083138382 0.2426760858
2 16 1622.6377921174 0.1580989196
2 17 1712.0856049532 0.1304558207
2 18 1801.8776860479 0.1071766976
2 19 1891.6968496585 0.1034988472
2 20 1981.5398370035 0.1598627695
2 21 2071.9040744581 0.27215033
2 22 2162.650421357 0.7285260749
2 23 2253.4335453994 1.2238869179
3 17 1750.3717116597 0.736201868
3 18 1839.5772631972 0.3668714023
