l	n	nu	dnu
0	15	1881.9813632397	0.66
0	16	1999.2390410336	0.36
0	17	2114.3354516487	0.25
0	18	2229.1468859038	0.2
0	19	2344.4295172754	0.16
0	20	2460.6086589712	0.12
0	21	2578.0791757768	0.15
0	22	2695.5960593744	0.22
0	23	2813.2374375109	0.3
0	24	2929.756984143	0.48
0	25	3046.2451479102	0.96
1	15	1937.0613645979	0.58
1	16	2053.1218449887	0.32
1	17	2167.7292409006	0.21
1	18	2282.7079914008	0.17
1	19	2398.2570786217	0.13
1	20	2515.3945623562	0.1
1	21	2633.4359164239	0.15
1	22	2750.799783117	0.2
1	23	2868.2431667244	0.27
1	24	2986.5342371734	0.43
1	25	3104.0838797591	0.85
1	26	3221.345559898	2.17
2	16	2104.8091298877	0.61
2	17	2218.2345878176	0.41
2	18	2333.8408992531	0.31
2	19	2449.9480954598	0.21
2	20	2567.7921878705	0.23
2	21	2685.5971306818	0.31
2	22	2804.0138287244	0.38
2	23	2920.3064347179	0.52
2	24	3038.9044676413	0.83

