n l nu dnu
12 0 1175.69764 0.901470985499 
12 1 1209.36599 0.866334025365 
13 0 1260.44926 0.778532995379 
13 1 1297.30369 0.699343107024 
14 0 1348.81079 0.763466947888 
14 1 1386.1809 0.612648803964 
15 0 1435.13803 0.55406752475 
15 1 1474.69381 0.635525077223 
16 0 1521.05192 0.625218248082 
16 1 1563.03369 0.591700649078 
17 0 1609.366465 0.727901198429 
17 1 1648.85446 0.593149618511 
18 0 1696.439 0.388899884442 
18 1 1736.7416 0.457467879704 
19 0 1784.58389 0.349134632494 
19 1 1825.24854 0.431400440829 
19 2 1866.6863 0.718279933062 
20 0 1873.436785 0.410927120562 
20 1 1914.37181 0.341362031551 
20 2 1955.40727 0.81589169756 
21 0 1962.90668 0.47643843003 
21 1 2003.96933 0.487502901099 
21 2 2044.69798 0.91502787054 
22 0 2052.12061 0.698636582467 
22 1 2094.20499 0.612871880938 
23 0 2140.6842 0.68434925217 
23 1 2182.50255 0.783898407354 
24 0 2229.30124 0.652962083115 
24 1 2271.1217 0.738554057637 
25 0 2318.49798 0.758991553855 
26 0 2408.593615 0.836240280155 
27 0 2498.961675 0.932546741341 
