n l nu dnu
14 1 1398.88465985 0.330581033751
14 2 1437.9326884 1.2746723647
15 0 1447.88938544 0.218380249582
15 1 1487.69909755 0.23147950282
15 2 1532.7403265 1.33844363299
16 0 1536.31038582 0.392125688352
16 1 1577.14495966 0.392252147871
16 2 1623.35609486 2.09817421991
17 0 1625.73808583 0.391491013602
17 1 1668.50183111 0.378968260822
17 2 1707.39357178 4.76049307103
18 0 1717.31181243 0.522954304576
18 1 1757.23150268 0.413670809881
18 2 1799.36539344 0.853450365653
19 0 1801.32380962 0.658652442732
19 1 1845.70366232 0.341264316984
19 2 1884.35939766 1.38005019196
20 0 1895.49849516 0.445618242193
20 1 1935.8062861 0.400110777195
20 2 1974.1270735 1.48324083096
21 0 1983.56374782 0.699583642292
21 1 2025.7323827 0.470972974653
21 2 2065.62284605 1.86562999509
22 0 2072.85970555 0.498483639961
22 1 2116.37041485 0.498056947511
22 2 2157.59279563 2.81509130031
23 0 2165.3059389 0.652588561047
23 1 2207.99685291 0.713984174328
23 2 2251.92030325 2.78621488963
24 0 2257.08631642 0.934264171936
24 1 2300.39336926 0.652680226655
24 2 2340.44010478 2.97076294932
25 0 2347.87521272 1.05597960707
25 1 2389.79909824 0.706762567299
25 2 2432.10025959 1.64275929172
26 0 2438.97905608 0.610926691639
26 1 2481.12114144 0.962821523275
26 2 2522.98819437 2.9038268634
27 0 2528.75121361 1.26033571111
27 1 2574.89753641 0.982234512828
