n l nu dnu
9 2 668.513476196 2.57091175238
10 0 673.376105385 0.290307019148
10 1 698.630652837 0.638454511742
10 2 726.714681077 2.30109046888
11 0 730.374035222 0.537980533937
11 1 755.755715917 0.346968732568
11 2 784.289450636 0.973471418531
12 0 787.967760948 0.295403093291
12 1 813.075720083 0.253842674191
12 2 839.885132167 0.896889137357
13 0 846.620053355 0.217284394528
13 1 872.883445988 0.232542206083
13 2 901.596570702 0.620295378663
14 0 906.885617494 0.332219028288
14 1 933.085331953 0.21427411451
14 2 963.141479777 0.90331931847
15 0 966.597788515 0.285179426064
15 1 992.987570976 0.176288805338
15 2 1021.26734007 0.475055309206
16 0 1025.66313883 0.206842891999
16 1 1051.22687924 0.159075731714
16 2 1080.4466362 0.527783617459
17 0 1084.74059347 0.165515944247
17 1 1110.89826275 0.128125675009
17 2 1139.94041956 0.418699788731
18 0 1144.49210029 0.221698050619
18 1 1170.71851934 0.146797260012
18 2 1199.83681911 0.461656685641
19 0 1204.82510701 0.185259609197
19 1 1231.8120373 0.152049176181
19 2 1261.27109359 0.51953571882
20 0 1265.87419912 0.273386454681
20 1 1292.78601893 0.189342960954
20 2 1322.63007627 0.542966360107
21 0 1327.01475965 0.244744797299
21 1 1353.75454817 0.228789088903
21 2 1383.14734977 0.703854855126
22 0 1387.37085045 0.37570798313
22 1 1414.2559489 0.282729446816
22 2 1442.16013517 1.06924573238
23 0 1448.09055626 0.354827627227
23 1 1475.51850199 0.417755443388
23 2 1503.27524268 1.11197793142
24 0 1508.08677895 0.890772199361
24 1 1537.50815948 0.487074561357
24 2 1564.53201468 1.43087895814
25 0 1570.46253258 0.593868678804
25 1 1597.81294439 0.748622503445
25 2 1627.12411984 2.05358601452
26 0 1632.29049447 1.19026655878
26 1 1657.35471581 1.28502445865
26 2 1690.30610414 2.49021871661
27 0 1694.00337133 1.38331901815
27 1 1720.4585091 1.77874918598
