n l nu dnu
12 0 1157.93928 1.54387448182 
12 1 1200.68746 1.82574921284 
13 0 1250.85375 0.642408005011 
13 1 1292.53539 1.03621141116 
14 0 1342.01345 0.990466651405 
14 1 1384.96658 0.800371743391 
15 0 1433.89716 0.900591210018 
15 1 1477.365105 0.716435673046 
16 0 1527.59798 0.762338692597 
16 1 1572.65281 0.411520105223 
16 2 1616.61762 1.83480752405 
17 0 1622.8294 0.491556246323 
17 1 1666.16851 0.325717604169 
17 2 1708.85166 1.14447447831 
18 0 1716.531585 0.456438365493 
18 1 1759.08061 0.252461909864 
18 2 1801.07348 0.929770933147 
19 0 1809.69878 0.303523825658 
19 1 1851.54024 0.241514261579 
19 2 1893.33097 0.353976575852 
20 0 1902.23279 0.16281162895 
20 1 1945.43925 0.166908401011 
20 2 1987.95696 0.308455545487 
21 0 1996.25834 0.184412812857 
21 1 2040.26327 0.148647733049 
21 2 2082.87202 0.436209608953 
22 0 2091.60967 0.206075861979 
22 1 2135.60243 0.168131090451 
22 2 2178.142 0.762700451573 
23 0 2187.09391 0.263259099615 
23 1 2230.56637 0.306579346653 
23 2 2272.35207 1.04736085953 
24 0 2281.61704 0.440297520977 
24 1 2325.81581 0.354145425565 
24 2 2369.28712 1.26010843463 
25 0 2377.24953 0.601782884897 
25 1 2420.77076 0.473685319661 
25 2 2463.64604 1.40147464255 
26 0 2471.03587 0.726398549531 
26 1 2516.22813 0.636631762955 
26 2 2559.50752 1.80088938159 
27 0 2567.34758 1.05795140719 
27 1 2612.607305 0.836601299626 
27 2 2656.13862 1.46347426548 
28 0 2663.44308 1.54004101963 
28 1 2707.02046 1.00346047715 
28 2 2751.54324 1.65675550375 
29 0 2758.71489 1.37264005314 
29 1 2804.12521 1.10137759931 
30 1 2901.75681 1.36188304774 
