l	n	nu	dnu
0	2	1206.25	5.57
0	3	1288.97	1.25
0	4	1373.34	1.16
0	5	1460.14	0.8
0	6	1544.69	0.95
0	7	1631.1	0.69
0	8	1714.49	1.17
0	9	1799.75	1.07
0	10	1884.82	1.26
0	11	1972.73	0.71
0	12	2057.82	3.22
0	13	2147.1	0.83
0	14	2236.46	2.83
0	15	2322.1	3.03
0	16	2408.56	2.33
0	17	2495.76	3.34
0	18	2579.85	4.7
1	1	1161.54	0.91
1	2	1244.63	1.17
1	3	1328.34	0.7
1	4	1414.93	0.58
1	5	1500.54	0.78
1	6	1586.62	0.49
1	7	1670.48	0.58
1	8	1755.3	0.53
1	9	1840.68	0.5
1	10	1928.13	0.51
1	11	2014.38	0.54
1	12	2101.58	0.72
1	13	2190.81	0.9
1	14	2277.89	1.16
1	15	2362.76	1.61
1	16	2450.35	2.71
1	17	2539.49	4.35
2	1	1199.91	5.04
2	2	1287.24	3.77
2	3	1369.6	3.11
2	4	1455.42	2.33
2	5	1541.54	4.47
2	6	1626.3	3
2	7	1712.67	2.83
2	8	1794.39	2.73
2	9	1881.83	2.7
2	10	1965.19	2.01
2	11	2060.22	5.17
2	12	2140.32	3.25
2	13	2230.68	5.1
2	14	2316.86	4.35
2	15	2403.52	4.56
2	16	2491.5	5.16
2	17	2576.51	7.94
