l   n     nu      dnu
  0  14   1053.89    0.41
  0  15   1124.14    0.26
  0  16   1195.37    0.19
  0  17   1265.49    0.15
  0  18   1335.17    0.12
  0  19   1404.87    0.14
  0  20   1475.20    0.19
  0  21   1546.61    0.28
  0  22   1618.92    0.47
  0  23   1690.38    0.98
  1  13   1015.82    0.72
  1  14   1085.80    0.36
  1  15   1156.72    0.22
  1  16   1227.55    0.16
  1  17   1297.96    0.11
  1  18   1367.69    0.10
  1  19   1438.09    0.13
  1  20   1509.01    0.18
  1  21   1580.96    0.25
  1  22   1654.18    0.41
  1  23   1726.67    0.86
  1  24   1794.54    2.34
  2  14   1118.06    0.68
  2  15   1190.08    0.41
  2  16   1260.92    0.28
  2  17   1330.15    0.20
  2  18   1400.11    0.21
  2  19   1470.96    0.28
  2  20   1542.76    0.36
  2  21   1612.77    0.49
  2  22   1686.71    0.80
