l   n     nu      dnu
  0  15   1871.72    0.65
  0  16   1986.52    0.36
  0  17   2102.10    0.24
  0  18   2216.60    0.19
  0  19   2330.75    0.16
  0  20   2446.45    0.12
  0  21   2563.08    0.15
  0  22   2680.25    0.21
  0  23   2797.61    0.30
  0  24   2914.51    0.47
  0  25   3033.72    0.93
  1  15   1924.83    0.57
  1  16   2041.11    0.31
  1  17   2155.10    0.21
  1  18   2269.87    0.16
  1  19   2384.37    0.13
  1  20   2500.94    0.10
  1  21   2617.94    0.14
  1  22   2735.46    0.19
  1  23   2852.91    0.26
  1  24   2969.72    0.42
  1  25   3087.52    0.82
  1  26   3206.00    2.09
  2  16   2092.21    0.60
  2  17   2205.37    0.40
  2  18   2320.55    0.30
  2  19   2436.10    0.20
  2  20   2553.13    0.22
  2  21   2670.54    0.30
  2  22   2787.88    0.38
  2  23   2905.06    0.51
  2  24   3020.91    0.81
