n l nu dnu
12 1 1444.82845111 0.494386812169
13 0 1498.38697922 0.811412901793
13 1 1549.56631395 2.17497085641
13 2 1591.51455153 1.62725298414
14 0 1603.93973251 1.41506790437
14 1 1651.82411187 0.6250621858
14 2 1697.77581116 1.12196620359
15 0 1707.92917698 0.430019081789
15 1 1756.24024383 0.333762757714
15 2 1804.27361918 1.15067591915
16 0 1812.89377664 0.298734304254
16 1 1861.43236944 0.269613081982
16 2 1906.11404876 0.496790569585
17 0 1916.09481184 0.221632684553
17 1 1964.65947432 0.180244285485
17 2 2010.56062728 0.531005334524
18 0 2018.83275729 0.230064946248
18 1 2067.71394244 0.157859020549
18 2 2112.25190966 0.366093934539
19 0 2122.58666257 0.182784387624
18 3 2161.71125553 1.76366610097
19 1 2171.62230516 0.130108587787
19 2 2217.67770276 0.291275346015
20 0 2227.45143752 0.155337638062
19 3 2269.2247213 1.21074730452
20 1 2276.88650982 0.131621866814
20 2 2323.76650333 0.279491559204
21 0 2333.16549487 0.133387959057
20 3 2370.21474796 1.02676699876
21 1 2382.67228065 0.143008795031
21 2 2428.79829072 0.278681181862
22 0 2438.37306884 0.21029649791
22 1 2488.47899844 0.164493913833
22 2 2535.77265076 0.386544531959
23 0 2544.63359981 0.224968610627
23 1 2594.20151044 0.181876831818
23 2 2640.22668823 0.56325930743
24 0 2649.57030702 0.317007464919
24 1 2699.88784341 0.278818258737
24 2 2747.21333728 0.797355435635
25 0 2755.29204879 0.423801408432
25 1 2805.40085536 0.37620306263
25 2 2850.62848895 1.10468578363
26 0 2860.13382425 0.587503922724
26 1 2912.03931879 0.506003095198
26 2 2959.02274064 0.873034190171
27 0 2967.57252205 1.53254965142
27 1 3018.77645579 0.761283117021
27 2 3066.64570781 1.7890156012
28 0 3073.78967954 1.84822473455
28 1 3122.69569313 1.09398041995
28 2 3170.47078194 2.34820139051
29 0 3178.00727136 2.23119529068
29 1 3226.97763898 1.43974194002
