KOI	KIC	Teff	dTeff	FeH	dFeH	Mass	dMassH	dMassL	Radius	dRadiusH	dRadiusL	Density	dDensityH	dDensityL	logg	dloggH	dloggL	Luminosity	dLuminosityH	dLuminosityL	Age	dAgeH	dAgeL	Distance	dDistanceH	dDistanceL
2	10666592	6350	80	0.26	0.08	1.497	0.042	0.040	1.986	0.018	0.015	0.269	0.004	0.005	4.017	0.007	0.009	5.754	0.304	0.322	2.11	0.29	0.24	386.44	12.11	11.95
5	8554498	5945	60	0.17	0.05	1.197	0.021	0.029	1.794	0.015	0.015	0.292	0.003	0.003	4.007	0.003	0.003	3.684	0.130	0.182	5.60	0.45	0.42	439.34	13.68	13.68
7	11853905	5781	76	0.09	0.10	1.117	0.021	0.029	1.555	0.012	0.012	0.419	0.004	0.006	4.102	0.005	0.004	2.505	0.142	0.124	6.71	0.77	0.67	499.10	15.46	15.46
41	6521045	5825	75	0.02	0.10	1.108	0.021	0.019	1.513	0.009	0.012	0.454	0.004	0.006	4.125	0.004	0.004	2.478	0.112	0.112	6.50	0.46	0.56	310.34	9.49	9.63
42	8866102	6325	75	0.01	0.10	1.228	0.042	0.040	1.357	0.012	0.015	0.695	0.010	0.011	4.262	0.007	0.008	2.753	0.130	0.130	2.60	0.56	0.53	140.83	4.40	4.50
69	3544595	5669	75	0.18	0.10	0.899	0.009	0.009	0.916	0.006	0.006	1.653	0.016	0.018	4.468	0.003	0.003	0.780	0.029	0.025	6.63	0.62	0.57	92.77	2.85	2.85
72	11904151	5647	74	0.15	0.10	0.918	0.011	0.019	1.066	0.006	0.009	1.068	0.007	0.012	4.344	0.003	0.003	1.063	0.032	0.034	10.23	0.83	0.67	179.01	5.46	5.58
85	5866724	6169	50	0.09	0.08	1.199	0.029	0.030	1.399	0.012	0.012	0.616	0.007	0.008	4.224	0.005	0.007	2.577	0.103	0.095	3.89	0.59	0.48	312.43	9.75	9.75
108	4914423	5845	88	0.07	0.11	1.099	0.019	0.030	1.450	0.009	0.009	0.507	0.005	0.005	4.155	0.004	0.004	2.256	0.115	0.119	6.67	0.69	0.62	473.56	14.51	14.51
122	8349582	5699	74	0.30	0.10	1.068	0.021	0.019	1.417	0.012	0.009	0.528	0.006	0.005	4.163	0.003	0.004	1.891	0.090	0.094	8.03	0.80	0.70	413.66	12.89	12.68
