n l nu dnu
16 1 3233.26218 0.698548460194 
17 1 3411.69868 0.52010981606 
17 2 3493.67154 1.02513616179 
18 0 3504.56968 0.339930289932 
18 1 3590.66841 0.882237712111 
18 2 3672.7133 0.482501967025 
19 0 3683.11625 0.14352511444 
19 1 3769.674715 0.254133031905 
19 2 3852.44864 0.30686532864 
20 0 3861.49583 0.318067509961 
20 1 3948.73367 0.129722389144 
20 2 4032.07103 0.265062749228 
21 0 4041.25489 0.14567980352 
21 1 4127.62047 0.0902417670445 
21 2 4212.03734 0.753057548363 
22 0 4220.76057 0.605998769289 
22 1 4308.32558 0.241659049447 
22 2 4391.4687 0.796634128807 
23 0 4400.74075 0.253820234353 
23 1 4487.88769 0.356574002869 
23 2 4572.46653 0.679360279737 
24 0 4580.84393 0.313652251132 
24 1 4668.66792 0.486890759945 
24 2 4752.42998 0.820467992234 
25 0 4762.19843 0.986387913703 
25 1 4849.51175 0.378356914663 
25 2 4932.39661 0.908112395363 
26 0 4942.24533 0.531533381778 
26 1 5029.487065 1.0479200256 
27 0 5123.483855 0.919275821816 
27 1 5211.57195 1.04649088565 
28 0 5305.62011 0.971824973897 
28 1 5393.2435 0.85234926378 
29 0 5488.78675 1.04478381436 
29 1 5576.51419 0.907386534082 
30 1 5760.76755 0.767843728193 
31 1 5944.73606 0.934324024265 
