n l nu dnu
10 0 700.593182228 0.19151954576
10 1 726.051139854 0.334309553087
10 2 754.364440142 0.703319705993
11 0 760.153143671 0.137955487608
11 1 785.973308032 0.170586005404
11 2 815.612343397 1.0071726912
12 0 820.727001082 0.211214485733
12 1 847.38692999 0.12549918179
12 2 877.78633156 0.445940667621
13 0 882.260405748 0.108906369182
13 1 908.682892417 0.13169474642
13 2 939.335271033 0.438236655918
14 0 943.888852873 0.124446676465
14 1 969.982866123 0.124839330497
14 2 999.791905489 0.243105781497
15 0 1004.26976121 0.138555689727
15 1 1030.22582151 0.0862754089545
15 2 1060.4726227 0.164290932493
16 0 1064.98779195 0.0862816620055
16 1 1091.59788334 0.0794145138768
16 2 1122.05005173 0.157366729767
17 0 1126.8086336 0.0758037469074
17 1 1153.49139905 0.0819890051469
17 2 1185.01651345 0.168806582655
18 0 1189.5243176 0.100510454003
18 1 1216.12133225 0.0839646412207
18 2 1247.13064371 0.171516239949
19 0 1251.72768743 0.104032572388
19 1 1278.57256785 0.10113138935
19 2 1309.6713201 0.226018515051
20 0 1314.01059054 0.170545625038
20 1 1340.52954891 0.134514255401
20 2 1371.82139435 0.38023766992
21 0 1376.18892547 0.24861357061
21 1 1403.63854839 0.175276131723
21 2 1435.0808387 0.40111686344
22 0 1439.4043225 0.377454713823
22 1 1465.9910356 0.237490563385
22 2 1498.36558714 0.844852052426
23 0 1501.8833486 0.625851840628
23 1 1529.13853757 0.383624874248
23 2 1560.40250846 0.981734175269
24 0 1564.10982953 0.890659149963
24 1 1592.5718907 0.939805317253
