n l nu dnu
13 0 1728.138 0.435
13 1 1783.342 0.303
14 0 1847.636 0.761
14 1 1904.672 0.828
14 2 1954.857 0.752
15 0 1968.19 0.212
15 1 2023.666 0.312
15 2 2075.323 0.585
16 0 2087.99 0.157
16 1 2143.237 0.186
16 2 2195.355 0.311
17 0 2206.657 0.12
17 1 2261.245 0.114
17 2 2312.901 0.288
18 0 2324.322 0.109
18 1 2379.939 0.107
18 2 2432.294 0.217
19 0 2443.15 0.101
19 1 2499.398 0.103
19 2 2552.244 0.172
20 0 2563.605 0.084
20 1 2619.991 0.088
20 2 2673.135 0.144
21 0 2684.018 0.097
21 1 2740.526 0.091
21 2 2793.482 0.188
22 0 2804.495 0.095
22 1 2861.002 0.107
22 2 2914.039 0.215
23 0 2924.469 0.112
23 1 2981.241 0.123
23 2 3033.92 0.275
24 0 3044.862 0.13
24 1 3102.002 0.156
24 2 3154.846 0.362
25 0 3165.555 0.236
25 1 3223.302 0.244
25 2 3275.749 0.575
26 0 3286.935 0.358
26 1 3344.479 0.376
26 2 3397.302 0.658
27 0 3408.663 0.513
27 1 3466.404 0.458
27 2 3520.401 1.065
28 0 3531.755 0.923
28 1 3587.318 1.098
28 2 3641.946 1.253
29 0 3650.679 0.816
29 1 3710.678 0.936
29 2 3762.746 1.871
30 0 3770.309 1.593
30 1 3835.787 1.131
