n l nu dnu
13 0 1728.025 0.141
13 1 1783.39 0.164
14 0 1847.427 0.174
14 1 1903.864 0.19
14 2 1954.585 0.661
15 0 1968.206 0.197
15 1 2023.654 0.243
15 2 2075.644 0.431
16 0 2087.96 0.144
16 1 2143.207 0.17
16 2 2195.315 0.336
17 0 2206.635 0.12
17 1 2261.218 0.118
17 2 2312.9 0.262
18 0 2324.307 0.109
18 1 2379.911 0.106
18 2 2432.347 0.199
19 0 2443.131 0.096
19 1 2499.388 0.099
19 2 2552.222 0.171
20 0 2563.587 0.081
20 1 2619.97 0.092
20 2 2673.158 0.133
21 0 2683.994 0.092
21 1 2740.507 0.092
21 2 2793.435 0.184
22 0 2804.48 0.096
22 1 2860.981 0.107
22 2 2914.03 0.2
23 0 2924.447 0.107
23 1 2981.22 0.123
23 2 3033.887 0.262
24 0 3044.853 0.129
24 1 3101.96 0.162
24 2 3154.853 0.351
25 0 3165.58 0.234
25 1 3223.28 0.246
25 2 3275.756 0.544
26 0 3287.007 0.329
26 1 3344.532 0.363
26 2 3397.092 0.72
27 0 3408.607 0.532
27 1 3466.43 0.499
27 2 3519.568 1.152
28 0 3532.583 1.104
28 1 3587.141 1.311
28 2 3643.731 2.91
29 0 3649.766 1.7
29 1 3710.38 1.174
29 2 3764.762 2.105
30 0 3769.175 1.211
30 1 3836.527 0.885
