n l nu dnu
15 1 2023.838 0.297
16 0 2087.937 0.198
16 1 2143.133 0.18
17 0 2206.506 0.15
17 1 2261.245 0.136
18 0 2324.439 0.106
18 1 2379.779 0.099
18 2 2432.197 0.204
19 0 2443.152 0.101
19 1 2499.437 0.092
19 2 2552.415 0.153
20 0 2563.543 0.086
20 1 2619.926 0.09
20 2 2673.136 0.145
21 0 2683.948 0.099
21 1 2740.437 0.087
21 2 2793.385 0.159
22 0 2804.566 0.087
22 1 2860.993 0.095
22 2 2913.836 0.177
23 0 2924.53 0.094
23 1 2981.323 0.12
23 2 3034.225 0.276
24 0 3044.841 0.13
24 1 3102.033 0.157
24 2 3155.043 0.376
25 0 3165.482 0.243
25 1 3223.052 0.226
26 0 3286.718 0.298
26 1 3344.137 0.294
