l n n_p n_g nu dnu
0 7 7 0 265.104299747765 0.00927865049117177
0 8 8 0 296.845138453199 0.010389579845862
0 9 9 0 327.230465021967 0.0114530662757689
0 10 10 0 358.2805913328 0.012539820696648
0 11 11 0 390.101913886505 0.0136535669860277
0 12 12 0 421.582982388969 0.0147554043836139
0 13 13 0 452.702603820576 0.0158445911337202
0 14 14 0 484.24544872213 0.0169485907052746
0 15 15 0 516.475355104731 0.0180766374286656
0 16 16 0 549.005747725751 0.0192152011704013
0 17 17 0 581.399998526421 0.0203489999484247
0 18 18 0 613.741424535069 0.0214809498587274
0 19 19 0 646.321538063602 0.0226212538322261
0 20 20 0 679.082631851122 0.0237678921147893
0 21 21 0 711.920421059755 0.0249172147370914
0 22 22 0 744.763654949881 0.0260667279232458
2 -27 6 33 268.660700908047 0.188062490635633
2 -26 6 32 276.691685336776 0.193684179735743
2 -25 6 31 285.022819011116 0.199515973307781
2 -24 7 31 292.503479195829 0.20475243543708
2 -23 7 30 294.212249727595 0.205948574809316
2 -22 7 29 302.274135670786 0.21159189496955
2 -21 7 28 312.072412659347 0.218450688861543
2 -20 8 28 322.722569339739 0.225905798537817
2 -19 8 27 324.292640660673 0.227004848462471
2 -18 8 26 334.719434340917 0.234303604038642
2 -17 8 25 346.313480308663 0.242419436216064
2 -16 9 25 354.915450610324 0.248440815427227
2 -15 9 24 358.553550845993 0.250987485592195
2 -14 9 23 371.943173437702 0.260360221406392
2 -13 10 23 386.590973456092 0.270613681419265
2 -12 10 22 388.059334336191 0.271641534035334
2 -11 10 21 405.176357667905 0.283623450367534
2 -10 11 21 418.510153985721 0.292957107790005
2 -9 11 20 423.917627169656 0.296742339018759
2 -8 11 19 442.695086385942 0.30988656047016
2 -7 12 19 449.898086361974 0.314928660453382
2 -6 12 18 462.715249062394 0.323900674343676
2 -5 13 18 481.253165805191 0.336877216063634
2 -4 13 17 486.022271956539 0.340215590369577
2 -3 14 17 512.578248970511 0.358804774279358
2 -2 14 16 514.20756996584 0.359945298976088
2 -1 15 16 543.663021892591 0.380564115324814
2 0 15 15 546.46684365503 0.382526790558521
2 1 16 15 576.706435221701 0.40369450465519
2 2 16 14 579.157268801895 0.405410088161327
2 3 17 14 610.422027446513 0.427295419212559
2 4 17 13 613.278152427791 0.429294706699454
2 5 18 13 643.502868494483 0.450452007946138
2 6 18 12 652.932039005458 0.457052427303821
2 7 19 12 676.383991196498 0.473468793837549
2 8 19 11 701.458728136 0.4910211096952
2 9 20 11 709.371013963667 0.496559709774567
2 10 21 11 742.047942869713 0.519433560008799
2 11 21 10 760.335763789959 0.532235034652972
1 -13 6 19 269.545722258262 0.00943410027903917
1 -12 6 18 277.461521352953 0.00971115324735334
1 -11 7 18 287.359865221588 0.0100575952827556
1 -10 7 17 299.465506157945 0.0104812927155281
1 -9 7 16 308.319444351853 0.0107911805523149
1 -8 8 16 320.214132493038 0.0112074946372563
1 -7 8 15 331.703505443323 0.0116096226905163
1 -6 9 15 343.851835544018 0.0120348142440406
1 -5 9 14 356.167989917474 0.0124658796471116
1 -4 9 13 370.899224862729 0.0129814728701955
1 -3 10 13 383.405837969172 0.013419204328921
1 -2 10 12 399.688981929488 0.0139891143675321
1 -1 11 12 413.429377986903 0.0144700282295416
1 1 11 11 430.129974574278 0.0150545491100997
1 2 12 11 444.546290629155 0.0155591201720204
1 3 12 10 464.391407112735 0.0162536992489457
1 4 13 10 477.087173738606 0.0166980510808512
1 5 14 10 500.704172020562 0.0175246460207197
1 6 14 9 515.962920082887 0.018058702202901
1 7 15 9 535.662684942412 0.0187481939729844
1 8 15 8 560.665133596835 0.0196232796758892
1 9 16 8 574.236283524672 0.0200982699233635
1 10 17 8 599.14422399185 0.0209700478397148
1 11 17 7 623.205762631837 0.0218122016921143
1 12 18 7 638.144032624743 0.022335041141866
1 13 19 7 665.125089841394 0.0232793781444488
1 14 20 7 693.176707166974 0.0242611847508441
1 15 20 6 707.710571092691 0.0247698699882442
1 16 21 6 731.941415105519 0.0256179495286932
1 17 22 6 762.824870827528 0.0266988704789635
