l n nu dnu n_g
0 3 148.787 0.115 0 
0 4 177.347 0.109 0 
0 5 206.489 0.104 0 
0 6 235.291 0.099 0 
0 7 263.266 0.048 0 
0 8 289.968 0.027 0 
0 9 317.231 0.029 0 
0 10 345.757 0.019 0 
0 11 374.098 0.019 0 
0 12 402.090 0.014 0 
0 13 430.140 0.014 0 
0 14 458.888 0.017 0 
0 15 488.185 0.027 0 
0 16 517.317 0.049 0 
0 17 546.549 0.137 0 
0 18 575.403 0.171 0 
0 19 604.758 0.180 0 
0 20 634.235 0.189 0 
0 21 663.713 0.198 0 
0 22 693.210 0.208 0 
0 23 722.021 0.218 0 
1 -14 130.463 0.367 17 
1 -29 134.618 0.350 32 
1 -28 138.880 0.333 31 
1 -27 142.472 0.317 30 
1 -26 148.371 0.302 29 
1 -25 152.921 0.288 28 
1 -14 155.263 0.274 17 
1 -23 159.656 0.261 27 
1 -22 165.938 0.248 26 
1 -19 172.550 0.237 23 
1 -2 177.411 0.225 6 
1 -7 182.037 0.215 11 
1 -18 187.830 0.204 23 
1 -3 193.134 0.195 8 
1 -6 199.656 0.185 11 
1 -15 208.384 0.177 20 
1 -14 215.513 0.168 19 
1 -13 220.151 0.160 19 
1 -12 230.849 0.152 18 
1 -5 242.305 0.145 11 
1 -10 245.572 0.138 16 
1 -9 259.320 0.132 16 
1 2 269.626 0.125 5 
1 -7 277.180 0.119 15 
1 4 292.771 0.114 4 
1 -5 298.252 0.108 13 
1 4 315.405 0.103 5 
1 3 323.235 0.096 6 
1 6 340.024 0.048 4 
1 5 350.150 0.035 5 
1 8 366.973 0.026 3 
1 1 379.236 0.021 10 
1 10 394.792 0.015 2 
1 3 412.465 0.015 9 
1 10 423.917 0.013 3 
1 9 445.836 0.016 5 
1 6 461.402 0.022 8 
1 11 477.027 0.044 4 
1 8 502.034 0.091 8 
1 9 517.402 0.192 7 
1 14 534.966 0.202 3 
1 11 560.663 0.212 7 
1 12 581.011 0.222 6 
1 15 595.502 0.234 4 
1 16 620.847 0.245 4 
1 15 647.042 0.258 6 
1 16 665.981 0.270 5 
1 19 682.326 0.284 3 
1 20 709.075 0.298 3 
1 19 736.146 0.313 5 
2 -57 126.196 0.706 59 
2 -55 130.378 0.673 57 
2 -54 133.754 0.641 56 
2 -53 134.984 0.610 55 
2 -52 135.896 0.581 55 
2 -51 139.323 0.553 54 
2 -50 142.198 0.527 53 
2 -49 143.262 0.502 52 
2 -48 145.311 0.478 51 
2 -47 146.668 0.455 50 
2 -46 149.945 0.434 49 
2 -45 153.734 0.413 48 
2 -44 156.600 0.393 47 
2 -43 160.561 0.375 46 
2 -42 163.334 0.357 45 
2 -41 166.177 0.340 45 
2 -40 168.719 0.324 44 
2 -39 172.548 0.308 43 
2 -38 174.384 0.293 42 
2 -37 177.667 0.279 41 
2 -36 181.791 0.266 40 
2 -35 186.286 0.254 39 
2 -34 191.422 0.241 38 
2 -33 196.137 0.230 38 
2 -32 200.280 0.219 37 
2 -31 202.003 0.209 36 
2 -30 207.269 0.199 35 
2 -29 213.230 0.189 34 
2 -28 217.324 0.180 33 
2 -27 221.833 0.172 32 
2 -26 228.245 0.163 32 
2 -25 231.816 0.156 31 
2 -24 236.056 0.148 30 
2 -23 243.772 0.141 29 
2 -22 252.029 0.134 28 
2 -21 259.307 0.128 28 
2 -20 260.896 0.122 27 
2 -19 270.834 0.116 26 
2 -18 281.100 0.111 25 
2 -17 286.375 0.105 25 
2 -16 292.156 0.100 24 
2 -15 303.691 0.096 23 
2 -14 312.515 0.091 23 
2 -13 316.177 0.087 22 
2 -12 325.827 0.083 21 
2 -11 337.688 0.079 20 
2 -10 342.995 0.075 20 
2 -9 352.957 0.071 19 
2 -8 369.693 0.068 19 
2 -7 371.739 0.065 18 
2 -6 389.348 0.062 17 
2 -5 399.351 0.039 17 
2 -4 410.953 0.031 16 
2 -3 427.309 0.025 16 
2 -2 435.544 0.024 15 
2 -1 456.160 0.037 15 
2 0 463.275 0.061 14 
2 1 485.455 0.164 14 
2 2 494.771 0.269 13 
2 3 514.577 0.282 13 
2 4 530.141 0.296 12 
2 5 544.078 0.311 12 
2 6 571.279 0.327 12 
2 7 573.818 0.343 11 
2 8 602.084 0.360 11 
2 9 618.964 0.378 10 
2 10 632.266 0.397 10 
2 11 661.038 0.417 10 
2 12 675.783 0.438 9 
2 13 690.557 0.460 9 
2 14 719.170 0.483 9 
