l n nu dnu n_g
0 2 120.195 0.122 0 
0 3 149.925 0.116 0 
0 4 178.978 0.110 0 
0 5 208.326 0.105 0 
0 6 237.191 0.100 0 
0 7 265.790 0.048 0 
0 8 292.756 0.027 0 
0 9 320.029 0.030 0 
0 10 348.533 0.020 0 
0 11 377.536 0.019 0 
0 12 406.021 0.014 0 
0 13 434.262 0.014 0 
0 14 463.089 0.017 0 
0 15 492.522 0.027 0 
0 16 522.219 0.049 0 
0 17 551.847 0.138 0 
0 18 581.379 0.173 0 
0 19 610.923 0.181 0 
0 20 640.047 0.190 0 
0 21 669.908 0.200 0 
0 22 699.971 0.210 0 
0 23 729.266 0.220 0 
1 -14 130.315 0.353 17 
1 -27 134.094 0.336 30 
1 -26 138.600 0.320 29 
1 -25 143.422 0.305 28 
1 -24 148.912 0.290 27 
1 -23 153.812 0.276 26 
1 -14 156.189 0.263 17 
1 -21 161.034 0.251 25 
1 -20 168.134 0.239 24 
1 -9 174.127 0.227 13 
1 -2 179.775 0.217 6 
1 -17 185.053 0.206 21 
1 -12 190.791 0.196 17 
1 -5 196.512 0.187 10 
1 -14 205.000 0.178 19 
1 -13 214.369 0.170 18 
1 -12 218.303 0.162 18 
1 -11 228.660 0.154 17 
1 -10 241.480 0.147 16 
1 -9 245.735 0.140 15 
1 -8 258.367 0.133 15 
1 3 271.654 0.127 4 
1 -6 277.184 0.121 14 
1 3 294.594 0.115 5 
1 -4 300.409 0.109 12 
1 3 318.500 0.104 6 
1 4 326.396 0.097 5 
1 5 344.298 0.048 5 
1 0 354.599 0.035 10 
1 7 372.177 0.026 4 
1 2 386.493 0.021 9 
1 9 400.687 0.015 3 
1 4 420.785 0.016 9 
1 9 433.885 0.013 4 
1 12 452.002 0.016 2 
1 7 475.087 0.023 7 
1 10 487.955 0.045 5 
1 13 509.192 0.092 3 
1 10 534.345 0.198 6 
1 11 549.706 0.208 6 
1 14 569.234 0.219 4 
1 13 595.656 0.230 6 
1 14 619.466 0.241 5 
1 17 632.894 0.253 3 
1 18 657.513 0.266 3 
1 17 685.626 0.279 5 
1 18 712.834 0.293 5 
1 19 731.937 0.308 4 
2 -53 126.246 0.602 55 
2 -52 129.095 0.573 54 
2 -51 132.665 0.546 53 
2 -50 133.407 0.520 52 
2 -50 133.248 0.495 52 
2 -48 137.658 0.471 51 
2 -47 139.922 0.449 50 
2 -46 143.328 0.428 49 
2 -45 145.662 0.407 48 
2 -44 146.422 0.388 47 
2 -43 150.106 0.369 46 
2 -42 153.264 0.352 45 
2 -41 157.160 0.335 44 
2 -40 160.503 0.319 43 
2 -39 163.901 0.304 42 
2 -37 169.631 0.289 41 
2 -36 173.357 0.276 40 
2 -35 176.131 0.263 39 
2 -34 179.226 0.250 38 
2 -33 183.018 0.238 37 
2 -32 188.259 0.227 36 
2 -31 193.847 0.216 35 
2 -30 199.473 0.206 35 
2 -29 201.836 0.196 34 
2 -28 206.066 0.187 33 
2 -27 211.595 0.178 32 
2 -26 216.255 0.169 31 
2 -25 220.788 0.161 30 
2 -24 228.010 0.153 30 
2 -23 233.420 0.146 29 
2 -22 235.791 0.139 28 
2 -21 243.786 0.133 27 
2 -20 252.642 0.126 26 
2 -19 261.661 0.120 26 
2 -18 262.987 0.115 25 
2 -17 273.265 0.109 24 
2 -16 284.308 0.104 23 
2 -15 288.857 0.099 23 
2 -14 296.119 0.094 22 
2 -13 307.695 0.090 21 
2 -12 315.729 0.085 21 
2 -11 319.990 0.081 20 
2 -10 331.213 0.078 19 
2 -9 344.630 0.074 19 
2 -8 346.987 0.070 18 
2 -7 363.718 0.067 17 
2 -6 374.578 0.064 17 
2 -5 383.933 0.061 16 
2 -4 403.122 0.039 16 
2 -3 406.813 0.031 15 
2 -2 431.298 0.026 15 
2 -1 432.830 0.024 14 
2 0 460.126 0.037 14 
2 1 462.263 0.061 13 
2 2 489.547 0.165 13 
2 3 495.503 0.269 12 
2 4 519.156 0.283 12 
2 5 533.925 0.297 11 
2 6 548.786 0.312 11 
2 7 577.880 0.327 11 
2 8 578.831 0.344 10 
2 9 608.205 0.361 10 
2 10 630.251 0.379 9 
2 11 637.688 0.398 9 
2 12 667.915 0.418 9 
2 13 693.378 0.438 8 
2 14 698.007 0.460 8 
2 15 726.504 0.483 8 
