model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0001	1.6000E+00	1.4797E+00	4.3015E+00	3.8830E+00	8.2579E-01	1.2547E-02	2.7027E-01	0.016	0.0000	1.6900	0.2727	0.0164	
0002	1.6000E+00	2.8234E+00	3.7403E+00	3.8163E+00	1.1201E+00	1.9700E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0003	1.6000E+00	2.8267E+00	3.7392E+00	3.8160E+00	1.1202E+00	1.9704E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0004	1.6000E+00	2.8301E+00	3.7382E+00	3.8158E+00	1.1203E+00	1.9708E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0005	1.6000E+00	2.8334E+00	3.7372E+00	3.8156E+00	1.1204E+00	1.9712E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0006	1.6000E+00	2.8367E+00	3.7362E+00	3.8154E+00	1.1206E+00	1.9716E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0007	1.6000E+00	2.8400E+00	3.7352E+00	3.8151E+00	1.1207E+00	1.9720E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0008	1.6000E+00	2.8432E+00	3.7342E+00	3.8149E+00	1.1208E+00	1.9724E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0009	1.6000E+00	2.8465E+00	3.7332E+00	3.8147E+00	1.1209E+00	1.9728E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0010	1.6000E+00	2.8497E+00	3.7322E+00	3.8145E+00	1.1210E+00	1.9732E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0011	1.6000E+00	2.8530E+00	3.7312E+00	3.8143E+00	1.1211E+00	1.9736E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0012	1.6000E+00	2.8562E+00	3.7302E+00	3.8140E+00	1.1213E+00	1.9740E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0013	1.6000E+00	2.8594E+00	3.7293E+00	3.8138E+00	1.1214E+00	1.9744E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0014	1.6000E+00	2.8626E+00	3.7283E+00	3.8136E+00	1.1215E+00	1.9748E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0015	1.6000E+00	2.8658E+00	3.7273E+00	3.8134E+00	1.1216E+00	1.9752E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0016	1.6000E+00	2.8690E+00	3.7264E+00	3.8132E+00	1.1217E+00	1.9756E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0017	1.6000E+00	2.8722E+00	3.7254E+00	3.8130E+00	1.1218E+00	1.9760E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
