n l nu dnu
 12 0 606.08500 0.07800
 13 0 649.93400 0.03400
 14 0 694.40700 0.03600
 15 0 739.33600 0.03100
 16 0 784.16500 0.03100
 17 0 829.07200 0.03600
 18 0 874.21600 0.04500
 19 0 919.67200 0.09200
  3 1 579.15800 0.02700
  5 1 627.05200 0.02300
  6 1 657.31100 0.02400
  7 1 679.08100 0.03100
  8 1 713.43600 0.03900
  9 1 740.55400 0.01300
 10 1 768.33500 0.02600
 11 1 806.09300 0.03100
 12 1 836.04000 0.01500
 13 1 860.48300 0.04800
 14 1 900.00100 0.05600
 15 1 942.25800 0.06600
  1 2 690.65100 0.07300
  3 2 736.11800 0.04400
  4 2 779.60100 0.03500
  6 2 825.11600 0.04900
  9 2 915.50500 0.14300
 
