n l nu dnu
12 1 858.460552 0.896739506027 
13 0 889.099353 0.474070113929 
13 1 917.715047 0.378899802006 
13 2 944.458139 0.437608068708 
14 0 950.837548 0.298985334196 
14 1 978.11206 0.202341151525 
14 2 1006.43901 0.523922851271 
15 0 1011.34292 0.327576106498 
15 1 1038.75177 0.140093106704 
15 2 1068.18993 0.470051728462 
16 0 1073.52212 0.228014741395 
16 1 1100.34852 0.116151169299 
16 2 1130.85264 0.265912671261 
17 0 1135.85336 0.131681009589 
17 1 1162.92098 0.127172718677 
17 2 1192.94324 0.375240122949 
18 0 1197.52624 0.285175595989 
18 1 1224.96032 0.161340678225 
18 2 1254.31139 0.590494799866 
19 0 1259.81654 0.46936467523 
19 1 1286.26132 0.574946887269 
19 2 1316.96387 0.848913074 
20 0 1322.34396 0.780228299774 
20 1 1349.61145 0.708127017146 
