M	radius	Teff	L	age	XMF	ZMF	alpha	X	Z	nu_ac	X_surf	Z_surf	mu	Gamma	Dnu0	nu_max_classic	nu_max	Fe/H
0.8	0.7191739	4825.252	-0.5987692	0.379188	0.70759	0.0165	1.700982	0.71743	0.0165	8446.812	0.71743	0.0165	1.28953	1.5284	199.169915620895	5229.64025545625	5290.62465187206	0.00130035633826706
0.8	0.7233116	4833.036	-0.5909652	0.945836	0.6889105	0.0165	1.700982	0.71743	0.0165	8343.886	0.71743	0.0165	1.28935	1.53132	197.425581352425	5165.81411934622	5225.68946607922	0.00130035633826706
0.8	0.7312456	4860.266	-0.5717227	2.40505	0.6417305	0.0165	1.700982	0.71743	0.0165	8141.677	0.71743	0.0165	1.28874	1.54205	194.225193946745	5040.1457918987	5097.35833111965	0.00130035633826706
0.8	0.7371832	4883.487	-0.5564341	3.5761	0.6039228	0.0165	1.700982	0.71743	0.0165	7992.672	0.71743	0.0165	1.28832	1.54965	191.862795328348	4947.47688195267	5002.82209400527	0.00130035633826706
0.8	0.7432768	4907.271	-0.5408404	4.74471	0.5661174	0.0165	1.700982	0.71743	0.0165	7843.735	0.71743	0.0165	1.2879	1.55738	189.510570405248	4854.87971715158	4908.38880843553	0.00130035633826706
0.8	0.7496956	4931.624	-0.5247799	5.91065	0.5283182	0.0165	1.700982	0.71743	0.0165	7691.58	0.71743	0.0165	1.28751	1.56513	187.109581516167	4760.30464962173	4812.0426082697	0.00130035633826706
0.8	0.7565361	4956.556	-0.5081454	7.07431	0.490525	0.0165	1.700982	0.71743	0.0165	7534.703	0.71743	0.0165	1.28713	1.57268	184.594576210923	4662.83801983736	4712.82101753699	0.00130035633826706
0.8	0.7638832	4981.957	-0.4908403	8.23633	0.452736	0.0165	1.700982	0.71743	0.0165	7372.055	0.71743	0.0165	1.28677	1.58006	181.967212049822	4561.89983525219	4610.15598524575	0.00130035633826706
0.8	0.7718352	5008.065	-0.4727808	9.39735	0.4149485	0.0165	1.700982	0.71743	0.0165	7202.599	0.71743	0.0165	1.2865	1.58557	179.167086000209	4456.72164253981	4503.39266635196	0.00130035633826706
0.8	0.7804912	5034.774	-0.4538693	10.558	0.3771579	0.0165	1.700982	0.71743	0.0165	7025.497	0.71743	0.0165	1.28623	1.59126	176.259819450109	4346.83983397375	4391.89922936554	0.00130035633826706
0.8	0.7899918	5061.858	-0.4340136	11.719	0.3393585	0.0165	1.700982	0.71743	0.0165	6839.538	0.71743	0.0165	1.2859	1.5984	173.113824457385	4231.55026934415	4274.86607829163	0.00130035633826706
0.8	0.8004776	5089.557	-0.4130969	12.8809	0.3015485	0.0165	1.700982	0.71743	0.0165	6643.79	0.71743	0.0165	1.28571	1.60241	169.806878538578	4110.18426239478	4151.95094854135	0.00130035633826706
0.8	0.8116704	5116.701	-0.3917966	14	0.2651995	0.0165	1.700982	0.71743	0.0165	6444.976	0.71743	0.0165	1.28547	1.60748	166.349270117003	3986.99061854128	4027.12952173684	0.00130035633826706
1	0.8944627	5630.928	-0.1410607	0.213705	0.706632	0.0165	1.700982	0.71743	0.0165	6321.416	0.71743	0.0165	1.28375	1.63929	160.488562601475	3911.96721591151	3948.70642155081	0.00130035633826706
